mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	6/8	2	1	C.I[I	0	-2.85156	/		C	I	I	I		I							M	0	0	0, 4, 1		0	0	6	16	0.2727272727272727	0.375	1.8125	0.17142857142857143
2	2	3/8	3/8	6/8	2	1	IV6	-0.0987827	-2.32069	/		C	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3	0	6	0.0	0.0	0.75	0.0
2	2	5/8	5/8	6/8	2	1	I64	0	-2.22191	/		C	I	I	I64		I		64					M	0	0	1, 0, 4		0	1	6	19	0.24	0.375	1.8125	0.17142857142857143
4	4	3/8	3/8	6/8	2	1	IV	0	-2.81461	/		C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.75	0.0
4	4	5/8	5/8	6/8	2	1	I6]	0	-2.81461	/		C	I	I	I6		I		6					M	0	0	4, 1, 0		0	4	2	8	0.2	0.125	0.8125	0.13333333333333333
5	5	3/8	3/8	6/8	2	1	V2	0	-2.61704	/		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	2	6	0.25	0.125	1.0	0.1111111111111111
6	6	0	0	6/8	2	1	I6	-0.0987827	-2.62191	/		C	I		I6		I		6					M	0	0	4, 1, 0		0	4	2	6	0.25	0.125	1.0	0.1111111111111111
6	6	3/8	3/8	6/8	2	1	V65	0	-2.41948	/		C	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5	2	6	0.25	0.125	1.0	0.1111111111111111
7	7	0	0	6/8	2	1	I	0	-2.41826	/		C	I		I		I							M	0	0	0, 4, 1		0	0	2	6	0.25	0.125	1.0	0.1111111111111111
7	7	3/8	3/8	6/8	2	1	V2	0.0987827	-2.22191	/		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	2	6	0.25	0.125	1.0	0.1111111111111111
8	8	0	0	6/8	2	1	I6					C	I		I6		I		6					M	0	0	4, 1, 0		0	4	2	6	0.25	0.125	1.0	0.1111111111111111
8	8	3/8	3/8	6/8	2	1	V.ii6					C	V		ii6		ii		6					m	0	0	0, 4, 3		3	0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
8	8	5/8	5/8	6/8	2	1	V7					C	V		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
9	9	0	0	6/8	2	1	I\\					C	V		I		I						\\	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
9	9	3/8	3/8	6/8	2	1	I.V[V2					C	I	V	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	1	4	0.2	0.125	0.5	0.2
10	10	0	0	6/8	2	1	I6					C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4	1	6	0.14285714285714285	0.125	1.25	0.09090909090909091
10	10	5/8	5/8	6/8	2	1	V2					C	I	V	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	3	0.0	0.0	0.375	0.0
11	11	0	0	6/8	2	1	I6					C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4	1	6	0.14285714285714285	0.125	1.25	0.09090909090909091
11	11	5/8	5/8	6/8	2	1	V2					C	I	V	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1	0	3	0.0	0.0	0.375	0.0
12	12	0	0	6/8	2	1	I6					C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4	0	5	0.0	0.0	1.125	0.0
12	12	3/8	3/8	6/8	2	1	I					C	I	V	I		I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	1.0	0.0
