mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	g.i[i					g	i	i	i		i							m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	1.25	0.0
1	1	1/4	1/4	3/4	2	1	iv					g	i	i	iv		iv							m	1	1	0, -3, 1		0	0	0	5	0.0	0.0	1.25	0.0
1	1	1/2	1/2	3/4	2	1	i					g	i	i	i		i							m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	1.25	0.0
2	2	0	0	3/4	2	1	#viio6					g	i	i	#viio6		#vii	o	6					o	1	1	3, 0, 6		6	3	5	8	0.38461538461538464	0.875	1.875	0.3181818181818182
2	2	5/8	5/8	3/4	2	1	VI6]					g	i	i	VI6		VI		6					M	1	1	1, -2, -3		-3	1	0	3	0.0	0.0	0.3125	0.0
3	3	0	0	3/4	2	1	V6					g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	3	0.0	0.0	0.375	0.0
3	3	1/8	1/8	3/4	2	1	VI6					g	i		VI6		VI		6					M	1	1	1, -2, -3		-3	1	1	3	0.25	0.0	0.375	0.0
3	3	1/4	1/4	3/4	2	1	V6					g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	3	0.0	0.0	0.375	0.0
3	3	3/8	3/8	3/4	2	1	VI6					g	i		VI6		VI		6					M	1	1	1, -2, -3		-3	1	1	3	0.25	0.0	0.375	0.0
3	3	1/2	1/2	3/4	2	1	V6					g	i		V6		V		6					M	1	1	6, 3, 2		2	6	0	3	0.0	0.0	0.375	0.0
3	3	5/8	5/8	3/4	2	1	viio43/V					g	i		viio43/V		vii	o	43		V			o7	1	1	1, -2, 7, 4		7	1	0	3	0.0	0.0	0.375	0.0
4	4	0	0	3/4	2	1	V(764)					g	i		V(764)		V			764				M	1	1	2, 1, -2	0	2	2	1	3	0.25	0.25	0.875	0.2222222222222222
4	4	1/4	1/4	3/4	2	1	V\\					g	i		V		V						\\	M	1	1	2, 6, 3		2	2	0	3	0.0	0.0	0.375	0.0
4	4	17/32	17/32	3/4	2	1	V					g	i		V		V							M	1	1	2, 6, 3		2	2	5	5	0.5	0.06944444444444445	0.14930555555555555	0.3174603174603175
5	5	0	0	3/4	2	1	i[i					g	i	i	i		i							m	1	1	1, -2, 2		1	1	0	5	0.0	0.0	1.25	0.0
5	5	1/4	1/4	3/4	2	1	V7/iv					g	i	i	V7/iv		V		7		iv			Mm7	1	1	1, 5, 2, -1		1	1	0	6	0.0	0.0	1.5	0.0
5	5	1/2	1/2	3/4	2	1	iv					g	i	i	iv		iv							m	1	1	0, -3, 1		0	0	1	7	0.125	0.03125	1.40625	0.021739130434782608
6	6	0	0	3/4	2	1	V7/iv]					g	i	i	V7/iv		V		7		iv			Mm7	1	1	1, 5, 2, -1		1	1	4	9	0.3076923076923077	0.375	2.375	0.13636363636363635
6	6	5/8	5/8	3/4	2	1	#viio43/iv	-1.27852	4.26711		/	g	i		#viio43/iv		#vii	o	43		iv			o7	1	1	-1, -4, 5, 2		5	-1	0	3	0.0	0.0	0.3125	0.0
7	7	0	0	3/4	2	1	iv6	0.383555	4.16621	-1.28992	/	g	i		iv6		iv		6					m	1	1	-3, 1, 0		0	-3	1	3	0.25	0.0625	0.375	0.14285714285714285
7	7	1/8	1/8	3/4	2	1	III6					g	i		III6		III		6					M	1	1	2, -1, -2		-2	2	0	3	0.0	0.0	0.375	0.0
7	7	1/4	1/4	3/4	2	1	iv7					g	i		iv7		iv		7					mm7	1	1	0, -3, 1, -2		0	0	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
7	7	3/8	3/8	3/4	2	1	i6					g	i		i6		i		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.375	0.0
7	7	1/2	1/2	3/4	2	1	iio6					g	i		iio6		ii	o	6					o	1	1	0, -3, 3		3	0	0	3	0.0	0.0	0.3125	0.0
7	7	5/8	5/8	3/4	2	1	V7					g	i		V7		V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	5	0.0	0.0	0.5	0.0
8	8	0	0	3/4	2	1	i(9#74)					g	i		i(9#74)		i			9#74				m	1	1	1, 0, 2	3, 6	1	1	0	4	0.0	0.0	1.0	0.0
8	8	1/4	1/4	3/4	2	1	i\\					g	i		i		i						\\	m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.375	0.0
8	8	1/2	1/2	3/4	2	1	i[i					g	i	i	i		i							m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.015625	0.484375	0.03125
8	8	5/8	5/8	3/4	2	1	#viio43					g	i	i	#viio43		#vii	o	43					o7	1	1	0, -3, 6, 3		6	0	2	4	0.3333333333333333	0.140625	0.359375	0.28125
9	9	0	0	3/4	2	1	i]					g	i	i	i		i							m	1	1	1, -2, 2		1	1	1	5	0.16666666666666666	0.0625	1.4375	0.041666666666666664
9	9	3/8	3/8	3/4	2	1	iv.#viio43					g	iv		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	0	4	0.0	0.0	0.5	0.0
9	9	1/2	1/2	3/4	2	1	i6					g	iv		i6		i		6					m	1	1	-3, 1, 0		0	-3	0	4	0.0	0.0	0.5	0.0
9	9	5/8	5/8	3/4	2	1	V43					g	iv		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2	0	4	0.0	0.0	0.5	0.0
10	10	0	0	3/4	2	1	i\\					g	iv		i		i						\\	m	1	1	0, -3, 1		0	0	2	6	0.25	0.041666666666666664	1.0833333333333333	0.037037037037037035
10	10	1/2	1/2	3/4	2	1	i[i					g	iv	i	i		i							m	1	1	0, -3, 1		0	0	1	5	0.16666666666666666	0.015625	0.484375	0.03125
10	10	5/8	5/8	3/4	2	1	#viio43					g	iv	i	#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	2	4	0.3333333333333333	0.140625	0.359375	0.28125
