mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/2	3/4	2	1	F.I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.5	0.0
2	1	0	0	3/4	2	1	I[I					F	I	I	I	I							M	0	0	-1, 3, 0		-1	-1	0	11	0.0	0.0	2.125	0.0
2	1	1/2	1/2	3/4	2	1	ii				viio6	F	I	I	ii	ii							m	0	0	1, -2, 2		1	1	4	4	0.5	0.625	0.375	0.625
3	2	0	0	3/4	2	1	I]					F	I	I	I	I							M	0	0	-1, 3, 0		-1	-1	0	8	0.0	0.0	1.5	0.0
3	2	1/2	1/2	3/4	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.125	0.0
3	2	9/16	9/16	3/4	2	1	IV					F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.125	0.0
3	2	5/8	5/8	3/4	2	1	viio6					F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	0	2	0.0	0.0	0.125	0.0
3	2	11/16	11/16	3/4	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.125	0.0
4	3	0	0	3/4	2	1	V7(4)					F	I		V7(4)	V		7	4				Mm7	0	0	0, -1, 1, -2		0	0	0	5	0.0	0.0	1.75	0.0
4	3	1/4	1/4	3/4	2	1	V7					F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	1	0.0	0.0	0.125	0.0
4	3	3/8	3/8	3/4	2	1	IV6					F	I		IV6	IV		6					M	0	0	2, -1, -2		-2	2	0	5	0.0	0.0	0.625	0.0
4	3	1/2	1/2	3/4	2	1	V65					F	I		V65	V		65					Mm7	0	0	4, 1, -2, 0		0	4	0	5	0.0	0.0	0.625	0.0
