mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/8	2/4	2	1	D.V2				D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	2	0.0	0.0	0.125	0.0
2	1	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	1	10	0.09090909090909091	0.0625	1.1875	0.05
3	2	0	0	2/4	2	1	V43				D	I		V43		V		43					Mm7	0	0	4, 1, 3, 7		3	4	1	10	0.09090909090909091	0.0625	1.1875	0.05
4	3	0	0	2/4	2	1	V6				D	I		V6		V		6					M	0	0	7, 4, 3		3	7	1	10	0.09090909090909091	0.0625	1.1875	0.05
5	4	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	0	11	0.0	0.0	1.25	0.0
6	5	0	0	2/4	2	1	vi				D	I		vi		vi							m	0	0	5, 2, 6		5	5	0	14	0.0	0.0	1.625	0.0
7	6	0	0	2/4	2	1	IV6				D	I		IV6		IV		6					M	0	0	5, 2, 1		1	5	10	1	0.9090909090909091	1.1875	0.0625	0.95
8	7	0	0	2/4	2	1	IV				D	I		IV		IV							M	0	0	1, 5, 2		1	1	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
8	7	1/4	1/4	2/4	2	1	V65/V				D	I		V65/V		V		65		V			Mm7	0	0	8, 5, 2, 4		4	8	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
9	8	0	0	2/4	2	1	V(64)				D	I		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	4	0.0	0.0	1.25	0.0
9	8	1/4	1/4	2/4	2	1	V\\				D	I		V		V						\\	M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
9	8	3/8	3/8	2/4	2	1	V2				D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	2	0.0	0.0	0.125	0.0
10	9	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	1	12	0.07692307692307693	0.0625	0.9375	0.0625
11	10	0	0	2/4	2	1	V43				D	I		V43		V		43					Mm7	0	0	4, 1, 3, 7		3	4	1	12	0.07692307692307693	0.0625	0.9375	0.0625
12	11	0	0	2/4	2	1	V6				D	I		V6		V		6					M	0	0	7, 4, 3		3	7	1	12	0.07692307692307693	0.0625	0.9375	0.0625
13	12	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	0	13	0.0	0.0	1.0	0.0
14	13	0	0	2/4	2	1	IV6				D	I		IV6		IV		6					M	0	0	5, 2, 1		1	5	6	4	0.6	1.25	0.25	0.8333333333333334
15	14	0	0	2/4	2	1	IV				D	I		IV		IV							M	0	0	1, 5, 2		1	1	4	6	0.4	0.25	1.25	0.16666666666666666
16	15	0	0	2/4	2	1	V(64)				D	I		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	6	0.0	0.0	1.0	0.0
16	15	1/4	1/4	2/4	2	1	V7				D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	1	4	0.2	0.0625	0.4375	0.125
17	16	0	0	2/4	2	1	I\\				D	I		I		I						\\	M	0	0	2, 6, 3		2	2	3	4	0.42857142857142855	0.1875	0.4375	0.3
17	16	3/8	3/8	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
18	17	0	0	2/4	2	1	V				D	I		V		V							M	0	0	3, 7, 4		3	3	3	7	0.3	0.1875	0.6875	0.21428571428571427
18	17	3/8	3/8	2/4	2	1	V7				D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	4	0.0	0.0	0.375	0.0
19	18	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	4	10	0.2857142857142857	0.25	1.0	0.2
20	19	0	0	2/4	2	1	V				D	I		V		V							M	0	0	3, 7, 4		3	3	2	3	0.4	0.25	0.75	0.25
20	19	1/4	1/4	2/4	2	1	V7				D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	4	0.0	0.0	0.5	0.0
21	20	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	4	8	0.3333333333333333	0.25	1.0	0.2
22	21	0	0	2/4	2	1	V				D	I		V		V							M	0	0	3, 7, 4		3	3	3	7	0.3	0.1875	0.6875	0.21428571428571427
22	21	3/8	3/8	2/4	2	1	V7				D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	4	0.0	0.0	0.375	0.0
23	22	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	4	10	0.2857142857142857	0.25	1.0	0.2
24	23	0	0	2/4	2	1	V				D	I		V		V							M	0	0	3, 7, 4		3	3	2	3	0.4	0.25	0.75	0.25
24	23	1/4	1/4	2/4	2	1	V7				D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	0	4	0.0	0.0	0.5	0.0
25	24	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	0.75	0.0
25	24	1/4	1/4	2/4	2	1	V65				D	I		V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	5	0.0	0.0	0.5	0.0
26	25	0	0	2/4	2	1	I[I				D	I	I	I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	1.0	0.0
26	25	1/4	1/4	2/4	2	1	V				D	I	I	V		V							M	0	0	3, 7, 4		3	3	0	5	0.0	0.0	0.5	0.0
27	26	0	0	2/4	2	1	I				D	I	I	I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	1.0	0.0
27	26	1/4	1/4	2/4	2	1	V65				D	I	I	V65		V		65					Mm7	0	0	7, 4, 1, 3		3	7	0	5	0.0	0.0	0.5	0.0
28	27	0	0	2/4	2	1	I				D	I	I	I		I							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	1.0	0.0
28	27	1/4	1/4	2/4	2	1	V				D	I	I	V		V							M	0	0	3, 7, 4		3	3	0	5	0.0	0.0	0.5	0.0
29	28	0	0	2/4	2	1	I]\\				D	I	I	I		I						\\	M	0	0	2, 6, 3		2	2	0	12	0.0	0.0	3.0	0.0
31	30	0	0	2/4	2	1	V.ii				D	V		ii		ii							m	0	0	5, 2, 6		5	5	0	3	0.0	0.0	0.625	0.0
31	30	3/8	3/8	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
32	31	0	0	2/4	2	1	I6				D	V		I6		I		6					M	0	0	7, 4, 3		3	7	0	2	0.0	0.0	0.25	0.0
32	31	1/8	1/8	2/4	2	1	viio				D	V		viio		vii	o						o	0	0	8, 5, 2		8	8	0	2	0.0	0.0	0.25	0.0
32	31	1/4	1/4	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
33	32	0	0	2/4	2	1	ii64				D	V		ii64		ii		64					m	0	0	6, 5, 2		5	6	0	3	0.0	0.0	0.625	0.0
33	32	3/8	3/8	2/4	2	1	viio				D	V		viio		vii	o						o	0	0	8, 5, 2		8	8	0	2	0.0	0.0	0.25	0.0
34	33	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
34	33	1/8	1/8	2/4	2	1	viio6				D	V		viio6		vii	o	6					o	0	0	5, 2, 8		8	5	0	2	0.0	0.0	0.25	0.0
34	33	1/4	1/4	2/4	2	1	I6				D	V		I6		I		6					M	0	0	7, 4, 3		3	7	0	3	0.0	0.0	0.375	0.0
35	34	0	0	2/4	2	1	vi				D	V		vi		vi							m	0	0	6, 3, 7		6	6	0	3	0.0	0.0	0.875	0.0
35	34	1/4	1/4	2/4	2	1	V(+4)				D	V		V(+4)		V			+4				M	0	0	4, 8, 5	3	4	4	0	2	0.0	0.0	0.25	0.0
35	34	3/8	3/8	2/4	2	1	IV				D	V		IV		IV							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
36	35	0	0	2/4	2	1	I6				D	V		I6		I		6					M	0	0	7, 4, 3		3	7	0	3	0.0	0.0	0.875	0.0
36	35	1/4	1/4	2/4	2	1	viio6(2)				D	V		viio6(2)		vii	o	6	2				o	0	0	5, 2, 3		8	5	0	2	0.0	0.0	0.25	0.0
36	35	3/8	3/8	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	2	0	1.0	0.25	0.0	1.0
37	36	0	0	2/4	2	1	IV				D	V		IV		IV							M	0	0	2, 6, 3		2	2	3	4	0.42857142857142855	0.1875	0.5625	0.25
37	36	3/8	3/8	2/4	2	1	V65/V				D	V		V65/V		V		65		V			Mm7	0	0	9, 6, 3, 5		5	9	0	3	0.0	0.0	0.25	0.0
38	37	0	0	2/4	2	1	V\\				D	V		V		V						\\	M	0	0	4, 8, 5		4	4	4	6	0.4	0.25	0.75	0.25
39	38	0	0	2/4	2	1	V2				D	V		V2		V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	11	0.0	0.0	0.875	0.0
40	39	0	0	2/4	2	1	I6				D	V		I6		I		6					M	0	0	7, 4, 3		3	7	1	10	0.09090909090909091	0.0625	0.8125	0.07142857142857142
41	40	0	0	2/4	2	1	V65				D	V		V65		V		65					Mm7	0	0	8, 5, 2, 4		4	8	0	11	0.0	0.0	0.875	0.0
42	41	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	1	10	0.09090909090909091	0.0625	0.8125	0.07142857142857142
43	42	0	0	2/4	2	1	V2				D	V		V2		V		2					Mm7	0	0	2, 4, 8, 5		4	2	0	13	0.0	0.0	0.875	0.0
44	43	0	0	2/4	2	1	I6				D	V		I6		I		6					M	0	0	7, 4, 3		3	7	1	10	0.09090909090909091	0.0625	0.8125	0.07142857142857142
45	44	0	0	2/4	2	1	V65				D	V		V65		V		65					Mm7	0	0	8, 5, 2, 4		4	8	0	13	0.0	0.0	0.875	0.0
46	45	0	0	2/4	2	1	I[I				D	V	I	I		I							M	0	0	3, 7, 4		3	3	0	5	0.0	0.0	0.75	0.0
46	45	1/4	1/4	2/4	2	1	IV				D	V	I	IV		IV							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.5	0.0
47	46	0	0	2/4	2	1	I				D	V	I	I		I							M	0	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0625	0.9375	0.0625
47	46	1/4	1/4	2/4	2	1	IV				D	V	I	IV		IV							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.5	0.0
48	47	0	0	2/4	2	1	I				D	V	I	I		I							M	0	0	3, 7, 4		3	3	6	19	0.24	0.375	2.625	0.125
50	49	1/4	1/4	2/4	2	1	IV				D	V	I	IV		IV							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.5	0.0
51	50	0	0	2/4	2	1	I				D	V	I	I		I							M	0	0	3, 7, 4		3	3	1	6	0.14285714285714285	0.0625	1.4375	0.041666666666666664
51	50	1/4	1/4	2/4	2	1	IV				D	V	I	IV		IV							M	0	0	2, 6, 3		2	2	0	5	0.0	0.0	0.5	0.0
52	51	0	0	2/4	2	1	I]				D	V	I	I		I							M	0	0	3, 7, 4		3	3	8	11	0.42105263157894735	0.5	1.25	0.2857142857142857
54	53	0	0	2/4	2	1	i6				D	V		i6		i		6					m	0	0	0, 4, 3		3	0	0	8	0.0	0.0	1.0	0.0
56	55	0	0	2/4	2	1	bIII.I[I				D	bIII	I	I		I							M	0	0	-1, 3, 0		-1	-1	3	16	0.15789473684210525	0.1875	2.8125	0.0625
58	57	0	0	2/4	2	1	V2				D	bIII	I	V2		V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	5	15	0.25	1.25	1.75	0.4166666666666667
60	59	0	0	2/4	2	1	I				D	bIII	I	I		I							M	0	0	-1, 3, 0		-1	-1	5	20	0.2	0.3125	2.6875	0.10416666666666667
62	61	0	0	2/4	2	1	V2				D	bIII	I	V2		V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	5	15	0.25	1.25	1.75	0.4166666666666667
64	63	0	0	2/4	2	1	I]\\				D	bIII	I	I		I						\\	M	0	0	-1, 3, 0		-1	-1	3	11	0.21428571428571427	0.25	1.25	0.16666666666666666
66	65	0	0	2/4	2	1	V.It6				D	V		It6	It	vii	o	6	b3	V			It	0	0	-1, 3, 9		9	-1	2	22	0.08333333333333333	0.75	3.25	0.1875
70	69	0	0	2/4	2	1	V(64)				D	V		V(64)		V			64				M	0	0	4, 3, 7		4	4	6	15	0.2857142857142857	0.375	3.625	0.09375
72	71	0	0	2/4	2	1	V(4)				D	V		V(4)		V			4				M	0	0	4, 3, 5		4	4	0	9	0.0	0.0	1.5	0.0
73	72	0	0	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	0	9	0.0	0.0	1.5	0.0
74	73	0	0	2/4	2	1	I\\				D	V		I		I						\\	M	0	0	3, 7, 4		3	3	3	4	0.42857142857142855	0.1875	0.4375	0.3
74	73	3/8	3/8	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	1	3	0.25	0.0625	0.3125	0.16666666666666666
75	74	0	0	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	3	7	0.3	0.1875	0.6875	0.21428571428571427
75	74	3/8	3/8	2/4	2	1	V7				D	V		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.375	0.0
76	75	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	4	10	0.2857142857142857	0.25	1.0	0.2
77	76	0	0	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	2	3	0.4	0.25	0.75	0.25
77	76	1/4	1/4	2/4	2	1	V7				D	V		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
78	77	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	4	8	0.3333333333333333	0.25	1.0	0.2
79	78	0	0	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	3	7	0.3	0.1875	0.6875	0.21428571428571427
79	78	3/8	3/8	2/4	2	1	V7				D	V		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.375	0.0
80	79	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	4	10	0.2857142857142857	0.25	1.0	0.2
81	80	0	0	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	2	3	0.4	0.25	0.75	0.25
81	80	1/4	1/4	2/4	2	1	V7				D	V		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
82	81	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	4	8	0.3333333333333333	0.25	1.0	0.2
83	82	0	0	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	2	3	0.4	0.25	0.75	0.25
83	82	1/4	1/4	2/4	2	1	V7				D	V		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
84	83	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	4	8	0.3333333333333333	0.25	1.0	0.2
85	84	0	0	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	2	3	0.4	0.25	0.75	0.25
85	84	1/4	1/4	2/4	2	1	V7				D	V		V7		V		7					Mm7	0	0	4, 8, 5, 2		4	4	0	4	0.0	0.0	0.5	0.0
86	85	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.875	0.125
86	85	1/4	1/4	2/4	2	1	V(64)				D	V		V(64)		V			64				M	0	0	4, 3, 7		4	4	0	1	0.0	0.0	0.25	0.0
86	85	3/8	3/8	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
87	86	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	2	4	0.3333333333333333	0.125	0.875	0.125
87	86	1/4	1/4	2/4	2	1	V(64)				D	V		V(64)		V			64				M	0	0	4, 3, 7		4	4	0	1	0.0	0.0	0.25	0.0
87	86	3/8	3/8	2/4	2	1	V				D	V		V		V							M	0	0	4, 8, 5		4	4	0	2	0.0	0.0	0.25	0.0
88	87	0	0	2/4	2	1	I				D	V		I		I							M	0	0	3, 7, 4		3	3	0	3	0.0	0.0	0.75	0.0
88	87	3/8	3/8	2/4	2	1	I.V7\\				D	I		V7		V		7				\\	Mm7	0	0	3, 7, 4, 1		3	3	3	20	0.13043478260869565	0.1875	2.3125	0.075
92	91	3/8	3/8	2/4	2	1	V2				D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	2	0.0	0.0	0.125	0.0
93	92	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	1	10	0.09090909090909091	0.0625	1.1875	0.05
94	93	0	0	2/4	2	1	V43				D	I		V43		V		43					Mm7	0	0	4, 1, 3, 7		3	4	1	10	0.09090909090909091	0.0625	1.1875	0.05
95	94	0	0	2/4	2	1	V6				D	I		V6		V		6					M	0	0	7, 4, 3		3	7	1	10	0.09090909090909091	0.0625	1.1875	0.05
96	95	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	0	11	0.0	0.0	1.25	0.0
97	96	0	0	2/4	2	1	vi				D	I		vi		vi							m	0	0	5, 2, 6		5	5	0	14	0.0	0.0	1.625	0.0
98	97	0	0	2/4	2	1	IV6				D	I		IV6		IV		6					M	0	0	5, 2, 1		1	5	10	1	0.9090909090909091	1.1875	0.0625	0.95
99	98	0	0	2/4	2	1	IV				D	I		IV		IV							M	0	0	1, 5, 2		1	1	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
99	98	1/4	1/4	2/4	2	1	V65/V				D	I		V65/V		V		65		V			Mm7	0	0	8, 5, 2, 4		4	8	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
100	99	0	0	2/4	2	1	V(64)				D	I		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	4	0.0	0.0	1.25	0.0
100	99	1/4	1/4	2/4	2	1	V\\				D	I		V		V						\\	M	0	0	3, 7, 4		3	3	0	2	0.0	0.0	0.25	0.0
100	99	3/8	3/8	2/4	2	1	V2				D	I		V2		V		2					Mm7	0	0	1, 3, 7, 4		3	1	0	2	0.0	0.0	0.125	0.0
101	100	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	1	12	0.07692307692307693	0.0625	0.9375	0.0625
102	101	0	0	2/4	2	1	V43				D	I		V43		V		43					Mm7	0	0	4, 1, 3, 7		3	4	1	12	0.07692307692307693	0.0625	0.9375	0.0625
103	102	0	0	2/4	2	1	V6				D	I		V6		V		6					M	0	0	7, 4, 3		3	7	1	12	0.07692307692307693	0.0625	0.9375	0.0625
104	103	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	0	13	0.0	0.0	1.0	0.0
105	104	0	0	2/4	2	1	IV6				D	I		IV6		IV		6					M	0	0	5, 2, 1		1	5	6	4	0.6	1.25	0.25	0.8333333333333334
106	105	0	0	2/4	2	1	IV				D	I		IV		IV							M	0	0	1, 5, 2		1	1	4	6	0.4	0.25	1.25	0.16666666666666666
107	106	0	0	2/4	2	1	V(64)				D	I		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	6	0.0	0.0	1.0	0.0
107	106	1/4	1/4	2/4	2	1	V7				D	I		V7		V		7					Mm7	0	0	3, 7, 4, 1		3	3	1	4	0.2	0.0625	0.4375	0.125
108	107	0	0	2/4	2	1	I				D	I		I		I							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.5	0.0
108	107	1/4	1/4	2/4	2	1	i.VI64				D	i		VI64		VI		64					M	0	1	-1, -2, 2		-2	-1	0	3	0.0	0.0	0.5	0.0
109	108	0	0	2/4	2	1	ii%7				D	i		ii%7		ii	%	7					%7	0	1	4, 1, -2, 2		4	4	0	4	0.0	0.0	1.0	0.0
109	108	1/4	1/4	2/4	2	1	V2				D	i		V2		V		2					Mm7	0	1	1, 3, 7, 4		3	1	0	3	0.0	0.0	0.5	0.0
110	109	0	0	2/4	2	1	i				D	i		i		i							m	0	1	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
110	109	1/8	1/8	2/4	2	1	#viio6				D	i		#viio6		#vii	o	6					o	0	1	4, 1, 7		7	4	0	3	0.0	0.0	0.375	0.0
110	109	1/4	1/4	2/4	2	1	i				D	i		i		i							m	0	1	2, -1, 3		2	2	0	6	0.0	0.0	0.75	0.0
111	110	0	0	2/4	2	1	#viio7				D	i		#viio7		#vii	o	7					o7	0	1	7, 4, 1, -2		7	7	0	3	0.0	0.0	0.75	0.0
111	110	1/4	1/4	2/4	2	1	i\\				D	i		i		i						\\	m	0	1	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
112	111	0	0	2/4	2	1	i6				D	i		i6		i		6					m	0	1	-1, 3, 2		2	-1	0	9	0.0	0.0	1.25	0.0
113	112	0	0	2/4	2	1	#viio43				D	i		#viio43		#vii	o	43					o7	0	1	1, -2, 7, 4		7	1	3	7	0.3	0.1875	1.3125	0.125
114	113	0	0	2/4	2	1	i6				D	i		i6		i		6					m	0	1	-1, 3, 2		2	-1	0	9	0.0	0.0	1.25	0.0
115	114	0	0	2/4	2	1	#viio43				D	i		#viio43		#vii	o	43					o7	0	1	1, -2, 7, 4		7	1	3	7	0.3	0.1875	1.3125	0.125
116	115	0	0	2/4	2	1	i6				D	i		i6		i		6					m	0	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.375	0.0
116	115	1/8	1/8	2/4	2	1	i				D	i		i		i							m	0	1	2, -1, 3		2	2	0	3	0.0	0.0	0.375	0.0
116	115	1/4	1/4	2/4	2	1	iio6				D	i		iio6		ii	o	6					o	0	1	1, -2, 4		4	1	0	3	0.0	0.0	0.375	0.0
116	115	3/8	3/8	2/4	2	1	viio7/V	0	-8	/	D	i		viio7/V		vii	o	7		V			o7	0	1	8, 5, 2, -1		8	8	0	3	0.0	0.0	0.375	0.0
117	116	0	0	2/4	2	1	V(64)				D	i		V(64)		V			64				M	0	1	3, 2, -1		3	3	0	4	0.0	0.0	0.75	0.0
117	116	1/4	1/4	2/4	2	1	V\\				D	i		V		V						\\	M	0	1	3, 7, 4		3	3	0	3	0.0	0.0	0.375	0.0
118	117	0	0	2/4	2	1	bIII.I				D	bIII		I		I							M	0	0	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.375	0.0
118	117	1/4	1/4	2/4	2	1	vi64				D	bIII		vi64		vi		64					m	0	0	3, 2, -1		2	3	0	3	0.0	0.0	0.5	0.0
119	118	0	0	2/4	2	1	ii7				D	bIII		ii7		ii		7					mm7	0	0	1, -2, 2, -1		1	1	0	4	0.0	0.0	1.0	0.0
119	118	1/4	1/4	2/4	2	1	V2				D	bIII		V2		V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	0	3	0.0	0.0	0.5	0.0
