mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	F.I[I		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	0	12	0.0	0.0	2.25	0.0
2	2	0	0	3/4	2	1	viio64		F	I	I	viio64		vii	o	64					o	0	0	-2, 4, 1		4	-2	2	3	0.4	0.25	0.5	0.3333333333333333
2	2	1/4	1/4	3/4	2	1	I		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	0	18	0.0	0.0	3.25	0.0
4	4	0	0	3/4	2	1	viio		F	I	I	viio		vii	o						o	0	0	4, 1, -2		4	4	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
4	4	1/4	1/4	3/4	2	1	I		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	0	11	0.0	0.0	2.125	0.0
5	5	3/8	3/8	3/4	2	1	IV		F	I	I	IV		IV							M	0	0	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.375	0.0
5	5	1/2	1/2	3/4	2	1	viio6		F	I	I	viio6		vii	o	6					o	0	0	1, -2, 4		4	1	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
5	5	5/8	5/8	3/4	2	1	I]		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
6	6	0	0	3/4	2	1	V7(4)		F	I		V7(4)		V		7	4				Mm7	0	0	0, -1, 1, -2		0	0	0	5	0.0	0.0	2.25	0.0
6	6	1/4	1/4	3/4	2	1	V7		F	I		V7		V		7					Mm7	0	0	0, 4, 1, -2		0	0	2	3	0.4	0.1875	0.3125	0.375
7	7	0	0	3/4	2	1	vii%7		F	I		vii%7		vii	%	7					%7	0	0	4, 1, -2, 2		4	4	0	4	0.0	0.0	0.625	0.0
7	7	1/4	1/4	3/4	2	1	V65		F	I		V65		V		65					Mm7	0	0	4, 1, -2, 0		0	4	0	14	0.0	0.0	2.0	0.0
8	8	0	0	3/4	2	1	I\\		F	I		I		I						\\	M	0	0	-1, 3, 0		-1	-1	7	6	0.5384615384615384	0.3125	0.9375	0.25
9	9	0	0	3/4	2	1	ii6(2)		F	I		ii6(2)		ii		6	2				m	0	0	-2, 2, 3		1	-2	0	3	0.0	0.0	0.5	0.0
9	9	1/4	1/4	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-2, 2, 1		1	-2	0	12	0.0	0.0	1.5	0.0
10	10	0	0	3/4	2	1	viio6(2)		F	I		viio6(2)		vii	o	6	2				o	0	0	1, -2, -1		4	1	0	3	0.0	0.0	0.5	0.0
10	10	1/4	1/4	3/4	2	1	viio6		F	I		viio6		vii	o	6					o	0	0	1, -2, 4		4	1	0	12	0.0	0.0	1.5	0.0
11	11	0	0	3/4	2	1	vii%7		F	I		vii%7		vii	%	7					%7	0	0	4, 1, -2, 2		4	4	0	3	0.0	0.0	0.5	0.0
11	11	1/4	1/4	3/4	2	1	V65		F	I		V65		V		65					Mm7	0	0	4, 1, -2, 0		0	4	0	10	0.0	0.0	1.5	0.0
12	12	0	0	3/4	2	1	I		F	I		I		I							M	0	0	-1, 3, 0		-1	-1	4	5	0.4444444444444444	0.25	0.75	0.25
12	12	1/2	1/2	3/4	2	1	I6		F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	6	0.0	0.0	0.75	0.0
13	13	0	0	3/4	2	1	ii6		F	I		ii6		ii		6					m	0	0	-2, 2, 1		1	-2	0	6	0.0	0.0	1.0	0.0
13	13	1/2	1/2	3/4	2	1	V7		F	I		V7		V		7					Mm7	0	0	0, 4, 1, -2		0	0	0	5	0.0	0.0	1.0	0.0
14	14	0	0	3/4	2	1	I\\		F	I		I		I						\\	M	0	0	-1, 3, 0		-1	-1	0	3	0.0	0.0	0.75	0.0
14	14	3/8	3/8	3/4	2	1	I6		F	I		I6		I		6					M	0	0	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
14	14	1/2	1/2	3/4	2	1	IV		F	I		IV		IV							M	0	0	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
14	14	5/8	5/8	3/4	2	1	viio6		F	I		viio6		vii	o	6					o	0	0	1, -2, 4		4	1	0	2	0.0	0.0	0.25	0.0
15	15	0	0	3/4	2	1	I[I		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	0	13	0.0	0.0	3.0	0.0
16	16	0	0	3/4	2	1	viio64		F	I	I	viio64		vii	o	64					o	0	0	-2, 4, 1		4	-2	3	3	0.5	1.0	0.5	0.6666666666666666
16	16	1/4	1/4	3/4	2	1	I		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	0	19	0.0	0.0	4.0	0.0
18	18	0	0	3/4	2	1	viio		F	I	I	viio		vii	o						o	0	0	4, 1, -2		4	4	3	4	0.42857142857142855	1.0	0.5	0.6666666666666666
18	18	1/4	1/4	3/4	2	1	I]		F	I	I	I		I							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	1.0	0.0
19	19	0	0	3/4	2	1	vi.V6		F	vi		V6		V		6					M	0	1	7, 4, 3		3	7	0	8	0.0	0.0	0.75	0.0
19	19	1/4	1/4	3/4	2	1	#vi%65		F	vi		#vi%65		#vi	%	65					%7	0	1	2, -1, 3, 5		5	2	0	8	0.0	0.0	0.75	0.0
19	19	1/2	1/2	3/4	2	1	V43		F	vi		V43		V		43					Mm7	0	1	4, 1, 3, 7		3	4	0	8	0.0	0.0	0.75	0.0
20	20	0	0	3/4	2	1	i6		F	vi		i6		i		6					m	0	1	-1, 3, 2		2	-1	5	9	0.35714285714285715	0.3125	0.9375	0.25
21	21	0	0	3/4	2	1	V.V6		F	V		V6		V		6					M	0	0	5, 2, 1		1	5	0	8	0.0	0.0	0.75	0.0
21	21	1/4	1/4	3/4	2	1	vi65		F	V		vi65		vi		65					mm7	0	0	0, 4, 1, 3		3	0	0	8	0.0	0.0	0.75	0.0
21	21	1/2	1/2	3/4	2	1	V43		F	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2	0	8	0.0	0.0	0.75	0.0
22	22	0	0	3/4	2	1	I6\\		F	V		I6		I		6				\\	M	0	0	4, 1, 0		0	4	0	3	0.0	0.0	0.375	0.0
22	22	1/16	1/16	3/4	2	1	I6		F	V		I6		I		6					M	0	0	4, 1, 0		0	4	5	6	0.45454545454545453	0.3125	0.375	0.45454545454545453
23	23	0	0	3/4	2	1	V[V7		F	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	2	15	0.11764705882352941	0.125	1.625	0.07142857142857142
24	24	0	0	3/4	2	1	I		F	V	V	I		I							M	0	0	0, 4, 1		0	0	3	14	0.17647058823529413	0.1875	1.5625	0.10714285714285714
25	25	0	0	3/4	2	1	V7		F	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	2	15	0.11764705882352941	0.125	1.75	0.06666666666666667
