mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	23/32	3/4	2	1	f.V7					f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	2	4	0.3333333333333333	0.03125	0.25	0.1111111111111111
2	1	1/4	1/4	3/4	2	1	i					f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
2	1	1/2	1/2	3/4	2	1	i6					f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.75	0.0
3	2	0	0	3/4	2	1	#viio65\\					f	i		#viio65		#vii	o	65				\\	o7	1	1	1, -2, -5, 4		4	1	1	10	0.09090909090909091	0.03125	2.09375	0.014705882352941176
3	2	23/32	23/32	3/4	2	1	V7/V					f	i		V7/V		V		7		V			Mm7	1	1	1, 5, 2, -1		1	1	2	4	0.3333333333333333	0.03125	0.25	0.1111111111111111
4	3	1/4	1/4	3/4	2	1	V					f	i		V		V							M	1	1	0, 4, 1		0	0	0	2	0.0	0.0	0.25	0.0
4	3	1/2	1/2	3/4	2	1	V65					f	i		V65		V		65					Mm7	1	1	4, 1, -2, 0		0	4	0	5	0.0	0.0	1.0	0.0
5	4	0	0	3/4	2	1	i\\					f	i		i		i						\\	m	1	1	-1, -4, 0		-1	-1	4	8	0.3333333333333333	0.0625	1.5625	0.038461538461538464
5	4	23/32	23/32	3/4	2	1	V7					f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	2	4	0.3333333333333333	0.03125	0.25	0.1111111111111111
6	5	1/4	1/4	3/4	2	1	i					f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.5	0.0
6	5	23/32	23/32	3/4	2	1	VI					f	i		VI		VI							M	1	1	-5, -1, -4		-5	-5	3	4	0.42857142857142855	0.046875	0.484375	0.08823529411764706
7	6	1/4	1/4	3/4	2	1	V6/III					f	i		V6/III		V		6		III			M	1	1	1, -2, -3		-3	1	1	4	0.2	0.03125	0.46875	0.0625
7	6	1/2	1/2	3/4	2	1	V65/III					f	i		V65/III		V		65		III			Mm7	1	1	1, -2, -5, -3		-3	1	0	3	0.0	0.0	0.5	0.0
8	7	0	0	3/4	2	1	III					f	i		III		III							M	1	1	-4, 0, -3		-4	-4	3	3	0.5	0.046875	0.453125	0.09375
8	7	1/4	1/4	3/4	2	1	#viio					f	i		#viio		#vii	o						o	1	1	4, 1, -2		4	4	0	4	0.0	0.0	0.75	0.0
8	7	1/2	1/2	3/4	2	1	i					f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	3	0.0	0.0	0.375	0.0
8	7	5/8	5/8	3/4	2	1	viio7/V	-2	-5	/		f	i		viio7/V		vii	o	7		V			o7	1	1	5, 2, -1, -4		5	5	0	3	0.0	0.0	0.375	0.0
9	8	0	0	3/4	2	1	V(64)					f	i		V(64)		V			64				M	1	1	0, -1, -4		0	0	1	3	0.25	0.0	0.5	0.0
9	8	1/4	1/4	3/4	2	1	V\\					f	i		V		V						\\	M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
9	8	23/32	23/32	3/4	2	1	V7					f	i		V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	2	4	0.3333333333333333	0.03125	0.25	0.1111111111111111
10	9	1/4	1/4	3/4	2	1	i					f	i		i		i							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
10	9	1/2	1/2	3/4	2	1	i6					f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	0	4	0.0	0.0	0.75	0.0
11	10	0	0	3/4	2	1	bII6					f	i		bII6		bII		6					M	1	1	-2, -5, -6		-6	-2	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
11	10	1/4	1/4	3/4	2	1	iv.#viio6					f	iv		#viio6		#vii	o	6					o	1	1	0, -3, 3		3	0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
11	10	1/2	1/2	3/4	2	1	i6\\					f	iv		i6		i		6				\\	m	1	1	-5, -1, -2		-2	-5	0	3	0.0	0.0	0.375	0.0
11	10	23/32	23/32	3/4	2	1	V7					f	iv		V7		V		7					Mm7	1	1	-1, 3, 0, -3		-1	-1	2	4	0.3333333333333333	0.03125	0.25	0.1111111111111111
12	11	1/4	1/4	3/4	2	1	i					f	iv		i		i							m	1	1	-2, -5, -1		-2	-2	0	2	0.0	0.0	0.25	0.0
12	11	1/2	1/2	3/4	2	1	i6					f	iv		i6		i		6					m	1	1	-5, -1, -2		-2	-5	0	4	0.0	0.0	0.75	0.0
13	12	0	0	3/4	2	1	i.V[V7					f	i	V	V7		V		7					Mm7	1	1	0, 4, 1, -2		0	0	2	13	0.13333333333333333	0.03125	2.96875	0.010416666666666666
14	13	0	0	3/4	2	1	i					f	i	V	i		i							m	1	1	-1, -4, 0		-1	-1	2	8	0.2	0.03125	1.96875	0.015625
14	13	1/2	1/2	3/4	2	1	viio43/V					f	i	V	viio43/V		vii	o	43		V			o7	1	1	-1, -4, 5, 2		5	-1	1	4	0.2	0.25	0.75	0.25
15	14	0	0	3/4	2	1	V]					f	i	V	V		V							M	1	1	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
15	14	1/8	1/8	3/4	2	1	VI6					f	i		VI6		VI		6					M	1	1	-1, -4, -5		-5	-1	0	3	0.0	0.0	0.3125	0.0
15	14	1/4	1/4	3/4	2	1	V6					f	i		V6		V		6					M	1	1	4, 1, 0		0	4	1	3	0.25	0.0625	0.3125	0.16666666666666666
15	14	3/8	3/8	3/4	2	1	#viio6					f	i		#viio6		#vii	o	6					o	1	1	1, -2, 4		4	1	0	3	0.0	0.0	0.3125	0.0
15	14	1/2	1/2	3/4	2	1	i6					f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	1	3	0.25	0.0625	0.3125	0.16666666666666666
15	14	5/8	5/8	3/4	2	1	iio	0	-8	/	#viio6	f	i		iio		ii	o						o	1	1	1, -2, -5		1	1	0	3	0.0	0.0	0.3125	0.0
16	15	0	0	3/4	2	1	i					f	i		i		i							m	1	1	-1, -4, 0		-1	-1	1	3	0.25	0.0625	0.3125	0.16666666666666666
16	15	1/8	1/8	3/4	2	1	#viio7					f	i		#viio7		#vii	o	7					o7	1	1	4, 1, -2, -5		4	4	0	3	0.0	0.0	0.3125	0.0
16	15	1/4	1/4	3/4	2	1	i					f	i		i		i							m	1	1	-1, -4, 0		-1	-1	1	3	0.25	0.0625	0.3125	0.16666666666666666
16	15	3/8	3/8	3/4	2	1	#viio6					f	i		#viio6		#vii	o	6					o	1	1	1, -2, 4		4	1	0	3	0.0	0.0	0.3125	0.0
16	15	1/2	1/2	3/4	2	1	i6					f	i		i6		i		6					m	1	1	-4, 0, -1		-1	-4	1	3	0.25	0.0625	0.3125	0.16666666666666666
16	15	5/8	5/8	3/4	2	1	Ger6					f	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-5, -1, -4, 5		5	-5	0	5	0.0	0.0	0.4375	0.0
17	16	0	0	3/4	2	1	V(#764)					f	i		V(#764)		V			#764				M	1	1	0, -1, -4	5	0	0	0	5	0.0	0.0	1.75	0.0
17	16	1/4	1/4	3/4	2	1	V\\					f	i		V		V						\\	M	1	1	0, 4, 1		0	0	0	3	0.0	0.0	0.75	0.0
18	17	0	0	3/4	2	1	III.I[I					f	III	I	I		I							M	1	0	-4, 0, -3		-4	-4	0	7	0.0	0.0	0.625	0.0
18	17	1/4	1/4	3/4	2	1	IV					f	III	I	IV		IV							M	1	0	-5, -1, -4		-5	-5	2	3	0.4	0.125	0.375	0.25
18	17	3/8	3/8	3/4	2	1	I]					f	III	I	I		I							M	1	0	-4, 0, -3		-4	-4	3	15	0.16666666666666666	0.09375	1.15625	0.075
19	18	0	0	3/4	2	1	V[V7(4)					f	III	V	V7(4)		V		7	4				Mm7	1	0	-3, -4, -2, -5		-3	-3	2	6	0.25	0.03125	0.46875	0.0625
19	18	1/8	1/8	3/4	2	1	V7					f	III	V	V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	0	5	0.0	0.0	0.375	0.0
19	18	1/4	1/4	3/4	2	1	iii				I6	f	III	V	iii		iii							m	1	0	0, -3, 1		0	0	2	3	0.4	0.125	0.375	0.25
19	18	3/8	3/8	3/4	2	1	V7]					f	III	V	V7		V		7					Mm7	1	0	-3, 1, -2, -5		-3	-3	3	15	0.16666666666666666	0.09375	1.15625	0.075
20	19	0	0	3/4	2	1	i.i[i(9)					f	i	i	i(9)		i			9				m	1	1	-1, -4, 0	1	-1	-1	0	5	0.0	0.0	0.5	0.0
20	19	1/8	1/8	3/4	2	1	i					f	i	i	i		i							m	1	1	-1, -4, 0		-1	-1	1	5	0.16666666666666666	0.0	0.375	0.0
20	19	1/4	1/4	3/4	2	1	iv					f	i	i	iv		iv							m	1	1	-2, -5, -1		-2	-2	2	3	0.4	0.125	0.375	0.25
20	19	3/8	3/8	3/4	2	1	i]					f	i	i	i		i							m	1	1	-1, -4, 0		-1	-1	3	15	0.16666666666666666	0.09375	1.15625	0.075
