mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	F.I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
1	1	1/4	1/4	3/4	2	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	1	6	0.14285714285714285	0.0625	0.9375	0.0625
1	1	1/2	1/2	3/4	2	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	6	0.14285714285714285	0.0625	0.75	0.07692307692307693
2	2	0	0	3/4	2	1	V65				F	I		V65	V		65					Mm7	0	0	4, 1, -2, 0		0	4	1	7	0.125	0.03125	0.96875	0.03125
2	2	1/4	1/4	3/4	2	1	I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	2	6	0.25	0.0625	0.5625	0.1
2	2	5/8	5/8	3/4	2	1	I6				F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	0	4	0.0	0.0	0.375	0.0
3	3	0	0	3/4	2	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	0	8	0.0	0.0	1.5	0.0
3	3	1/2	1/2	3/4	2	1	viio6				F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	2	7	0.2222222222222222	0.0625	0.5625	0.1
4	4	0	0	3/4	2	1	#viio65/ii				F	I		#viio65/ii	#vii	o	65		ii			o7	0	0	3, 0, -3, 6		6	3	1	10	0.09090909090909091	0.09375	1.53125	0.057692307692307696
4	4	1/2	1/2	3/4	2	1	#viio43/ii				F	I		#viio43/ii	#vii	o	43		ii			o7	0	0	0, -3, 6, 3		6	0	2	4	0.3333333333333333	0.1875	0.5625	0.25
5	5	0	0	3/4	2	1	ii6				F	I		ii6	ii		6					m	0	0	-2, 2, 1		1	-2	7	11	0.3888888888888889	0.34375	1.40625	0.19642857142857142
6	6	0	0	3/4	2	1	V(64)				F	I		V(64)	V			64				M	0	0	0, -1, 3		0	0	1	6	0.14285714285714285	0.03125	0.71875	0.041666666666666664
6	6	1/4	1/4	3/4	2	1	V\\				F	I		V	V						\\	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	0.3125	0.0
6	6	5/16	5/16	3/4	2	1	V				F	I		V	V							M	0	0	0, 4, 1		0	0	3	2	0.6	0.1875	0.125	0.6
6	6	5/8	5/8	3/4	2	1	V2				F	I		V2	V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	0	2	0.0	0.0	0.125	0.0
7	7	0	0	3/4	2	1	I				F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	6	0.0	0.0	0.9375	0.0
7	7	1/4	1/4	3/4	2	1	V43				F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	1	8	0.1111111111111111	0.0625	0.875	0.06666666666666667
