mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	C.I					C	I		I		I							M	0	0	0, 4, 1		0	0	8	23	0.25806451612903225	0.6666666666666666	3.0833333333333335	0.17777777777777776
3	3	0	0	4/4	2	1	V7					C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	8	23	0.25806451612903225	0.6666666666666666	3.0833333333333335	0.17777777777777776
5	5	0	0	4/4	2	1	I[V7/IV					C	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0	8	23	0.25806451612903225	0.6666666666666666	3.0833333333333335	0.17777777777777776
7	7	0	0	4/4	2	1	IV6					C	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3	2	7	0.2222222222222222	0.16666666666666666	1.3333333333333333	0.1111111111111111
7	7	1/2	1/2	4/4	2	1	V7/IV					C	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0	2	7	0.2222222222222222	0.16666666666666666	1.3333333333333333	0.1111111111111111
8	8	0	0	4/4	2	1	IV					C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1	2	7	0.2222222222222222	0.16666666666666666	1.3333333333333333	0.1111111111111111
8	8	1/2	1/2	4/4	2	1	viio6					C	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2	3	6	0.3333333333333333	0.6666666666666666	0.8333333333333334	0.4444444444444444
9	9	0	0	4/4	2	1	I\\					C	I	I	I		I						\\	M	0	0	0, 4, 1		0	0	0	3	0.0	0.0	1.5	0.0
9	9	1/4	1/4	4/4	2	1	vi				IV6	C	I	I	vi		vi							m	0	0	3, 0, 4		3	3	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
9	9	1/2	1/2	4/4	2	1	V					C	I	I	V		V							M	0	0	1, 5, 2		1	1	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
9	9	3/4	3/4	4/4	2	1	IV				ii6	C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
10	10	0	0	4/4	2	1	I					C	I	I	I		I							M	0	0	0, 4, 1		0	0	1	5	0.16666666666666666	0.08333333333333333	1.6666666666666667	0.047619047619047616
10	10	1/4	1/4	4/4	2	1	vi				IV6	C	I	I	vi		vi							m	0	0	3, 0, 4		3	3	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
10	10	1/2	1/2	4/4	2	1	V					C	I	I	V		V							M	0	0	1, 5, 2		1	1	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
10	10	3/4	3/4	4/4	2	1	IV				ii6	C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1	1	4	0.2	0.08333333333333333	0.6666666666666666	0.1111111111111111
11	11	0	0	4/4	2	1	I]\\					C	I	I	I		I						\\	M	0	0	0, 4, 1		0	0	7	9	0.4375	0.5208333333333334	1.2291666666666667	0.2976190476190476
12	12	0	0	4/4	2	1	V[I6					C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4	0	6	0.0	0.0	2.0	0.0
12	12	1/2	1/2	4/4	2	1	V7					C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1	0	4	0.0	0.0	0.5	0.0
12	12	3/4	3/4	4/4	2	1	I					C	I	V	I		I							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.5	0.0
13	13	0	0	4/4	2	1	V					C	I	V	V		V							M	0	0	1, 5, 2		1	1	0	5	0.0	0.0	1.5	0.0
