mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	1/4	2/4	2	1	G.I[I		G	I	I	I		I							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.5	0.0
2	1	0	0	2/4	2	1	ii6		G	I	I	ii6		ii		6					m	0	0	0, 4, 3		3	0	3	4	0.42857142857142855	0.125	0.375	0.25
2	1	1/4	1/4	2/4	2	1	V2		G	I	I	V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	3	5	0.375	0.1875	0.3125	0.375
3	2	0	0	2/4	2	1	I		G	I	I	I		I							M	0	0	1, 5, 2		1	1	0	15	0.0	0.0	1.25	0.0
4	3	0	0	2/4	2	1	IV		G	I	I	IV		IV							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.375	0.0
4	3	1/8	1/8	2/4	2	1	V		G	I	I	V		V							M	0	0	2, 6, 3		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
4	3	1/4	1/4	2/4	2	1	vi		G	I	I	vi		vi							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	0.375	0.0
4	3	3/8	3/8	2/4	2	1	IV		G	I	I	IV		IV							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.375	0.0
5	4	0	0	2/4	2	1	#viio/iii]		G	I	I	#viio/iii		#vii	o			iii			o	0	0	10, 7, 4		10	10	1	3	0.25	0.0625	0.3125	0.16666666666666666
5	4	1/8	1/8	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
5	4	1/4	1/4	2/4	2	1	V65/ii		G	I		V65/ii		V		65		ii			Mm7	0	0	8, 5, 2, 4		4	8	0	6	0.0	0.0	0.5	0.0
6	5	0	0	2/4	2	1	V/V		G	I		V/V		V				V			M	0	0	3, 7, 4		3	3	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
6	5	1/4	1/4	2/4	2	1	V65		G	I		V65		V		65					Mm7	0	0	6, 3, 0, 2		2	6	0	6	0.0	0.0	0.5	0.0
7	6	0	0	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	1	7	0.125	0.0625	0.8125	0.07142857142857142
7	6	3/8	3/8	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	4	0.0	0.0	0.375	0.0
8	7	0	0	2/4	2	1	ii6		G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	3	5	0.375	0.1875	0.9375	0.16666666666666666
8	7	3/8	3/8	2/4	2	1	V65/V		G	I		V65/V		V		65		V			Mm7	0	0	7, 4, 1, 3		3	7	0	4	0.0	0.0	0.375	0.0
9	8	0	0	2/4	2	1	V(64)		G	I		V(64)		V			64				M	0	0	2, 1, 5		2	2	0	4	0.0	0.0	0.75	0.0
9	8	1/8	1/8	2/4	2	1	V\\		G	I		V		V						\\	M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
9	8	1/4	1/4	2/4	2	1	I[I		G	I	I	I		I							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.5	0.0
10	9	0	0	2/4	2	1	ii6		G	I	I	ii6		ii		6					m	0	0	0, 4, 3		3	0	3	4	0.42857142857142855	0.125	0.375	0.25
10	9	1/4	1/4	2/4	2	1	V2		G	I	I	V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	3	5	0.375	0.1875	0.3125	0.375
11	10	0	0	2/4	2	1	I		G	I	I	I		I							M	0	0	1, 5, 2		1	1	0	15	0.0	0.0	1.25	0.0
12	11	0	0	2/4	2	1	IV		G	I	I	IV		IV							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.375	0.0
12	11	1/8	1/8	2/4	2	1	V		G	I	I	V		V							M	0	0	2, 6, 3		2	2	1	3	0.25	0.0625	0.3125	0.16666666666666666
12	11	1/4	1/4	2/4	2	1	vi		G	I	I	vi		vi							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	0.375	0.0
12	11	3/8	3/8	2/4	2	1	IV		G	I	I	IV		IV							M	0	0	0, 4, 1		0	0	0	4	0.0	0.0	0.375	0.0
13	12	0	0	2/4	2	1	#viio/iii]		G	I	I	#viio/iii		#vii	o			iii			o	0	0	10, 7, 4		10	10	1	3	0.25	0.0625	0.3125	0.16666666666666666
13	12	1/8	1/8	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
13	12	1/4	1/4	2/4	2	1	V65/IV		G	I		V65/IV		V		65		IV			Mm7	0	0	5, 2, -1, 1		1	5	0	6	0.0	0.0	0.5	0.0
14	13	0	0	2/4	2	1	IV		G	I		IV		IV							M	0	0	0, 4, 1		0	0	1	3	0.25	0.0625	0.3125	0.16666666666666666
14	13	1/8	1/8	2/4	2	1	ii		G	I		ii		ii							m	0	0	3, 0, 4		3	3	0	4	0.0	0.0	0.375	0.0
14	13	1/4	1/4	2/4	2	1	V6		G	I		V6		V		6					M	0	0	6, 3, 2		2	6	1	3	0.25	0.0625	0.3125	0.16666666666666666
14	13	3/8	3/8	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.375	0.0
15	14	0	0	2/4	2	1	IV6		G	I		IV6		IV		6					M	0	0	4, 1, 0		0	4	1	3	0.25	0.0625	0.3125	0.16666666666666666
15	14	1/8	1/8	2/4	2	1	viio		G	I		viio		vii	o						o	0	0	6, 3, 0		6	6	0	4	0.0	0.0	0.375	0.0
15	14	1/4	1/4	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	1	3	0.25	0.0625	0.3125	0.16666666666666666
15	14	3/8	3/8	2/4	2	1	vi		G	I		vi		vi							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	0.375	0.0
16	15	0	0	2/4	2	1	ii6		G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
16	15	1/4	1/4	2/4	2	1	V(64)		G	I		V(64)		V			64				M	0	0	2, 1, 5		2	2	0	4	0.0	0.0	0.75	0.0
16	15	3/8	3/8	2/4	2	1	V		G	I		V		V							M	0	0	2, 6, 3		2	2	0	2	0.0	0.0	0.25	0.0
17	16	0	0	2/4	2	1	I\\		G	I		I		I						\\	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
17	16	1/4	1/4	2/4	2	1	V[V		G	I	V	V		V							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	0.5	0.0
18	17	0	0	2/4	2	1	V6/V		G	I	V	V6/V		V		6		V			M	0	0	7, 4, 3		3	7	4	3	0.5714285714285714	0.25	0.5	0.3333333333333333
18	17	1/4	1/4	2/4	2	1	V7		G	I	V	V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	1	8	0.1111111111111111	0.0625	0.6875	0.08333333333333333
19	18	0	0	2/4	2	1	I		G	I	V	I		I							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.5	0.0
19	18	1/4	1/4	2/4	2	1	V		G	I	V	V		V							M	0	0	2, 6, 3		2	2	0	8	0.0	0.0	0.75	0.0
20	19	0	0	2/4	2	1	I		G	I	V	I		I							M	0	0	1, 5, 2		1	1	0	7	0.0	0.0	0.75	0.0
20	19	1/4	1/4	2/4	2	1	ii		G	I	V	ii		ii							m	0	0	3, 0, 4		3	3	5	4	0.5555555555555556	0.3125	0.4375	0.4166666666666667
21	20	0	0	2/4	2	1	V		G	I	V	V		V							M	0	0	2, 6, 3		2	2	0	6	0.0	0.0	0.75	0.0
21	20	1/4	1/4	2/4	2	1	I		G	I	V	I		I							M	0	0	1, 5, 2		1	1	1	8	0.1111111111111111	0.0625	0.6875	0.08333333333333333
22	21	0	0	2/4	2	1	vi		G	I	V	vi		vi							m	0	0	4, 1, 5		4	4	5	4	0.5555555555555556	0.3125	0.4375	0.4166666666666667
22	21	1/4	1/4	2/4	2	1	V65/V		G	I	V	V65/V		V		65		V			Mm7	0	0	7, 4, 1, 3		3	7	5	4	0.5555555555555556	0.3125	0.4375	0.4166666666666667
23	22	0	0	2/4	2	1	I]\\		G	I	V	I		I						\\	M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.75	0.0
23	22	1/4	1/4	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
23	22	3/8	3/8	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
24	23	0	0	2/4	2	1	V43		G	I		V43		V		43					Mm7	0	0	3, 0, 2, 6		2	3	2	6	0.25	0.0625	0.4375	0.125
24	23	1/4	1/4	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
24	23	3/8	3/8	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
25	24	0	0	2/4	2	1	V43		G	I		V43		V		43					Mm7	0	0	3, 0, 2, 6		2	3	2	6	0.25	0.0625	0.4375	0.125
25	24	1/4	1/4	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
25	24	3/8	3/8	2/4	2	1	V64		G	I		V64		V		64					M	0	0	3, 2, 6		2	3	0	4	0.0	0.0	0.375	0.0
26	25	0	0	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.375	0.0
26	25	1/8	1/8	2/4	2	1	IV6		G	I		IV6		IV		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.375	0.0
26	25	1/4	1/4	2/4	2	1	I64		G	I		I64		I		64					M	0	0	2, 1, 5		1	2	0	4	0.0	0.0	0.375	0.0
26	25	3/8	3/8	2/4	2	1	IV6		G	I		IV6		IV		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.375	0.0
27	26	0	0	2/4	2	1	V		G	I		V		V							M	0	0	2, 6, 3		2	2	1	4	0.2	0.0625	1.3125	0.045454545454545456
27	26	1/4	1/4	2/4	2	1	V7		G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	1	0.0	0.0	0.125	0.0
27	26	3/8	3/8	2/4	2	1	vi		G	I		vi		vi							m	0	0	4, 1, 5		4	4	0	4	0.0	0.0	0.5	0.0
28	27	0	0	2/4	2	1	ii6(2)		G	I		ii6(2)		ii		6	2				m	0	0	0, 4, 5		3	0	0	4	0.0	0.0	0.875	0.0
28	27	1/8	1/8	2/4	2	1	ii6		G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	0	1	0.0	0.0	0.125	0.0
28	27	1/4	1/4	2/4	2	1	V7		G	I		V7		V		7					Mm7	0	0	2, 6, 3, 0		2	2	0	5	0.0	0.0	1.0	0.0
29	28	0	0	2/4	2	1	I\\		G	I		I		I						\\	M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.5	0.0
29	28	1/4	1/4	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
29	28	3/8	3/8	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
30	29	0	0	2/4	2	1	V43		G	I		V43		V		43					Mm7	0	0	3, 0, 2, 6		2	3	2	6	0.25	0.0625	0.4375	0.125
30	29	1/4	1/4	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
30	29	3/8	3/8	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
31	30	0	0	2/4	2	1	V43		G	I		V43		V		43					Mm7	0	0	3, 0, 2, 6		2	3	2	6	0.25	0.0625	0.4375	0.125
31	30	1/4	1/4	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
31	30	3/8	3/8	2/4	2	1	V64		G	I		V64		V		64					M	0	0	3, 2, 6		2	3	0	4	0.0	0.0	0.375	0.0
32	31	0	0	2/4	2	1	I		G	I		I		I							M	0	0	1, 5, 2		1	1	0	4	0.0	0.0	0.375	0.0
32	31	1/8	1/8	2/4	2	1	IV6		G	I		IV6		IV		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.375	0.0
32	31	1/4	1/4	2/4	2	1	I64		G	I		I64		I		64					M	0	0	2, 1, 5		1	2	0	4	0.0	0.0	0.375	0.0
32	31	3/8	3/8	2/4	2	1	IV6		G	I		IV6		IV		6					M	0	0	4, 1, 0		0	4	0	4	0.0	0.0	0.375	0.0
33	32	0	0	2/4	2	1	V2		G	I		V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	0	5	0.0	0.0	1.875	0.0
33	32	3/8	3/8	2/4	2	1	I6		G	I		I6		I		6					M	0	0	5, 2, 1		1	5	0	5	0.0	0.0	0.625	0.0
34	33	0	0	2/4	2	1	ii6		G	I		ii6		ii		6					m	0	0	0, 4, 3		3	0	0	5	0.0	0.0	0.6875	0.0
34	33	1/4	1/4	2/4	2	1	V(64)		G	I		V(64)		V			64				M	0	0	2, 1, 5		2	2	0	4	0.0	0.0	0.5	0.0
34	33	3/8	3/8	2/4	2	1	V		G	I		V		V							M	0	0	2, 6, 3		2	2	0	3	0.0	0.0	0.25	0.0
35	34	0	0	2/4	2	1	I[I		G	I	I	I		I							M	0	0	1, 5, 2		1	1	0	6	0.0	0.0	0.75	0.0
35	34	1/4	1/4	2/4	2	1	V2		G	I	I	V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	4	5	0.4444444444444444	0.25	0.5	0.3333333333333333
36	35	0	0	2/4	2	1	I		G	I	I	I		I							M	0	0	1, 5, 2		1	1	0	8	0.0	0.0	0.75	0.0
36	35	1/4	1/4	2/4	2	1	V2		G	I	I	V2		V		2					Mm7	0	0	0, 2, 6, 3		2	0	4	5	0.4444444444444444	0.25	0.5	0.3333333333333333
37	36	0	0	2/4	2	1	I\\		G	I	I	I		I						\\	M	0	0	1, 5, 2		1	1	0	13	0.0	0.0	1.625	0.0
38	37	1/4	1/4	2/4	2	1	I]		G	I	I	I		I							M	0	0	1, 5, 2		1	1	1	3	0.25	0.0625	0.4375	0.125
39	38	0	0	2/4	2	1	vi.V43		G	vi		V43		V		43					Mm7	0	1	6, 3, 5, 9		5	6	2	9	0.18181818181818182	0.125	1.125	0.1
40	39	0	0	2/4	2	1	i(4)		G	vi		i(4)		i			4				m	0	1	4, 3, 5		4	4	0	3	0.0	0.0	0.625	0.0
40	39	1/8	1/8	2/4	2	1	i		G	vi		i		i							m	0	1	4, 1, 5		4	4	0	1	0.0	0.0	0.125	0.0
40	39	1/4	1/4	2/4	2	1	V2		G	vi		V2		V		2					Mm7	0	1	3, 5, 9, 6		5	3	0	6	0.0	0.0	0.5	0.0
41	40	0	0	2/4	2	1	i6		G	vi		i6		i		6					m	0	1	1, 5, 4		4	1	0	4	0.0	0.0	0.375	0.0
41	40	1/8	1/8	2/4	2	1	#viio		G	vi		#viio		#vii	o						o	0	1	9, 6, 3		9	9	0	4	0.0	0.0	0.375	0.0
41	40	1/4	1/4	2/4	2	1	i		G	vi		i		i							m	0	1	4, 1, 5		4	4	0	8	0.0	0.0	0.75	0.0
42	41	0	0	2/4	2	1	V.V(64)		G	V		V(64)		V			64				M	0	0	3, 2, 6		3	3	0	3	0.0	0.0	0.375	0.0
42	41	1/8	1/8	2/4	2	1	viio6\\		G	V		viio6		vii	o	6				\\	o	0	0	4, 1, 7		7	4	0	2	0.0	0.0	0.25	0.0
42	41	1/4	1/4	2/4	2	1	V		G	V		V		V							M	0	0	3, 7, 4		3	3	0	8	0.0	0.0	0.75	0.0
43	42	0	0	2/4	2	1	vi7		G	V		vi7		vi		7					mm7	0	0	5, 2, 6, 3		5	5	0	8	0.0	0.0	0.75	0.0
43	42	1/4	1/4	2/4	2	1	V6		G	V		V6		V		6					M	0	0	7, 4, 3		3	7	0	8	0.0	0.0	0.75	0.0
