mc	mn	onset	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	staff	voice	volta
1	0	3/8	1/16		1/16	1		-1	77	1	1	
1	0	7/16	1/16		1/16	1		3	81	1	1	
2	1	0	1/8		1/8	1		0	72	1	1	
2	1	1/8	1/8		1/8	1		-1	53	2	1	
2	1	1/8	1/8		1/8	1		3	57	2	1	
2	1	1/8	3/16		1/8	3/2		0	72	1	1	
2	1	1/4	1/8		1/8	1		-1	53	2	1	
2	1	1/4	1/8		1/8	1		3	57	2	1	
2	1	5/16	1/16		1/16	1		3	81	1	1	
2	1	3/8	1/8		1/8	1		-1	53	2	1	
2	1	3/8	1/8		1/8	1		3	57	2	1	
2	1	3/8	1/16		1/16	1		1	79	1	1	
2	1	7/16	1/16		1/16	1		-1	77	1	1	
3	2	0	0	grace16	1/16	1		4	76	1	1	
3	2	0	1/8		1/8	1		-1	53	2	1	
3	2	0	1/8		1/8	1		-2	58	2	1	
3	2	0	1/8		1/8	1		2	74	1	1	
3	2	1/8	1/8		1/8	1		-1	53	2	1	
3	2	1/8	1/8		1/8	1		3	57	2	1	
3	2	1/8	1/8		1/8	1		0	72	1	1	
3	2	1/4	1/16		1/16	1		0	72	1	1	
3	2	5/16	1/16		1/16	1		-1	77	1	1	
3	2	3/8	1/8		1/8	1		-1	53	2	1	
3	2	3/8	1/8		1/8	1		3	57	2	1	
3	2	3/8	1/16		1/16	1		3	81	1	1	
3	2	7/16	1/16		1/16	1		0	84	1	1	
4	3	0	1/4		1/4	1		-1	53	2	1	
4	3	0	1/4		1/4	1		2	62	2	1	
4	3	0	1/16		1/16	1		0	84	1	1	
4	3	1/16	1/16		1/16	1		-2	82	1	1	
4	3	1/8	1/8		1/8	1		-2	82	1	1	
4	3	1/4	1/4		1/4	1		-1	53	2	1	
4	3	1/4	1/4		1/4	1		4	64	2	1	
4	3	1/4	1/24		1/16	2/3		1	79	1	1	
4	3	7/24	1/24		1/16	2/3		3	81	1	1	
4	3	1/3	1/24		1/16	2/3		-2	82	1	1	
4	3	3/8	1/24		1/16	2/3		2	86	1	1	
4	3	5/12	1/24		1/16	2/3		0	84	1	1	
4	3	11/24	1/24		1/16	2/3		-2	82	1	1	
5	4	0	1/4		1/4	1		-1	53	2	1	
5	4	0	1/4		1/4	1		-1	65	2	1	
5	4	0	1/8		1/8	1		8	80	1	1	
5	4	1/8	1/8		1/8	1		3	81	1	1	
5	4	1/4	1/24		1/16	2/3		0	84	1	1	
5	4	7/24	1/24		1/16	2/3		-2	82	1	1	
5	4	1/3	1/24		1/16	2/3		3	81	1	1	
5	4	3/8	1/8		1/8	1		1	55	2	1	
5	4	3/8	1/8		1/8	1		-2	58	2	1	
5	4	3/8	1/24		1/16	2/3		1	79	1	1	
5	4	5/12	1/24		1/16	2/3		-1	77	1	1	
5	4	11/24	1/24		1/16	2/3		4	76	1	1	
6	5	0	1/4		1/4	1		3	57	2	1	
6	5	0	1/4		1/4	1		0	60	2	1	
6	5	0	1/24		1/16	2/3		-1	77	1	1	
6	5	1/24	1/24		1/16	2/3		3	81	1	1	
6	5	1/12	1/24		1/16	2/3		1	79	1	1	
6	5	1/8	1/24		1/16	2/3		-1	77	1	1	
6	5	1/6	1/24		1/16	2/3		4	76	1	1	
6	5	5/24	1/24		1/16	2/3		2	74	1	1	
6	5	1/4	1/8		1/8	1		1	55	2	1	
6	5	1/4	1/8		1/8	1		2	62	2	1	
6	5	1/4	1/8		1/8	1		0	72	1	1	
6	5	3/8	1/8		1/8	1		0	60	2	1	
6	5	3/8	1/8		1/8	1		4	64	2	1	
6	5	3/8	1/8		1/8	1		-2	70	1	1	
7	6	0	1/8		1/8	1		-1	53	2	1	
7	6	0	1/8		1/8	1		-1	65	2	1	
7	6	0	1/8		1/8	1		3	69	1	1	
7	6	1/4	1/24		1/16	2/3		-1	53	2	1	
7	6	1/4	1/24		1/16	2/3		-1	65	1	1	
7	6	7/24	1/24		1/16	2/3		1	55	2	1	
7	6	7/24	1/24		1/16	2/3		1	67	1	1	
7	6	1/3	1/24		1/16	2/3		3	57	2	1	
7	6	1/3	1/24		1/16	2/3		3	69	1	1	
7	6	3/8	1/24		1/16	2/3		-2	58	2	1	
7	6	3/8	1/24		1/16	2/3		-2	70	1	1	
7	6	5/12	1/24		1/16	2/3		3	57	2	1	
7	6	5/12	1/24		1/16	2/3		3	69	1	1	
7	6	11/24	1/24		1/16	2/3		1	55	2	1	
7	6	11/24	1/24		1/16	2/3		1	67	1	1	
8	7	0	1/8		1/8	1		-1	53	2	1	
8	7	0	1/8		1/8	1		-1	65	1	1	
8	7	1/8	1/8		1/8	1		3	69	1	1	
8	7	1/8	1/8		1/8	1		0	72	1	1	
8	7	1/4	1/8		1/8	1		1	67	1	1	
8	7	1/4	1/8		1/8	1		-2	70	1	1	
8	7	3/8	1/8		1/8	1		0	48	2	1	
8	7	3/8	1/8		1/8	1		0	60	2	1	
8	7	3/8	1/8		1/8	1		4	64	1	1	
8	7	3/8	1/8		1/8	1		1	67	1	1	
9	8	0	1/8		1/8	1		-1	53	2	1	
9	8	0	1/8		1/8	1		0	60	2	1	
9	8	0	1/8		1/8	1		-1	65	1	1	
9	8	0	1/8		1/8	1		3	69	1	1	
9	8	1/4	1/24		1/16	2/3		-1	53	2	1	
9	8	1/4	1/24		1/16	2/3		-1	65	1	1	
9	8	7/24	1/24		1/16	2/3		1	55	2	1	
9	8	7/24	1/24		1/16	2/3		1	67	1	1	
9	8	1/3	1/24		1/16	2/3		3	57	2	1	
9	8	1/3	1/24		1/16	2/3		3	69	1	1	
9	8	3/8	1/24		1/16	2/3		-2	58	2	1	
