mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0	0.25	0	1/4	2/4	2	1	1/16		1/16	1		2	62	D4	4	2
1	0	0	0	0.5	0	1/4	2/4	1	1	1/8		1/8	1		-1	77	F5	5	0
1	0	1/4	1/4	0.25	1/16	5/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	3
1	0	1/2	1/2	0.25	1/8	3/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	4
1	0	1/2	1/2	0.5	1/8	3/8	2/4	1	1	1/8		1/8	1		-1	77	F5	5	1
1	0	3/4	3/4	0.25	3/16	7/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	5
2	1	1	1	0.25	0	0	2/4	2	1	1/16		1/16	1		-2	58	Bb3	3	10
2	1	1	1	0.5	0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	6
2	1	5/4	5/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	11
2	1	3/2	3/2	0.25	1/8	1/8	2/4	2	1	1/16		1/16	1		-2	58	Bb3	3	12
2	1	3/2	3/2	0.5	1/8	1/8	2/4	1	1	1/8		1/8	1		2	74	D5	5	7
2	1	7/4	7/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	13
2	1	2	2	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		2	62	D4	4	14
2	1	2	2	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		-1	77	F5	5	8
2	1	9/4	9/4	0.25	5/16	5/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	15
2	1	5/2	5/2	0.25	3/8	3/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	16
2	1	5/2	5/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		-1	77	F5	5	9
2	1	11/4	11/4	0.25	7/16	7/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	17
3	2	3	3	2.0	0	0	2/4	2	2	1/2		1/2	1		-2	58	Bb3	3	31
3	2	3	3	0.25	0	0	2/4	2	1	1/16		1/16	1		2	62	D4	4	23
3	2	3	3	1.0	0	0	2/4	1	1	1/4		1/4	1		-2	70	Bb4	4	18
3	2	3	3	1.0	0	0	2/4	1	1	1/4		1/4	1		-2	82	Bb5	5	18
3	2	13/4	13/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	24
3	2	7/2	7/2	0.25	1/8	1/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	25
3	2	15/4	15/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	26
3	2	4	4	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		2	62	D4	4	27
3	2	4	4	0.375	1/4	1/4	2/4	1	1	3/32		1/16	3/2		2	86	D6	6	19
3	2	17/4	17/4	0.25	5/16	5/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	28
3	2	35/8	35/8	0.125	11/32	11/32	2/4	1	1	1/32		1/32	1		-2	82	Bb5	5	20
3	2	9/2	9/2	0.25	3/8	3/8	2/4	2	1	1/16		1/16	1		-3	63	Eb4	4	29
3	2	9/2	9/2	0.375	3/8	3/8	2/4	1	1	3/32		1/16	3/2		0	84	C6	6	21
3	2	19/4	19/4	0.25	7/16	7/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	30
3	2	39/8	39/8	0.125	15/32	15/32	2/4	1	1	1/32		1/32	1		3	81	A5	5	22
4	3	5	5	1.0	0	0	2/4	2	2	1/4		1/4	1		-2	58	Bb3	3	48
4	3	5	5	0.25	0	0	2/4	2	1	1/16		1/16	1		2	62	D4	4	40
4	3	5	5	0.375	0	0	2/4	1	1	3/32		1/16	3/2		-2	82	Bb5	5	32
4	3	21/4	21/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	41
4	3	43/8	43/8	0.125	3/32	3/32	2/4	1	1	1/32		1/32	1		2	86	D6	6	33
4	3	11/2	11/2	0.25	1/8	1/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	42
4	3	11/2	11/2	0.25	1/8	1/8	2/4	1	1	1/16		1/16	1		-1	77	F5	5	34
4	3	23/4	23/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	43
4	3	23/4	23/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		-1	77	F5	5	35
4	3	6	6	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		3	57	A3	3	44
4	3	6	6	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		0	60	C4	4	44
4	3	6	6	0.375	1/4	1/4	2/4	1	1	3/32		1/16	3/2		-3	75	Eb5	5	36
4	3	25/4	25/4	0.25	5/16	5/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	45
4	3	51/8	51/8	0.125	11/32	11/32	2/4	1	1	1/32		1/32	1		0	72	C5	5	37
4	3	13/2	13/2	0.25	3/8	3/8	2/4	2	1	1/16		1/16	1		-2	58	Bb3	3	46
4	3	13/2	13/2	0.375	3/8	3/8	2/4	1	1	3/32		1/16	3/2		2	74	D5	5	38
4	3	27/4	27/4	0.25	7/16	7/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	47
4	3	55/8	55/8	0.125	15/32	15/32	2/4	1	1	1/32		1/32	1		-2	70	Bb4	4	39
5	4	7	7	0.25	0	0	2/4	2	1	1/16		1/16	1		-1	53	F3	3	53
5	4	7	7	0.5	0	0	2/4	1	1	1/8		1/8	1		-2	70	Bb4	4	49
5	4	7	7	0.5	0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	49
5	4	29/4	29/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	54
5	4	15/2	15/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	55
5	4	15/2	15/2	0.5	1/8	1/8	2/4	1	1	1/8		1/8	1		3	69	A4	4	50
5	4	15/2	15/2	0.5	1/8	1/8	2/4	1	1	1/8		1/8	1		0	72	C5	5	50
5	4	8	8	0.25	1/4	1/4	2/4	2	1	1/16		1/16	1		2	62	D4	4	56
5	4	8	8	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		-1	77	F5	5	51
5	4	33/4	33/4	0.25	5/16	5/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	57
5	4	17/2	17/2	0.25	3/8	3/8	2/4	2	1	1/16		1/16	1		2	62	D4	4	58
5	4	17/2	17/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		-1	77	F5	5	52
5	4	35/4	35/4	0.25	7/16	7/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	59
6	5	9	9	0.25	0	0	2/4	2	1	1/16		1/16	1		-2	58	Bb3	3	64
6	5	9	9	0.5	0	0	2/4	1	1	1/8		1/8	1		2	74	D5	5	60
6	5	37/4	37/4	0.25	1/16	1/16	2/4	2	1	1/16		1/16	1		-1	65	F4	4	65
