mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	2/4	1	1	0							"<font size=""11.5335""/><font face=""Times New Roman""/><b>Adagio</b>"							
1	1	0	0	0.0	0	0	Tempo	2/4	1	1	0								𝅘𝅥=44	44.0	𝅘𝅥	44.0	0.0		
1	1	0	0	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	0										
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	1										
1	1	1	1	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	2										
1	1	5/4	5/4	0.5	5/16	5/16	Chord	2/4	1	1	1/8		1/8	1	3										
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	4										
1	1	0	0	0.75	0	0	Chord	2/4	2	1	3/16		1/8	3/2	5										
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	6										
1	1	1	1	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	7										
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	8										
1	1	0	0	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	9										
1	1	1	1	1.0	1/4	1/4	Chord	2/4	2	2	1/4		1/4	1	10										
2	2	2	2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	11										
2	2	9/4	9/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	12										
2	2	5/2	5/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	13										
2	2	11/4	11/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	14										
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	15										
2	2	7/2	7/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	16										
2	2	29/8	29/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	17										
2	2	15/4	15/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	18										
2	2	31/8	31/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	19										
2	2	2	2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	20										
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	21										
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	22										
2	2	2	2	1.0	0	0	Chord	2/4	2	2	1/4		1/4	1	23										
2	2	3	3	0.5	1/4	1/4	Chord	2/4	2	2	1/8		1/8	1	24										
3	3	4	4	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	25										
3	3	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	26										
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	27										
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	28										
3	3	5	5	0.0	1/4	1/4	Chord	2/4	1	1	0	appoggiatura	1/8	1	29										
3	3	5	5	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	30										
3	3	21/4	21/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	31										
3	3	11/2	11/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	32										
3	3	23/4	23/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	33										
3	3	4	4	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	34										
3	3	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	35										
3	3	5	5	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	36										
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	37										
4	4	6	6	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	38		ornamentTurnInverted								
4	4	13/2	13/2	0.375	1/8	1/8	Chord	2/4	1	1	3/32		1/16	3/2	39										
4	4	55/8	55/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	40										
4	4	7	7	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	41										
4	4	15/2	15/2	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	42										
4	4	63/8	63/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	43										
4	4	6	6	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	44										
4	4	7	7	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	45										
