mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
1	0	0	0	0.0	0	3/8	Dynamic	3/4	1	1	0					p									
1	0	0	0	0.0	0	3/8	Tempo	3/4	1	1	0								𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0		
1	0	0	0	0.5	0	3/8	Chord	3/4	1	1	1/8		1/8	1	0		articStaccatoBelow								
1	0	1/2	1/2	0.5	1/8	1/2	Chord	3/4	1	1	1/8		1/8	1	1		articStaccatoBelow								
1	0	1	1	0.5	1/4	5/8	Chord	3/4	1	1	1/8		1/8	1	2		articStaccatoBelow								
1	0	0	0	0.5	0	3/8	Chord	3/4	2	1	1/8		1/8	1	3		articStaccatoAbove								
1	0	1/2	1/2	0.5	1/8	1/2	Chord	3/4	2	1	1/8		1/8	1	4		articStaccatoAbove								
1	0	1	1	0.5	1/4	5/8	Chord	3/4	2	1	1/8		1/8	1	5		articStaccatoAbove								
2	1	3/2	3/2	0.0	0	0	Dynamic	3/4	1	1	0					sf									
2	1	3/2	3/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	6									0	
2	1	5/2	5/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	7										
2	1	3	3	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	8		articStaccatoAbove								
2	1	7/2	7/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	9		articStaccatoAbove								
2	1	4	4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	10		articStaccatoAbove								
2	1	3/2	3/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	11										
2	1	5/2	5/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	12										
2	1	3	3	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	13		articStaccatoAbove								
2	1	7/2	7/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	14		articStaccatoAbove								
2	1	4	4	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	15		articStaccatoAbove								
3	2	9/2	9/2	0.0	0	0	Dynamic	3/4	1	1	0					sf									
3	2	9/2	9/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	16									1	
3	2	11/2	11/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	17										
3	2	6	6	0.0	3/8	3/8	Dynamic	3/4	1	1	0					f									
3	2	6	6	0.0	3/8	3/8	Chord	3/4	1	1	0	grace16	1/16	1	18										
3	2	6	6	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	19										
3	2	13/2	13/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	20										
3	2	27/4	27/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	21										
3	2	7	7	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	22										
3	2	29/4	29/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	23										
3	2	9/2	9/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	24										
3	2	11/2	11/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	25										
3	2	6	6	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	26		articStaccatoAbove								
3	2	13/2	13/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	27		articStaccatoAbove								
3	2	7	7	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	28		articStaccatoAbove								
4	3	15/2	15/2	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	29										
4	3	31/4	31/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	30										
4	3	8	8	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	31										
4	3	33/4	33/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	32										
4	3	17/2	17/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	33										
4	3	35/4	35/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	34										
4	3	9	9	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	35										
4	3	37/4	37/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	36										
4	3	19/2	19/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	37										
4	3	39/4	39/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	38										
4	3	10	10	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	39										
4	3	41/4	41/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	40										
4	3	15/2	15/2	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	41										
4	3	19/2	19/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	42										
4	3	17/2	17/2	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	43										
5	4	21/2	21/2	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	44										
5	4	43/4	43/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	45										
5	4	11	11	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	46										
5	4	45/4	45/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	47										
5	4	23/2	23/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	48										
5	4	47/4	47/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	49										
5	4	12	12	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	50										
5	4	49/4	49/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	51										
5	4	25/2	25/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	52										
5	4	51/4	51/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	53										
5	4	13	13	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	54										
5	4	53/4	53/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	55										
5	4	21/2	21/2	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	56										
5	4	25/2	25/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57										
5	4	21/2	21/2	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	58										
5	4	23/2	23/2	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	59										
6	5	27/2	27/2	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	60										
6	5	55/4	55/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	61										
6	5	14	14	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	62										
6	5	57/4	57/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	63										
6	5	29/2	29/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16		1/16	1	64										
6	5	59/4	59/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16		1/16	1	65										
6	5	15	15	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	66										
6	5	61/4	61/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	67										
6	5	31/2	31/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	68										
6	5	63/4	63/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	69										
6	5	16	16	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	70										
6	5	65/4	65/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	71										
6	5	27/2	27/2	2.0	0	0	Chord	3/4	2	1	1/2		1/2	1	72										
6	5	31/2	31/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	73										
6	5	27/2	27/2	1.0	0	0	Chord	3/4	2	2	1/4		1/4	1	74										
6	5	29/2	29/2	2.0	1/4	1/4	Chord	3/4	2	2	1/2		1/2	1	75										
7	6	33/2	33/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	76										
7	6	19	19	0.0	5/8	5/8	Dynamic	3/4	1	1	0					p									
7	6	19	19	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	77										
7	6	33/2	33/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	78										
8	7	39/2	39/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	79										
8	7	20	20	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	80										
8	7	21	21	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	81										
8	7	22	22	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	82										
8	7	39/2	39/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	83		articStaccatoAbove								
8	7	41/2	41/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	84		articStaccatoAbove								
8	7	43/2	43/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	85		articStaccatoAbove								
9	8	45/2	45/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	86										
9	8	23	23	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	87										
9	8	24	24	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	88										
9	8	25	25	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	89										
9	8	45/2	45/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	90		articStaccatoAbove								
9	8	47/2	47/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	91		articStaccatoAbove								
9	8	49/2	49/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	92		articStaccatoAbove								
10	9	51/2	51/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	93										
10	9	26	26	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	94										
10	9	27	27	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	95										
10	9	28	28	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	96										
10	9	51/2	51/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	97		articStaccatoAbove								
10	9	53/2	53/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	98		articStaccatoAbove								
10	9	55/2	55/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	99		articStaccatoAbove								
11	10	57/2	57/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	100										
11	10	29	29	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	101										
11	10	30	30	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	102										
11	10	31	31	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	103										
11	10	57/2	57/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	104		articStaccatoAbove								
11	10	59/2	59/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	105		articStaccatoAbove								
11	10	61/2	61/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	106		articStaccatoBelow								
12	11	63/2	63/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	107										
12	11	32	32	1.0	1/8	1/8	Chord	3/4	1	1	1/4		1/4	1	108										
12	11	33	33	1.0	3/8	3/8	Chord	3/4	1	1	1/4		1/4	1	109										
12	11	34	34	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	110										
12	11	63/2	63/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	111		articStaccatoAbove								
12	11	65/2	65/2	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	112		articStaccatoAbove								
12	11	67/2	67/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	113		articStaccatoAbove								
13	12	69/2	69/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	114										
13	12	36	36	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	115		articStaccatoBelow								
13	12	73/2	73/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	116		articStaccatoBelow								
13	12	37	37	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	117		articStaccatoBelow								
13	12	69/2	69/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	118										
13	12	36	36	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	119		articStaccatoAbove								
13	12	73/2	73/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	120		articStaccatoAbove								
13	12	37	37	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	121		articStaccatoAbove								
14	13	75/2	75/2	0.0	0	0	Dynamic	3/4	1	1	0					sf									
14	13	75/2	75/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	122									2	
14	13	77/2	77/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	123										
14	13	39	39	0.0	3/8	3/8	Dynamic	3/4	1	1	0					f									
14	13	39	39	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	124		articStaccatoAbove								
14	13	79/2	79/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	125		articStaccatoAbove								
14	13	40	40	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	126		articStaccatoAbove								
14	13	75/2	75/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	127										
14	13	77/2	77/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	128										
14	13	39	39	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	129										
14	13	79/2	79/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	130										
14	13	40	40	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	131										
15	14	81/2	81/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	132										
15	14	165/4	165/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	133										
15	14	83/2	83/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	134										
15	14	42	42	0.0	3/8	3/8	Dynamic	3/4	1	1	0					p									
15	14	42	42	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	135									3	
15	14	85/2	85/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	136									3	
15	14	43	43	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	137										
15	14	81/2	81/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	138										
15	14	83/2	83/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	139										
15	14	81/2	81/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	140										
15	14	83/2	83/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	141										
15	14	42	42	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	142										
15	14	85/2	85/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	143										
15	14	43	43	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	144										
16	15	87/2	87/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	145									4	
16	15	89/2	89/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	146										
16	15	45	45	0.0	3/8	3/8	Dynamic	3/4	1	1	0					f									
16	15	45	45	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	147		articStaccatoAbove								
16	15	91/2	91/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	148		articStaccatoAbove								
16	15	46	46	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	149		articStaccatoAbove								
16	15	87/2	87/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	150										
16	15	89/2	89/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	151										
16	15	45	45	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	152										
16	15	91/2	91/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	153										
16	15	46	46	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	154										
17	16	93/2	93/2	0.75	0	0	Chord	3/4	1	1	3/16		1/8	3/2	155										
17	16	189/4	189/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	156										
17	16	95/2	95/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	157										
17	16	48	48	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	158										
17	16	193/4	193/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16		1/16	1	159										
17	16	97/2	97/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16		1/16	1	160										
17	16	195/4	195/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16		1/16	1	161										
17	16	49	49	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	162										
17	16	197/4	197/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	163										
17	16	93/2	93/2	1.0	0	0	Chord	3/4	1	2	1/4		1/4	1	164										
17	16	95/2	95/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	165										
17	16	93/2	93/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	166										
17	16	95/2	95/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	167										
17	16	49	49	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	168										
18	17	99/2	99/2	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	169										
18	17	199/4	199/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	170										
18	17	50	50	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	171										
18	17	201/4	201/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	172										
18	17	101/2	101/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	173										
18	17	51	51	0.25	3/8	3/8	Chord	3/4	1	1	1/16		1/16	1	174										
