mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
3	3	11	11	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	40		articStaccatoAbove								
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	41		articStaccatoAbove								
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	42										
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	43		ornamentTrill								
4	4	13	13	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	44										
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	45										
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	46										
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	47										
4	4	15	15	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	48										
4	4	61/4	61/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	49										
4	4	31/2	31/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	50										
4	4	63/4	63/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	51										
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	52										
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	53										
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	54										
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	55										
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	56										
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	57										
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	58										
5	5	16	16	0.0	0	0	Dynamic	4/4	1	1	0						sf									
5	5	16	16	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	59										
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	60										
5	5	17	17	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	61										
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	62										
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	63										
5	5	19	19	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	64										
5	5	77/4	77/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	65										
5	5	39/2	39/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	66										
5	5	79/4	79/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	67										
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	68										
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	69										
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	70										
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	71										
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	72										
5	5	19	19	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	73										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	74										
6	6	20	20	0.75	0	0	Chord	4/4	1	1	3/16			1/8	3/2	75										
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	76										
6	6	21	21	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	77										
6	6	45/2	45/2	0.0	5/8	5/8	StaffText	4/4	1	1	0								"<font size=""17.8494""/><font face=""Opus""/>"							
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	78										
6	6	23	23	0.0	3/4	3/4	Chord	4/4	1	1	0	grace16		1/16	1	79										
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	80										
6	6	47/2	47/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	81										
6	6	95/4	95/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	82										
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	83										
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	84										
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	85										
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	86										
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	87										
6	6	23	23	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	88										
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	89										
7	7	24	24	0.0	0	0	Chord	4/4	1	1	0	appoggiatura		1/8	1	90										
7	7	24	24	1.5	0	0	Chord	4/4	1	1	3/8			1/4	3/2	91										
7	7	51/2	51/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	92										
7	7	103/4	103/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	93										
7	7	26	26	0.0	1/2	1/2	Chord	4/4	1	1	0	appoggiatura		1/8	1	94										
7	7	26	26	1.5	1/2	1/2	Chord	4/4	1	1	3/8			1/4	3/2	95										
7	7	55/2	55/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	96										
7	7	111/4	111/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	97										
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	98										
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	99										
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	100										
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	101										
7	7	27	27	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	102										
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	103										
8	8	28	28	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	104										
8	8	117/4	117/4	0.0	5/16	5/16	Dynamic	4/4	1	1	0						f									
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	105										
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	106										
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	107										
8	8	30	30	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	108										
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	109										
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	110										
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	111										
8	8	31	31	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	112										
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	113										
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	114										
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	115										
8	8	28	28	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	116										
8	8	117/4	117/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	117										
8	8	59/2	59/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	118										
8	8	119/4	119/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	119										
8	8	30	30	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	120										
8	8	121/4	121/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	121										
8	8	61/2	61/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	122										
8	8	123/4	123/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	123										
8	8	31	31	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	124										
8	8	125/4	125/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	125										
8	8	63/2	63/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	126										
8	8	127/4	127/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	127										
9	9	32	32	0.25	0	0	Chord	4/4	1	1	1/16			1/16	1	128										
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16			1/16	1	129										
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16			1/16	1	130										
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16			1/16	1	131										
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	132										
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	133										
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	134										
9	9	34	34	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	135										
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	136										
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	137										
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	138										
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8			1/8	1	139		articStaccatoBelow								
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8			1/8	1	140		articStaccatoBelow								
9	9	32	32	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	141										
9	9	129/4	129/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	142										
9	9	65/2	65/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	143										
9	9	131/4	131/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	144										
9	9	133/4	133/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16			1/16	1	145										
9	9	67/2	67/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16			1/16	1	146										
9	9	135/4	135/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16			1/16	1	147										
9	9	34	34	0.25	1/2	1/2	Chord	4/4	2	1	1/16			1/16	1	148										
9	9	137/4	137/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16			1/16	1	149										
9	9	69/2	69/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16			1/16	1	150										
9	9	139/4	139/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16			1/16	1	151										
9	9	35	35	0.25	3/4	3/4	Chord	4/4	2	1	1/16			1/16	1	152										
9	9	141/4	141/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16			1/16	1	153										
9	9	71/2	71/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16			1/16	1	154										
9	9	143/4	143/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16			1/16	1	155										
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	156		articStaccatoBelow								
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	157		articStaccatoBelow								
10	10	149/4	149/4	0.0	5/16	5/16	Dynamic	4/4	1	1	0						p									
10	10	149/4	149/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	158										
10	10	75/2	75/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	159										
10	10	151/4	151/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	160										
10	10	38	38	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	161										
10	10	153/4	153/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	162										
10	10	77/2	77/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	163										
10	10	155/4	155/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	164										
10	10	39	39	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	165										
10	10	157/4	157/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	166										
10	10	79/2	79/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	167										
10	10	159/4	159/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	168										
10	10	36	36	0.25	0	0	Chord	4/4	2	1	1/16			1/16	1	169										
10	10	145/4	145/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16			1/16	1	170										
10	10	73/2	73/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16			1/16	1	171										
10	10	147/4	147/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16			1/16	1	172										
11	11	40	40	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	173									0	
11	11	81/2	81/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	174		articStaccatoBelow								
11	11	165/4	165/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	175										
11	11	83/2	83/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	176										
11	11	167/4	167/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	177										
11	11	42	42	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	178										
11	11	169/4	169/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	179										
11	11	85/2	85/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	180										
11	11	171/4	171/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	181										
11	11	43	43	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	182										
11	11	173/4	173/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	183										
11	11	87/2	87/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	184										
11	11	175/4	175/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	185										
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	186										
11	11	43	43	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	187										
12	12	44	44	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	188										
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	189										
12	12	181/4	181/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16			1/16	1	190										
12	12	91/2	91/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	191										
12	12	183/4	183/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	192										
12	12	46	46	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	193										
12	12	185/4	185/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	194										
12	12	93/2	93/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	195										
12	12	187/4	187/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	196										
12	12	47	47	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	197										
12	12	189/4	189/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	198										
12	12	95/2	95/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	199										
12	12	191/4	191/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	200										
12	12	44	44	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	201										
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	202										
13	13	48	48	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	203									1	
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	204		articStaccatoAbove								
13	13	99/2	99/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	205										
13	13	199/4	199/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	206										
13	13	50	50	0.25	1/2	1/2	Chord	4/4	1	1	1/16			1/16	1	207										
13	13	201/4	201/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	208										
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	209										
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	210										
13	13	51	51	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	211										
13	13	205/4	205/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	212										
13	13	103/2	103/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	213										
13	13	207/4	207/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	214										
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4			1/4	1	215										
13	13	51	51	1.0	3/4	3/4	Chord	4/4	2	1	1/4			1/4	1	216										
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	217		articStaccatoBelow								
14	14	53	53	1.5	1/4	1/4	Chord	4/4	1	1	3/8			1/4	3/2	218										
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8			1/8	1	219										
14	14	55	55	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	220										
14	14	221/4	221/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	221										
14	14	111/2	111/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	222										
14	14	223/4	223/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	223										
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	224		articStaccatoAbove								
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	225		articStaccatoAbove								
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	226		articStaccatoAbove								
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	227		articStaccatoAbove								
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	228		articStaccatoAbove								
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	229		articStaccatoAbove								
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	230		articStaccatoAbove								
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	231									2	
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	232		articStaccatoBelow								
15	15	233/4	233/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	233										
15	15	117/2	117/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	234										
15	15	235/4	235/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	235										
15	15	59	59	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	236										
15	15	237/4	237/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	237										
15	15	119/2	119/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	238										
15	15	239/4	239/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	239										
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	240		articStaccatoAbove								
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	241		articStaccatoAbove								
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	242		articStaccatoAbove								
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	243		articStaccatoAbove								
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	244		articStaccatoAbove								
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	245		articStaccatoAbove								
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	246		articStaccatoAbove								
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4			1/4	1	247									3	
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	1	1/4			1/4	1	248		articStaccatoAbove								
16	16	249/4	249/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16			1/16	1	249										
16	16	125/2	125/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16			1/16	1	250										
16	16	251/4	251/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16			1/16	1	251										
16	16	63	63	0.25	3/4	3/4	Chord	4/4	1	1	1/16			1/16	1	252										
16	16	253/4	253/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16			1/16	1	253										
16	16	127/2	127/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16			1/16	1	254										
16	16	255/4	255/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16			1/16	1	255										
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8			1/8	1	256		articStaccatoAbove								
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8			1/8	1	257		articStaccatoAbove								
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8			1/8	1	258		articStaccatoAbove								
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8			1/8	1	259		articStaccatoAbove								
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8			1/8	1	260		articStaccatoAbove								
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8			1/8	1	261		articStaccatoAbove								
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8			1/8	1	262		articStaccatoAbove								
17	17	64	64	0.5	0	0	Chord	4/4	1	1	1/8			1/8	1	263									4	
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8			1/8	1	264										
17	17	131/2	131/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16			1/16	1	265									5	
17	17	263/4	263/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16			1/16	1	266										
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8			1/8	1	267									6	
