mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
3	2	5	5	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	18										
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	19										
3	2	7/2	7/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	20										
3	2	5	5	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	21										
3	2	7/2	7/2	2.0	0	0	Chord	6/8	2	2	1/2		1/2	1	22										
4	3	13/2	13/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	23										
4	3	7	7	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	24										
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	25										
4	3	8	8	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	26										
4	3	8	8	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	27										
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	28										
4	3	9	9	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	29										
4	3	13/2	13/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	30										
4	3	7	7	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	31										
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	32										
4	3	8	8	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	33										
4	3	17/2	17/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	34										
4	3	9	9	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	35										
4	3	13/2	13/2	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	36										
4	3	8	8	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	37										
5	4	19/2	19/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	38										
5	4	21/2	21/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	39										
5	4	11	11	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	40										
5	4	12	12	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	41										
5	4	19/2	19/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	42										
5	4	11	11	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	43										
5	4	12	12	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	44										
5	4	19/2	19/2	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	45										
6	5	25/2	25/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	46									0	
6	5	13	13	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	47										
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	48										
6	5	14	14	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	49									1	
6	5	29/2	29/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	50										
6	5	15	15	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	51										
6	5	25/2	25/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	52										
6	5	27/2	27/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	53										
6	5	14	14	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	54										
6	5	15	15	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	55										
7	6	31/2	31/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	56									2	
7	6	16	16	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	57										
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	58										
7	6	17	17	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	59									3	
7	6	35/2	35/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	60										
7	6	18	18	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	61										
7	6	31/2	31/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	62										
7	6	33/2	33/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	63										
7	6	17	17	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	64										
7	6	18	18	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	65										
8	7	37/2	37/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	66									4	
8	7	19	19	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	67										
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	68										
8	7	20	20	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	69									5	
8	7	41/2	41/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	70										
8	7	21	21	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	71										
8	7	37/2	37/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	72										
8	7	20	20	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	73										
8	7	37/2	37/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	74										
8	7	39/2	39/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	75										
8	7	20	20	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	76										
8	7	21	21	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	77										
9	8	43/2	43/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	78										
9	8	45/2	45/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	79										
9	8	91/4	91/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	80										
9	8	23	23	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	81										
9	8	24	24	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	82										
9	8	43/2	43/2	2.0	0	0	Chord	6/8	2	1	1/2		1/2	1	83										
10	9	49/2	49/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	84										
10	9	25	25	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	85										
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	86										
10	9	26	26	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	87										
10	9	26	26	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	88										
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	89										
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	90										
10	9	49/2	49/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	91										
10	9	25	25	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	92										
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	93										
10	9	26	26	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	94										
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	95										
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	96										
10	9	49/2	49/2	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	97										
10	9	26	26	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	98										
11	10	55/2	55/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	99										
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	100										
11	10	29	29	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	101										
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	102										
11	10	55/2	55/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	103										
11	10	29	29	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	104										
11	10	55/2	55/2	2.0	0	0	Chord	6/8	2	2	1/2		1/2	1	105										
12	11	61/2	61/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	106										
12	11	31	31	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	107										
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	108										
12	11	32	32	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	109										
12	11	32	32	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	110										
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	111										
12	11	33	33	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	112										
12	11	61/2	61/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	113										
12	11	31	31	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	114										
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	115										
12	11	32	32	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	116										
12	11	65/2	65/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	117										
12	11	33	33	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	118										
12	11	61/2	61/2	1.5	0	0	Chord	6/8	2	2	3/8		1/4	3/2	119										
12	11	32	32	1.5	3/8	3/8	Chord	6/8	2	2	3/8		1/4	3/2	120										
13	12	67/2	67/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	121										
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	122										
13	12	35	35	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	123										
13	12	36	36	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	124										
13	12	67/2	67/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	125										
13	12	35	35	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	126										
13	12	67/2	67/2	3.0	0	0	Chord	6/8	2	2	3/4		1/2	3/2	127										
14	13	73/2	73/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	128									6	
14	13	37	37	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	129										
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	130										
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	131									7	
14	13	77/2	77/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	132										
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	133										
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	134										
14	13	38	38	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	135										
14	13	39	39	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	136										
15	14	79/2	79/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	137									8	
15	14	40	40	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	138										
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	139										
15	14	41	41	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	140									9	
15	14	83/2	83/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	141										
15	14	42	42	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	142										
15	14	79/2	79/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	143										
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	144										
15	14	41	41	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	145										
15	14	42	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	146										
16	15	85/2	85/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	147										
16	15	87/2	87/2	0.0	1/4	1/4	StaffText	6/8	1	1	0							"<font size=""17.8494""/><font face=""Opus""/>"							
16	15	87/2	87/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	148										
16	15	175/4	175/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	149										
16	15	44	44	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	150										
16	15	85/2	85/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	151										
16	15	44	44	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	152										
17	16	91/2	91/2	0.0	0	0	Dynamic	6/8	1	1	0					f									
17	16	183/4	183/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	153										
17	16	46	46	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	154										
17	16	185/4	185/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	155										
17	16	93/2	93/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	156										
17	16	187/4	187/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	157										
17	16	47	47	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	158										
17	16	189/4	189/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	159										
17	16	95/2	95/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	160										
17	16	191/4	191/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	161										
17	16	48	48	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	162										
17	16	193/4	193/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	163										
17	16	91/2	91/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	164										
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	165										
17	16	47	47	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	166										
17	16	95/2	95/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	167										
17	16	48	48	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	168										
18	17	97/2	97/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	169										
18	17	195/4	195/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	170										
18	17	49	49	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	171										
18	17	197/4	197/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	172										
18	17	99/2	99/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	173										
18	17	199/4	199/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	174										
18	17	50	50	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	175										
18	17	201/4	201/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	176										
18	17	101/2	101/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	177										
18	17	203/4	203/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	178										
18	17	51	51	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	179										
18	17	205/4	205/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	180										
18	17	97/2	97/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	181										
18	17	49	49	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	182										
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	183										
18	17	50	50	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	184										
18	17	101/2	101/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	185										
18	17	51	51	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	186										
19	18	207/4	207/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	187										
19	18	52	52	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	188										
19	18	209/4	209/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	189										
19	18	105/2	105/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	190										
19	18	211/4	211/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	191										
19	18	53	53	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	192										
19	18	213/4	213/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	193										
19	18	107/2	107/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	194										
19	18	215/4	215/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	195										
19	18	54	54	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	196										
19	18	217/4	217/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	197										
19	18	103/2	103/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	198										
19	18	105/2	105/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	199										
19	18	53	53	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	200										
19	18	107/2	107/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	201										
19	18	54	54	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	202										
20	19	109/2	109/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	203										
20	19	219/4	219/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	204										
20	19	55	55	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	205										
20	19	221/4	221/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	206										
20	19	111/2	111/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	207										
20	19	223/4	223/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	208										
20	19	56	56	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	209										
20	19	225/4	225/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	210										
20	19	113/2	113/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	211										
20	19	227/4	227/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	212										
20	19	57	57	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	213										
20	19	229/4	229/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	214										
20	19	109/2	109/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	215										
20	19	55	55	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	216										
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	217										
20	19	56	56	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	218										
20	19	113/2	113/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	219										
20	19	57	57	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	220										
21	20	231/4	231/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	221										
21	20	58	58	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	222										
21	20	233/4	233/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	223										
21	20	117/2	117/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	224										
21	20	235/4	235/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	225										
21	20	59	59	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	226										
21	20	237/4	237/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	227										
21	20	119/2	119/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	228										
21	20	239/4	239/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	229										
21	20	60	60	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	230										
21	20	241/4	241/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	231										
21	20	115/2	115/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	232										
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	233										
21	20	59	59	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	234										
21	20	119/2	119/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	235										
21	20	60	60	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	236										
22	21	121/2	121/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	237										
22	21	243/4	243/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	238										
22	21	61	61	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	239										
22	21	245/4	245/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	240										
22	21	123/2	123/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	241										
22	21	247/4	247/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	242										
22	21	62	62	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	243										
22	21	249/4	249/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	244										
22	21	125/2	125/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	245										
22	21	251/4	251/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	246										
22	21	63	63	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	247										
22	21	253/4	253/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	248										
22	21	121/2	121/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	249										
22	21	61	61	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	250										
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	251										
22	21	62	62	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	252										
22	21	125/2	125/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	253										
22	21	63	63	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	254										
22	21	61	61	1.5	1/8	1/8	Chord	6/8	2	2	3/8		1/4	3/2	255										
23	22	127/2	127/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	256										
23	22	255/4	255/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	257										
23	22	64	64	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	258										
23	22	257/4	257/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	259										
23	22	129/2	129/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	260										
23	22	259/4	259/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	261										
23	22	65	65	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	262										
23	22	261/4	261/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	263										
23	22	131/2	131/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	264										
23	22	263/4	263/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	265										
23	22	66	66	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	266										
23	22	127/2	127/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	267										
23	22	64	64	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	268										
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	269										
23	22	65	65	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	270										
23	22	131/2	131/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	271										
23	22	66	66	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	272										
25	24	139/2	139/2	0.0	0	0	Dynamic	6/8	1	1	0					p									
25	24	70	70	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	273										
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	274										
25	24	71	71	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	275										
25	24	71	71	0.0	3/8	3/8	Chord	6/8	1	1	0	grace16	1/16	1	276										
25	24	71	71	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	277										
25	24	143/2	143/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	278										
25	24	72	72	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	279										
25	24	139/2	139/2	3.0	0	0	Chord	6/8	2	1	3/4		1/2	3/2	280										
26	25	145/2	145/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	281										
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	282										
26	25	74	74	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	283										
