mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	3/8	StaffText	2/4	1	1	0					"<font size=""12.0915""/><font face=""Times New Roman""/><b>Adagio</b>"						
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	1.0	
1	0	0	0	0.375	0	3/8	Chord	2/4	1	1	3/32		1/16	3/2	0							
1	0	3/8	3/8	0.125	3/32	15/32	Chord	2/4	1	1	1/32		1/32	1	1							
2	1	1/2	1/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	2							
2	1	1	1	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	3							
2	1	7/4	7/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	4							0
2	1	2	2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	5							0
2	1	9/4	9/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	6							
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	7							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	8							
2	1	2	2	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	9							
3	2	5/2	5/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	10							
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	11							
3	2	4	4	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	12							
3	2	35/8	35/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	13							
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	14							
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	15							
3	2	4	4	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	16							
4	3	9/2	9/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	17							
4	3	19/4	19/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	18							
4	3	5	5	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	19							
4	3	21/4	21/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	20							
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	21							
4	3	6	6	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	22							
4	3	51/8	51/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	23							
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	24							
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	25							
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	26							
4	3	6	6	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	27							
5	4	13/2	13/2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	28							
5	4	13/2	13/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	29							
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	30							
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	31							
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	32							
6	4	33/4	33/4	0.25	1/16	7/16	Chord	2/4	1	1	1/16		1/16	1	33							
6	4	8	8	0.25	0	3/8	Chord	2/4	2	1	1/16		1/16	1	34							
6	4	33/4	33/4	0.25	1/16	7/16	Chord	2/4	2	1	1/16		1/16	1	35							
7	5	17/2	17/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	36							
7	5	9	9	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	37							
7	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	38							
7	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	39							
7	5	17/2	17/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	40							
7	5	35/4	35/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	41							
7	5	9	9	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	42							
7	5	37/4	37/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	43							
7	5	19/2	19/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	44							
7	5	39/4	39/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	45							
7	5	10	10	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	46							
7	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	47							
8	6	21/2	21/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	48							
8	6	11	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	49							
8	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	50							
8	6	49/4	49/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	51							
8	6	21/2	21/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	52							
8	6	43/4	43/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	53							
8	6	11	11	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	54							
8	6	45/4	45/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	55							
8	6	23/2	23/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	56							
8	6	47/4	47/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	57							
8	6	12	12	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	58							
8	6	49/4	49/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	59							
9	7	25/2	25/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	60							
9	7	13	13	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	61							
9	7	27/2	27/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	62							
9	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	63							
9	7	25/2	25/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	64							
9	7	51/4	51/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	65							
9	7	13	13	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	66							
9	7	53/4	53/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	67							
9	7	27/2	27/2	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	68							
9	7	55/4	55/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	69							
9	7	14	14	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	70							
9	7	57/4	57/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	71							
10	8	29/2	29/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	72							
10	8	15	15	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	73							
10	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	74							
10	8	16	16	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	75							
10	8	131/8	131/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	76							
10	8	29/2	29/2	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	77							
10	8	59/4	59/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	78							
10	8	15	15	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	79							
10	8	61/4	61/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	80							
10	8	31/2	31/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	81							
11	9	33/2	33/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	82							
11	9	17	17	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	83							
11	9	71/4	71/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	84							1
11	9	18	18	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	85							1
11	9	73/4	73/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	86							
11	9	17	17	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	87							
11	9	35/2	35/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	88							
11	9	18	18	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	89							
12	10	37/2	37/2	0.5	0	0	Chord	2/4	1	1	1/8		1/8	1	90							
12	10	19	19	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	91							
12	10	20	20	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	92							
12	10	163/8	163/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	93							
12	10	19	19	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	94							
12	10	39/2	39/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	95							
12	10	20	20	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	96							
13	11	41/2	41/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	97							
13	11	83/4	83/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	98							
13	11	21	21	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	99							
13	11	85/4	85/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	100							
13	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	101							
13	11	22	22	0.375	3/8	3/8	Chord	2/4	1	1	3/32		1/16	3/2	102							
13	11	179/8	179/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	103							
13	11	41/2	41/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	104							
13	11	21	21	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	105							
13	11	43/2	43/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	106							
13	11	22	22	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	107							
14	12	45/2	45/2	0.0	0	0	Chord	2/4	1	1	0	appoggiatura	1/8	1	108							
14	12	45/2	45/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	109							
14	12	45/2	45/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	110							
14	12	23	23	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	111							
