mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
4	3	15/2	15/2	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	38										
4	3	33/4	33/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	39										
4	3	17/2	17/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	40										
4	3	9	9	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	41										
4	3	19/2	19/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	42										
4	3	10	10	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	43										
4	3	15/2	15/2	2.0	0	0	Chord	3/4	2	2	1/2	1/2	1	44										
4	3	19/2	19/2	0.5	1/2	1/2	Chord	3/4	2	2	1/8	1/8	1	45										
4	3	10	10	0.5	5/8	5/8	Chord	3/4	2	2	1/8	1/8	1	46										
5	4	21/2	21/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	47										
5	4	45/4	45/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	48										
5	4	23/2	23/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	49										
5	4	12	12	0.0	3/8	3/8	StaffText	3/4	1	1	0						"<font size=""17.8494""/><font face=""Opus""/>"							
5	4	12	12	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	50										
5	4	25/2	25/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	51										
5	4	13	13	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	52										
5	4	21/2	21/2	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	53										
5	4	13	13	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	54										
5	4	21/2	21/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	55										
5	4	23/2	23/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	56										
5	4	13	13	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	57										
5	4	21/2	21/2	1.5	0	0	Chord	3/4	2	2	3/8	1/4	3/2	58										
6	5	27/2	27/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	59										
6	5	29/2	29/2	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	60										
6	5	61/4	61/4	0.0	7/16	7/16	StaffText	3/4	1	1	0						"<font size=""17.8494""/><font face=""Opus""/>"							
6	5	61/4	61/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	61										
6	5	31/2	31/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	62										
6	5	63/4	63/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	63									1	
6	5	16	16	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	64									1	
6	5	65/4	65/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	65										
6	5	27/2	27/2	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	66										
6	5	27/2	27/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	67										
6	5	31/2	31/2	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	68										
7	6	33/2	33/2	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	69										
7	6	69/4	69/4	0.0	3/16	3/16	StaffText	3/4	1	1	0						"<font size=""17.8494""/><font face=""Opus""/>"							
7	6	69/4	69/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	70										
7	6	35/2	35/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	71										
7	6	18	18	0.0	3/8	3/8	Spanner	3/4	1	1	0													0
7	6	18	18	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	72										0
7	6	37/2	37/2	0.0	1/2	1/2	Spanner	3/4	1	1	0													
7	6	37/2	37/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	73										
7	6	19	19	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	74										
7	6	33/2	33/2	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	75										
7	6	35/2	35/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	76										
7	6	33/2	33/2	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	77										
7	6	35/2	35/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	78										
7	6	18	18	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	79										
7	6	37/2	37/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	80										
7	6	19	19	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	81										
8	7	39/2	39/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	82									2	
8	7	41/2	41/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	83										
8	7	21	21	0.0	3/8	3/8	Spanner	3/4	1	1	0													1
8	7	21	21	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	84										1
8	7	43/2	43/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	85										1
8	7	22	22	0.0	5/8	5/8	Spanner	3/4	1	1	0													
8	7	22	22	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	86										
8	7	39/2	39/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	87										
8	7	21	21	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	88										
8	7	43/2	43/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	89										
8	7	22	22	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	90										
9	8	45/2	45/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	91										
9	8	47/2	47/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	92										
9	8	24	24	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	93										
9	8	49/2	49/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	94										
9	8	25	25	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	95										
9	8	45/2	45/2	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	96										
9	8	24	24	1.0	3/8	3/8	Chord	3/4	1	2	1/4	1/4	1	97										
9	8	25	25	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	98										
9	8	45/2	45/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	99										
9	8	24	24	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	100										
9	8	49/2	49/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	101										
9	8	25	25	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	102										
10	9	51/2	51/2	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	103										
10	9	55/2	55/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	104										
10	9	28	28	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	105										
10	9	51/2	51/2	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	106										
10	9	53/2	53/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	107										
10	9	27	27	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	108										
10	9	55/2	55/2	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	109										
10	9	28	28	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	110										
10	9	51/2	51/2	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	111										
10	9	55/2	55/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	112										
10	9	28	28	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	113										
11	10	57/2	57/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	114										
11	10	59/2	59/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	115										
11	10	30	30	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	116										
11	10	61/2	61/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	117										
11	10	31	31	0.0	5/8	5/8	Dynamic	3/4	1	1	0				fz									
11	10	31	31	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	118										
11	10	57/2	57/2	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	119										
11	10	57/2	57/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	120										
11	10	30	30	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	121										
11	10	61/2	61/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	122										
11	10	31	31	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	123										
12	11	63/2	63/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	124										
12	11	65/2	65/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	125										
12	11	33	33	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	126										
12	11	67/2	67/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	127										
12	11	34	34	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	128										
12	11	137/4	137/4	0.0	11/16	11/16	Dynamic	3/4	1	1	0				fz									
12	11	63/2	63/2	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	129										
12	11	32	32	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	130										
12	11	63/2	63/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	131										
12	11	32	32	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	132										
12	11	65/2	65/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	133										
12	11	67/2	67/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	134										
13	12	69/2	69/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	135										
13	12	71/2	71/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	136										
13	12	36	36	0.0	3/8	3/8	StaffText	3/4	1	1	0						"<font size=""17.8494""/><font face=""Opus""/>"							
13	12	37	37	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	137										
13	12	36	36	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	138										
13	12	73/2	73/2	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	139										
13	12	37	37	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	140										
13	12	69/2	69/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	141										
13	12	37	37	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	142										
14	13	75/2	75/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	143										
14	13	39	39	0.0	3/8	3/8	StaffText	3/4	1	1	0						"<font size=""17.8494""/><font face=""Opus""/>"							
14	13	40	40	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	144										
14	13	75/2	75/2	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	145										
14	13	151/4	151/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	146										
14	13	38	38	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	147										
14	13	153/4	153/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	148										
14	13	77/2	77/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	149										
14	13	39	39	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	150										
14	13	79/2	79/2	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	151										
14	13	40	40	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	152										
14	13	75/2	75/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	153										
14	13	40	40	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	154										
15	14	81/2	81/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	155										
15	14	42	42	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	156										
15	14	85/2	85/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	157										
15	14	43	43	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	158										
15	14	81/2	81/2	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	159										
15	14	163/4	163/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	160										
15	14	41	41	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	161										
15	14	165/4	165/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	162										
15	14	83/2	83/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	163										
15	14	81/2	81/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	164										
15	14	42	42	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	165										
15	14	85/2	85/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	166										
15	14	43	43	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	167										
16	15	87/2	87/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	168										
16	15	44	44	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	169										
16	15	89/2	89/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	170										
16	15	45	45	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	171										
16	15	91/2	91/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	172										
16	15	46	46	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	173										
16	15	87/2	87/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	174										
16	15	44	44	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	175										
16	15	89/2	89/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	176										
16	15	45	45	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	177										
16	15	91/2	91/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	178										
16	15	46	46	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	179										
16	15	91/2	91/2	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	180										
17	16	93/2	93/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	181									3	
17	16	95/2	95/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	182										
17	16	48	48	0.0	3/8	3/8	StaffText	3/4	1	1	0						"<font size=""17.8494""/><font face=""Opus""/>"							
17	16	49	49	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	183										
17	16	48	48	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	184										
17	16	97/2	97/2	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	185										
17	16	49	49	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	186										
17	16	93/2	93/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	187										
17	16	49	49	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	188										
18	17	99/2	99/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	189										
18	17	51	51	0.0	3/8	3/8	StaffText	3/4	1	1	0						"<font size=""17.8494""/><font face=""Opus""/>"							
18	17	52	52	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	190										
18	17	99/2	99/2	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	191										
18	17	199/4	199/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	192										
18	17	50	50	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	193										
18	17	201/4	201/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	194										
18	17	101/2	101/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	195										
18	17	51	51	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	196										
18	17	103/2	103/2	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	197										
18	17	52	52	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	198										
18	17	99/2	99/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	199										
18	17	52	52	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	200										
19	18	105/2	105/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	201										
19	18	54	54	0.0	3/8	3/8	Dynamic	3/4	1	1	0				f									
19	18	54	54	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	202										
19	18	109/2	109/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	203										
19	18	55	55	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	204										
19	18	105/2	105/2	0.25	0	0	Chord	3/4	1	2	1/16	1/16	1	205										
19	18	211/4	211/4	0.25	1/16	1/16	Chord	3/4	1	2	1/16	1/16	1	206										
19	18	53	53	0.25	1/8	1/8	Chord	3/4	1	2	1/16	1/16	1	207										
19	18	213/4	213/4	0.25	3/16	3/16	Chord	3/4	1	2	1/16	1/16	1	208										
19	18	107/2	107/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	209										
19	18	105/2	105/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	210										
19	18	54	54	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	211										
19	18	109/2	109/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	212										
19	18	55	55	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	213										
20	19	111/2	111/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	214										
20	19	56	56	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	215										
20	19	113/2	113/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	216										
20	19	57	57	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	217										
20	19	115/2	115/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	218										
20	19	58	58	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	219										
20	19	111/2	111/2	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	220										
20	19	113/2	113/2	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	221										
20	19	115/2	115/2	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	222										
20	19	111/2	111/2	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	223										
20	19	56	56	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	224										
20	19	113/2	113/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	225										
20	19	57	57	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	226										
20	19	115/2	115/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	227										
20	19	58	58	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	228										
21	20	117/2	117/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	229										
21	20	119/2	119/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	230										
21	20	60	60	0.0	3/8	3/8	Dynamic	3/4	1	1	0				p									
21	20	60	60	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	231										
21	20	121/2	121/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	232										
21	20	61	61	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	233										
21	20	117/2	117/2	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	234										
21	20	61	61	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	235										
21	20	117/2	117/2	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	236										
22	21	123/2	123/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	237										
22	21	125/2	125/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	238										
22	21	63	63	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	239										
22	21	127/2	127/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	240										
22	21	64	64	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	241										
22	21	123/2	123/2	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	242										
22	21	62	62	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	243										
22	21	125/2	125/2	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	244										
22	21	123/2	123/2	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	245										
23	22	129/2	129/2	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	246										
23	22	131/2	131/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	247										
23	22	263/4	263/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	248									4	
23	22	66	66	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	249									4	
23	22	265/4	265/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	250									4	
23	22	133/2	133/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	251									4	
23	22	267/4	267/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	252									4	
23	22	67	67	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	253									4	
23	22	269/4	269/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	254										
23	22	129/2	129/2	1.5	0	0	Chord	3/4	1	2	3/8	1/4	3/2	255										
23	22	129/2	129/2	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	256										
24	23	135/2	135/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	257									5	
24	23	271/4	271/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	258									5	
24	23	68	68	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	259									5	
24	23	273/4	273/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	260									5	
24	23	137/2	137/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	261									5	
24	23	275/4	275/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	262									5	
24	23	69	69	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	263									5	
24	23	277/4	277/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	264									5	
24	23	139/2	139/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	265									5	
24	23	279/4	279/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	266									5	
24	23	70	70	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	267									5	
24	23	281/4	281/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	268										
