mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0								𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0		
1	1	0	0	0.75	0	0	Chord	2/2	1	1	3/16		1/8	3/2	0									0	
1	1	3/4	3/4	0.08333333333333333	3/16	3/16	Chord	2/2	1	1	1/48		1/32	2/3	1									0	
1	1	5/6	5/6	0.08333333333333333	5/24	5/24	Chord	2/2	1	1	1/48		1/32	2/3	2									0	
1	1	11/12	11/12	0.08333333333333333	11/48	11/48	Chord	2/2	1	1	1/48		1/32	2/3	3										
1	1	1	1	0.25	1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	4									1	
1	1	5/4	5/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	5									1	
1	1	3/2	3/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16		1/16	1	6									1	
1	1	7/4	7/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16		1/16	1	7										
1	1	2	2	0.5	1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	8										
1	1	5/2	5/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	9										
1	1	3	3	0.5	3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	10										
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	11										
1	1	0	0	2.0	0	0	Chord	2/2	2	1	1/2		1/2	1	12										
1	1	2	2	1.0	1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	13										
1	1	3	3	1.0	3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	14										
2	2	4	4	0.25	0	0	Chord	2/2	1	1	1/16		1/16	1	15										
2	2	17/4	17/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16		1/16	1	16										
2	2	9/2	9/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16		1/16	1	17										
2	2	19/4	19/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16		1/16	1	18										
2	2	5	5	0.25	1/4	1/4	Chord	2/2	1	1	1/16		1/16	1	19										
2	2	21/4	21/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16		1/16	1	20										
