mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin
1	0	0	0	0.0	0	3/8	Dynamic	2/4	1	1	0						p									
1	0	0	0	0.0	0	3/8	Tempo	2/4	1	1	0									𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0		
1	0	0	0	0.25	0	3/8	Chord	2/4	1	1	1/16			1/16	1	0										
1	0	1/4	1/4	0.25	1/16	7/16	Chord	2/4	1	1	1/16			1/16	1	1										
2	1	1/2	1/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	2										
2	1	1	1	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	3										
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	4										
2	1	2	2	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	5										
2	1	9/4	9/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	6										
2	1	1/2	1/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	7										
2	1	1	1	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	8										
2	1	3/2	3/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	9										
3	2	5/2	5/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	10										
3	2	3	3	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	11										
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	12										
3	2	4	4	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	13										
3	2	17/4	17/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	14										
3	2	5/2	5/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	15										
3	2	3	3	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	16										
3	2	7/2	7/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	17										
4	3	9/2	9/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	18										
4	3	5	5	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	19										
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	20										
4	3	6	6	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	21										
4	3	25/4	25/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	22										
4	3	9/2	9/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	23										
4	3	5	5	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	24										
4	3	11/2	11/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	25										
5	4	13/2	13/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	26										
5	4	7	7	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	27										
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	28										
5	4	8	8	0.0	3/8	3/8	Dynamic	2/4	1	1	0						f									
5	4	8	8	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	29										
5	4	33/4	33/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	30										
5	4	13/2	13/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	31										
5	4	7	7	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	32										
5	4	15/2	15/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	33										
6	5	17/2	17/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	34										
6	5	9	9	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	35										
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	36										
6	5	10	10	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	37										
6	5	41/4	41/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	38										
6	5	17/2	17/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	39										
6	5	9	9	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	40										
6	5	19/2	19/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	41										
7	6	21/2	21/2	0.5	0	0	Chord	2/4	1	1	1/8			1/8	1	42										
7	6	11	11	0.5	1/8	1/8	Chord	2/4	1	1	1/8			1/8	1	43										
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8			1/8	1	44										
7	6	12	12	0.0	3/8	3/8	Dynamic	2/4	1	1	0						p									
7	6	12	12	0.25	3/8	3/8	Chord	2/4	1	1	1/16			1/16	1	45										
7	6	49/4	49/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16			1/16	1	46										
7	6	21/2	21/2	0.5	0	0	Chord	2/4	2	1	1/8			1/8	1	47										
7	6	11	11	0.5	1/8	1/8	Chord	2/4	2	1	1/8			1/8	1	48										
7	6	23/2	23/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8			1/8	1	49										
