mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	5/8	StaffText	4/4	1	1	0							"<font size=""11.5335""/><font face=""Times New Roman""/><b>Allegro</b>"								
1	0	0	0	0.0	0	5/8	Tempo	4/4	1	1	0								𝅘𝅥=144	144.0	𝅘𝅥	144.0	0.0			
1	0	1/2	1/2	0.5	1/8	3/4	Chord	4/4	1	1	1/8		1/8	1	0									0		
1	0	1	1	0.5	1/4	7/8	Chord	4/4	1	1	1/8		1/8	1	1											
2	1	3/2	3/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	2									1		
2	1	2	2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	3											
2	1	5/2	5/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	4									2		
2	1	3	3	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	5											
2	1	7/2	7/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	6									3		
2	1	4	4	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	7											
2	1	9/2	9/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	8									4		
2	1	5	5	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	9											
3	2	11/2	11/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	10									5		
3	2	6	6	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	11											
3	2	8	8	0.0	5/8	5/8	StaffText	4/4	1	1	0							"<font size=""17.8494""/><font face=""Opus""/>"								
3	2	8	8	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	12											
3	2	17/2	17/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	13											
3	2	9	9	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	14											
3	2	6	6	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	15											
3	2	13/2	13/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	16											
3	2	7	7	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	17											
3	2	15/2	15/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	18											
4	3	19/2	19/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	19									6		
4	3	10	10	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	20											
4	3	21/2	21/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	21									7		
4	3	11	11	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	22											
4	3	23/2	23/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	23									8		
4	3	12	12	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	24											
4	3	25/2	25/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	25									9		
4	3	13	13	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	26											
4	3	21/2	21/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	27											
4	3	23/2	23/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	28											
4	3	25/2	25/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	29											
4	3	19/2	19/2	4.0	0	0	Chord	4/4	2	2	1		1	1	30											
5	4	27/2	27/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	31									10		
5	4	14	14	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	32											
5	4	16	16	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	33									11		
5	4	33/2	33/2	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	34											
5	4	17	17	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	35											
5	4	14	14	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	36											
5	4	29/2	29/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	37											
5	4	15	15	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	38											
5	4	31/2	31/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	39											
6	5	35/2	35/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	40									12		
6	5	18	18	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	41											
6	5	19	19	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	42		articStaccatoBelow									
6	5	39/2	39/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	43									13		
6	5	20	20	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	44											
6	5	21	21	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	45		articStaccatoAbove									
6	5	35/2	35/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	46											
6	5	18	18	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	47											
6	5	37/2	37/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	48											
6	5	19	19	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	49											
6	5	39/2	39/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	50											
6	5	20	20	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	51											
6	5	41/2	41/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	52											
6	5	21	21	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	53											
7	6	43/2	43/2	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	54									14		
7	6	22	22	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	55											
7	6	23	23	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	56		articStaccatoBelow									
7	6	47/2	47/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	57									15		
7	6	24	24	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	58											
7	6	25	25	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	59		articStaccatoAbove									
7	6	43/2	43/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	60											
7	6	22	22	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	61											
7	6	45/2	45/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	62											
7	6	23	23	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	63											
7	6	47/2	47/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	64											
7	6	24	24	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	65											
7	6	49/2	49/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	66											
7	6	25	25	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	67											
8	7	51/2	51/2	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	68											
8	7	103/4	103/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	69											
8	7	26	26	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	70											
8	7	105/4	105/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	71											
8	7	53/2	53/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	72											
8	7	107/4	107/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	73											
8	7	27	27	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	74											
8	7	109/4	109/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	75											
8	7	55/2	55/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	76											
8	7	111/4	111/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	77											
8	7	28	28	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	78											
8	7	113/4	113/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	79											
8	7	57/2	57/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	80											
8	7	115/4	115/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	81											
8	7	29	29	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	82											
8	7	117/4	117/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	83											
8	7	51/2	51/2	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	84											
8	7	26	26	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	85											
8	7	53/2	53/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	86											
8	7	27	27	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	87											
8	7	55/2	55/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	88											
8	7	28	28	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	89											
8	7	57/2	57/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	90											
8	7	29	29	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	91											
9	8	59/2	59/2	0.0	0	0	Dynamic	4/4	1	1	0					fz										
9	8	59/2	59/2	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	92											
9	8	119/4	119/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	93											
9	8	30	30	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	94											
9	8	121/4	121/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	95											
9	8	61/2	61/2	0.25	1/4	1/4	Chord	4/4	1	1	1/16		1/16	1	96											
9	8	123/4	123/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16		1/16	1	97											
9	8	31	31	0.25	3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	98											
9	8	125/4	125/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	99											
9	8	63/2	63/2	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	100											
9	8	127/4	127/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	101											
9	8	32	32	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	102											
9	8	129/4	129/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	103											
9	8	65/2	65/2	0.25	3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	104											
9	8	131/4	131/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	105											
9	8	33	33	0.25	7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	106											
9	8	133/4	133/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	107											
9	8	59/2	59/2	3.0	0	0	Chord	4/4	2	1	3/4		1/2	3/2	108											
9	8	65/2	65/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	109											
10	9	67/2	67/2	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	110											
10	9	135/4	135/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	111											
10	9	34	34	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	112											
