mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	139/16	139/16	0.0625	27/64	27/64	Chord	2/4	1	1	1/64		1/64	1	59						
5	4	35/4	35/4	0.1875	7/16	7/16	Chord	2/4	1	1	3/64		1/32	3/2	60						
5	4	143/16	143/16	0.0625	31/64	31/64	Chord	2/4	1	1	1/64		1/64	1	61						
5	4	7	7	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	62						
5	4	15/2	15/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	63						
5	4	8	8	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	64						
5	4	33/4	33/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	65						
5	4	17/2	17/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	66						
5	4	35/4	35/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	67						
6	5	9	9	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	68						
6	5	39/4	39/4	0.0625	3/16	3/16	Chord	2/4	1	1	1/64		1/64	1	69						
6	5	157/16	157/16	0.125	13/64	13/64	Chord	2/4	1	1	1/32		1/32	1	70						
6	5	159/16	159/16	0.0625	15/64	15/64	Chord	2/4	1	1	1/64		1/64	1	71						
6	5	10	10	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	72						
6	5	81/8	81/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	73						
6	5	41/4	41/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	74						
6	5	83/8	83/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	75						
6	5	21/2	21/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	76						
6	5	85/8	85/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	77						
6	5	43/4	43/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	78						
6	5	87/8	87/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	79						
6	5	9	9	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	80						
6	5	37/4	37/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	81						
6	5	19/2	19/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	82						
6	5	39/4	39/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	83						
6	5	10	10	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	84						
6	5	41/4	41/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	85						
6	5	21/2	21/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	86						
6	5	43/4	43/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	87						
7	6	11	11	0.375	0	0	Chord	2/4	1	1	3/32		1/16	3/2	88						
7	6	91/8	91/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	89						
7	6	23/2	23/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8		1/8	1	90						
7	6	12	12	0.1875	1/4	1/4	Chord	2/4	1	1	3/64		1/32	3/2	91						
7	6	195/16	195/16	0.0625	19/64	19/64	Chord	2/4	1	1	1/64		1/64	1	92						
7	6	49/4	49/4	0.1875	5/16	5/16	Chord	2/4	1	1	3/64		1/32	3/2	93						
7	6	199/16	199/16	0.0625	23/64	23/64	Chord	2/4	1	1	1/64		1/64	1	94						
7	6	25/2	25/2	0.1875	3/8	3/8	Chord	2/4	1	1	3/64		1/32	3/2	95						
7	6	203/16	203/16	0.0625	27/64	27/64	Chord	2/4	1	1	1/64		1/64	1	96						
7	6	51/4	51/4	0.1875	7/16	7/16	Chord	2/4	1	1	3/64		1/32	3/2	97						
7	6	207/16	207/16	0.0625	31/64	31/64	Chord	2/4	1	1	1/64		1/64	1	98						
7	6	11	11	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	99						
7	6	45/4	45/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	100						
7	6	23/2	23/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	101						
7	6	47/4	47/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	102						
7	6	12	12	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	103						
7	6	49/4	49/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	104						
7	6	25/2	25/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	105						
7	6	51/4	51/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	106						
8	7	13	13	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	107						
8	7	55/4	55/4	0.0625	3/16	3/16	Chord	2/4	1	1	1/64		1/64	1	108						
8	7	221/16	221/16	0.125	13/64	13/64	Chord	2/4	1	1	1/32		1/32	1	109						
8	7	223/16	223/16	0.0625	15/64	15/64	Chord	2/4	1	1	1/64		1/64	1	110						
8	7	14	14	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	111						
8	7	113/8	113/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	112						
8	7	57/4	57/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	113						
8	7	115/8	115/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	114						
8	7	29/2	29/2	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	115						
8	7	117/8	117/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	116						
8	7	59/4	59/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	117						
8	7	119/8	119/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	118						
8	7	13	13	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	119						
8	7	53/4	53/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	120						
8	7	27/2	27/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	121						
8	7	55/4	55/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	122						
8	7	14	14	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	123						
8	7	57/4	57/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	124						
8	7	29/2	29/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	125						
8	7	59/4	59/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	126						
9	8	15	15	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	127						
9	8	15	15	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	128						
9	8	15	15	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	129						
9	8	15	15	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	130						
9	8	16	16	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	131						
9	8	65/4	65/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	132						
9	8	33/2	33/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	133						
9	8	67/4	67/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	134						
9	8	15	15	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	135						
9	8	61/4	61/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	136						
