mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin
1	0	0	0	0.0	0	3/8	StaffText	3/4	1	1	0							"<font size=""10.5723""/><font face=""Times New Roman""/><i>mezza voce</i>"							
1	0	0	0	0.0	0	3/8	Tempo	3/4	1	1	0								𝅘𝅥=120	120.0	𝅘𝅥	120.0	1.0		
1	0	0	0	0.5	0	3/8	Chord	3/4	1	1	1/8		1/8	1	0									0	
1	0	1/2	1/2	0.5	1/8	1/2	Chord	3/4	1	1	1/8		1/8	1	1									0	
1	0	1	1	0.5	1/4	5/8	Chord	3/4	1	1	1/8		1/8	1	2										
2	1	3/2	3/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	3										
2	1	2	2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	4										
2	1	5/2	5/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	5										
2	1	3	3	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	6										
2	1	7/2	7/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	7										
2	1	4	4	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	8										
2	1	2	2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	9										
2	1	5/2	5/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	10										
2	1	3	3	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	11										
2	1	7/2	7/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	12										
2	1	4	4	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	13										
3	2	9/2	9/2	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	14										
3	2	19/4	19/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	15										
3	2	5	5	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	16										
3	2	21/4	21/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	17										
3	2	11/2	11/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	18										
3	2	6	6	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	19									1	
3	2	13/2	13/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	20									1	
3	2	7	7	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	21										
3	2	9/2	9/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	22										
4	3	15/2	15/2	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	23										
4	3	8	8	0.0	1/8	1/8	Dynamic	3/4	1	1	0					f									
4	3	8	8	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	24										
4	3	17/2	17/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	25										
4	3	9	9	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	26										
4	3	19/2	19/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	27										
4	3	10	10	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	28										
4	3	8	8	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	29										
4	3	17/2	17/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	30										
4	3	9	9	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	31										
4	3	19/2	19/2	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	32										
4	3	10	10	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	33										
5	4	21/2	21/2	0.25	0	0	Chord	3/4	1	1	1/16		1/16	1	34										
5	4	43/4	43/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16		1/16	1	35										
5	4	11	11	0.25	1/8	1/8	Chord	3/4	1	1	1/16		1/16	1	36										
5	4	45/4	45/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16		1/16	1	37										
5	4	23/2	23/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	38										
5	4	12	12	0.0	3/8	3/8	Dynamic	3/4	1	1	0					p									
5	4	12	12	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	39										
5	4	25/2	25/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	40										
5	4	13	13	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	41										
5	4	21/2	21/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	42										
5	4	13	13	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	43										
6	5	27/2	27/2	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	44										
6	5	27/2	27/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	45										
6	5	29/2	29/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	46										
6	5	15	15	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	47										
6	5	31/2	31/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	48										
6	5	16	16	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	49										
6	5	27/2	27/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	50										
6	5	29/2	29/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	51										
6	5	16	16	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	52										
6	5	27/2	27/2	1.5	0	0	Chord	3/4	2	2	3/8		1/4	3/2	53										
7	6	33/2	33/2	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	54										
7	6	33/2	33/2	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	55										
7	6	35/2	35/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	56										
7	6	18	18	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	57										
7	6	37/2	37/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	58										
7	6	19	19	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	59										
7	6	33/2	33/2	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	60										
7	6	35/2	35/2	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	61										
