piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	P86 (composer)	musicbrainz	viaf	typesetter	imslp	pdf	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
09op08no1a	1: 6/8	1: 0	135	135	405.0	194	194	582.0	960.0	2047	1351	0	0	272	C	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 1 in C Major	1	Allegro molto	Op. 8, No. 1				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in C Major, Op. 8, No. 1	1. Allegro molto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/09op08no1a.mscx	False	36-86 (C2-D6)	Q693843	https://musicbrainz.org/work/0d01ac7f-61a1-4010-8bdd-3298242f2bb7	https://viaf.org/viaf/4934150382212213500006/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.8_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/481835	xml	Piano (2)	55-86 (G3-D6)	Piano (2)	36-69 (C2-A4)
09op08no1b	1: 2/4	1: 0	68	67	135.0	68	67	135.0	259.5	941	570	0	0	149	C	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 1 in C Major	2	Rondo	Op. 8, No. 1				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in C Major, Op. 8, No. 1	2. Rondo	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/09op08no1b.mscx	False	35-88 (B1-E6)	Q693843	https://musicbrainz.org/work/04f2c6d0-2202-4e6a-acee-d161c5a2d07e	https://viaf.org/viaf/4934150382212213500006/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.8_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/481835	xml	Piano (2)	64-88 (E4-E6)	Piano (2)	35-62 (B1-D4)
10op08no2a	1: 2/4	1: -1	157	155	310.0	218	215	430.0	766.67	2038	1165	0	0	350	F	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 2 in F Major	1	Allegretto maestoso	Op. 8, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in F Major, Op. 8, No. 2	1. Allegretto maestoso	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/10op08no2a.mscx	False	36-88 (C2-E6)	Q693843	https://musicbrainz.org/work/ca5925f0-8ebe-4c26-96ff-5f5e751704cc	https://viaf.org/viaf/6635150382260713500005/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.8_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/481835	xml	Piano (2)	57-88 (A3-E6)	Piano (2)	36-70 (C2-Bb4)
10op08no2b	1: 2/4	1: 0	73	73	146.0	139	139	278.0	374.0	796	504	0	0	171	C	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 2 in F Major	2	Adagio un poco	Op. 8, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in F Major, Op. 8, No. 2	2. Adagio un poco	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/10op08no2b.mscx	False	36-88 (C2-E6)	Q693843	https://musicbrainz.org/work/56435491-864d-43a7-a7ef-69576d735eb4	https://viaf.org/viaf/6635150382260713500005/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.8_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/481835	xml	Piano (2)	57-88 (A3-E6)	Piano (2)	36-69 (C2-A4)
10op08no2c	1: 2/4	1: -1	182	156	312.0	256	216	432.0	691.71	2720	1888	0	0	493	F	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 2 in F Major	3	Aria con Variazione	Op. 8, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in F Major, Op. 8, No. 2	3. Aria con Variazione	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/10op08no2c.mscx	False	36-89 (C2-F6)	Q693843	https://musicbrainz.org/work/b39254df-51a9-4a51-aa72-1f6202c89852	https://viaf.org/viaf/6635150382260713500005/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.8_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/481835	xml	Piano (2)	57-89 (A3-F6)	Piano (2)	36-72 (C2-C5)
11op10no1a	1: 4/4	1: -3	177	177	708.0	354	354	1416.0	1592.0	3353	2188	0	0	493	Eb	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 1 in E-flat Major	1	Allegro molto	Op. 10, No. 1				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 1 in E-flat Major, Op. 10, No. 1	1. Allegro molto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/11op10no1a.mscx	False	31-89 (G1-F6)	Q693843	https://musicbrainz.org/work/36c08f36-5f82-499f-a5d2-be5b3d2fc03a	https://viaf.org/viaf/6150382274713500000/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.13_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/482041	xml	Piano (2)	53-89 (F3-F6)	Piano (2)	31-70 (G1-Bb4)
14op13no2a	1: 2/4	1: 1	171	171	342.0	342	342	684.0	789.25	1710	1101	0	0	213	G	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 2 in G Major	1	Allegro non molto	Op. 13, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in G Major, Op. 13, No. 2	1. Allegro non molto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/14op13no2a.mscx	False	36-86 (C2-D6)	Q693843		https://viaf.org/viaf/8568150382227613500009/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.13_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/482041	xml	Piano (2)	62-86 (D4-D6)	Piano (2)	36-67 (C2-G4)
14op13no2b	1: 6/8	1: 2	51	49	147.0	102	98	294.0	362.17	777	446	0	0	153	D	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 2 in G Major	2	Andante	Op. 13, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in G Major, Op. 13, No. 2	2. Andante	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/14op13no2b.mscx	False	40-86 (E2-D6)	Q693843		https://viaf.org/viaf/8568150382227613500009/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.13_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/482041	xml	Piano (2)	57-86 (A3-D6)	Piano (2)	40-69 (E2-A4)
14op13no2c	1: 2/4	1: 1	93	93	186.0	180	180	360.0	488.25	904	552	0	0	193	G	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 2 in G Major	3	Rondo	Op. 13, No. 2				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 2 in G Major, Op. 13, No. 2	3. Rondo	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/14op13no2c.mscx	False	36-86 (C2-D6)	Q693843		https://viaf.org/viaf/8568150382227613500009/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.13_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/482041	xml	Piano (2)	59-86 (B3-D6)	Piano (2)	36-71 (C2-B4)
15op13no3a	1: 4/4	1: 1	137	137	548.0	274	274	1096.0	1485.25	2770	1751	0	0	373	e	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 3 in E Minor	1	Allegro molto	Op. 13, No. 3				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 3 in E Minor, Op. 13, No. 3	1. Allegro molto	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/15op13no3a.mscx	False	35-88 (B1-E6)	Q693843		https://viaf.org/viaf/778150382195013500004/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.13_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/482041	xml	Piano (2)	55-88 (G3-E6)	Piano (2)	35-71 (B1-B4)
15op13no3b	1: 3/4	1: 4	86	84	252.0	172	168	504.0	684.25	1849	1208	0	0	234	E	2.1.0	Adrian Nagel	1784	1784	Leopold Koželuch	Keyboard Sonata No. 3 in E Minor	2	Cantabile	Op. 13, No. 3				© 2005 Daniel Bernhardsson	2019-01-08	3.02	Linux			Keyboard Sonata No. 3 in E Minor, Op. 13, No. 3	2. Cantabile	Leopold Koželuch	3.6.2	2.5.4	MS3	MS3/15op13no3b.mscx	False	37-88 (C#2-E6)	Q693843		https://viaf.org/viaf/778150382195013500004/	Daniel Bernhardsson	https://imslp.org/wiki/3_Keyboard_Sonatas,_Op.13_(Kozeluch,_Leopold)	https://imslp.org/wiki/Special:ReverseLookup/482041	xml	Piano (2)	58-88 (A#3-E6)	Piano (2)	37-69 (C#2-A4)
