INFO     27op26no3b.ms3 -- Attempting to parse 27op26no3b.mscx
INFO     27op26no3b.ms3 -- Done parsing 27op26no3b.mscx

ERROR    27op26no3b -- Could not expand labels due to errors:
Traceback (most recent call last):
  File "scripts/parallel_parse.py", line 79, in parse
    expanded = expand_labels(chord_list, column='label', regex=REGEX, chord_tones=True, groupby=None, logger_name=S.fname).df
  File "/home/hentsche/corpora/scripts/expand_labels.py", line 421, in __init__
    df = self.propagate_pedal(df, cols=cols)
  File "/home/hentsche/corpora/scripts/expand_labels.py", line 747, in propagate_pedal
    assert n_b == n_e, f"{n_b} organ points started, {n_e} ended:\n{make_comparison()}"
AssertionError: 11 organ points started, 8 ended:
    mc pedal    mc pedalend
0    1     i     2        ]
1    4     V     6        ]
2    7     i     8        ]
3   12     i    19        ]
4   17     V    31        ]
5   26     V    35        ]
6   30     i    37        ]
7   33     V    53        ]
8   36     i  <NA>      NaN
9   41     i  <NA>      NaN
10  51     i  <NA>      NaN
