mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	4.0	0	0	4/4	2	1	e.i		e	i		i		i							m	1	1	0, -3, 1		0	0
2	2	4	3.5	0	0	4/4	2	1	#viio6		e	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	15/2	0.5	7/8	7/8	4/4	2	1	VI6		e	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
3	3	8	4.0	0	0	4/4	2	1	V65		e	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	4	12	2.5	0	0	4/4	2	1	i\\		e	i		i		i						\\	m	1	1	0, -3, 1		0	0
4	4	29/2	1.0	5/8	5/8	4/4	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	4	31/2	0.5	7/8	7/8	4/4	2	1	#viio6		e	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
5	5	16	2.0	0	0	4/4	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	5	18	2.0	1/2	1/2	4/4	2	1	V6/iv		e	i		V6/iv		V		6		iv			M	1	1	4, 1, 0		0	4
6	6	20	3.5	0	0	4/4	2	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	47/2	0.5	7/8	7/8	4/4	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	24	4.0	0	0	4/4	2	1	III.V6		e	III		V6		V		6					M	1	0	5, 2, 1		1	5
8	8	28	3.5	0	0	4/4	2	1	I\\		e	III		I		I						\\	M	1	0	0, 4, 1		0	0
8	8	63/2	0.5	7/8	7/8	4/4	2	1	V6		e	III		V6		V		6					M	1	0	5, 2, 1		1	5
9	9	32	2.0	0	0	4/4	2	1	IV6		e	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
9	9	34	2.0	1/2	1/2	4/4	2	1	viio		e	III		viio		vii	o						o	1	0	5, 2, -1		5	5
10	10	36	1.0	0	0	4/4	2	1	i.V6		e	i		V6		V		6					M	1	1	5, 2, 1		1	5
10	10	37	1.0	1/4	1/4	4/4	2	1	V65		e	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
10	10	38	2.0	1/2	1/2	4/4	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
11	11	40	4.0	0	0	4/4	2	1	viio7/V		e	i		viio7/V		vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
12	12	44	3.0	0	0	4/4	2	1	V		e	i		V		V							M	1	1	1, 5, 2		1	1
12	12	47	1.0	3/4	3/4	4/4	2	1	V2		e	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
13	13	48	1.0	0	0	4/4	2	1	i6		e	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
13	13	49	1.0	1/4	1/4	4/4	2	1	iv		e	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
13	13	50	1.0	1/2	1/2	4/4	2	1	V(64)		e	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
13	13	51	1.0	3/4	3/4	4/4	2	1	V7		e	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
14	14	52	1.5	0	0	4/4	2	1	i\\		e	i		i		i						\\	m	1	1	0, -3, 1		0	0
14	14	107/2	0.5	3/8	3/8	4/4	2	1	V		e	i		V		V							M	1	1	1, 5, 2		1	1
14	14	54	2.0	1/2	1/2	4/4	2	1	i		e	i		i		i							m	1	1	0, -3, 1		0	0
15	15	56	4.0	0	0	4/4	2	1	#viio6		e	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
