mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.e.i		e	i		i		i						m	1	1	0, -3, 1		0	0
2	2	0	0	4/4	1	1	#viio6		e	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
2	2	7/8	7/8	4/4	1	1	VI6		e	i		VI6		VI		6				M	1	1	0, -3, -4		-4	0
3	3	0	0	4/4	1	1	V65		e	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
4	4	0	0	4/4	1	1	i\\		e	i		i		i					\\	m	1	1	0, -3, 1		0	0
4	4	5/8	5/8	4/4	1	1	i6		e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
4	4	7/8	7/8	4/4	1	1	#viio6		e	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
5	5	0	0	4/4	1	1	i6		e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
5	5	1/2	1/2	4/4	1	1	V6/iv		e	i		V6/iv		V		6		iv		M	1	1	4, 1, 0		0	4
6	6	0	0	4/4	1	1	iv		e	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
6	6	7/8	7/8	4/4	1	1	i6		e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
7	7	0	0	4/4	1	1	III.V6		e	III		V6		V		6				M	1	0	5, 2, 1		1	5
8	8	0	0	4/4	1	1	I\\		e	III		I		I					\\	M	1	0	0, 4, 1		0	0
8	8	7/8	7/8	4/4	1	1	V6		e	III		V6		V		6				M	1	0	5, 2, 1		1	5
9	9	0	0	4/4	1	1	IV6		e	III		IV6		IV		6				M	1	0	3, 0, -1		-1	3
9	9	1/2	1/2	4/4	1	1	viio		e	III		viio		vii	o					o	1	0	5, 2, -1		5	5
10	10	0	0	4/4	1	1	i.V6		e	i		V6		V		6				M	1	1	5, 2, 1		1	5
10	10	1/4	1/4	4/4	1	1	V65		e	i		V65		V		65				Mm7	1	1	5, 2, -1, 1		1	5
10	10	1/2	1/2	4/4	1	1	i		e	i		i		i						m	1	1	0, -3, 1		0	0
11	11	0	0	4/4	1	1	viio7/V		e	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
12	12	0	0	4/4	1	1	V		e	i		V		V						M	1	1	1, 5, 2		1	1
12	12	3/4	3/4	4/4	1	1	V2		e	i		V2		V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
13	13	0	0	4/4	1	1	i6		e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
13	13	1/4	1/4	4/4	1	1	iv		e	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
13	13	1/2	1/2	4/4	1	1	V(64)		e	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
13	13	3/4	3/4	4/4	1	1	V7		e	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
14	14	0	0	4/4	1	1	i\\		e	i		i		i					\\	m	1	1	0, -3, 1		0	0
14	14	3/8	3/8	4/4	1	1	V		e	i		V		V						M	1	1	1, 5, 2		1	1
14	14	1/2	1/2	4/4	1	1	i		e	i		i		i						m	1	1	0, -3, 1		0	0
15	15	0	0	4/4	1	1	#viio6		e	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
16	16	0	0	4/4	1	1	i6\\		e	i		i6		i		6			\\	m	1	1	-3, 1, 0		0	-3
16	16	3/8	3/8	4/4	1	1	V		e	i		V		V						M	1	1	1, 5, 2		1	1
16	16	1/2	1/2	4/4	1	1	i		e	i		i		i						m	1	1	0, -3, 1		0	0
17	17	0	0	4/4	1	1	#viio6		e	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
18	18	0	0	4/4	1	1	i6\\		e	i		i6		i		6			\\	m	1	1	-3, 1, 0		0	-3
18	18	1/4	1/4	4/4	1	1	i6		e	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
19	19	0	0	4/4	1	1	iv		e	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
19	19	3/4	3/4	4/4	1	1	III.V65		e	III		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
20	20	0	0	4/4	1	1	I		e	III		I		I						M	1	0	0, 4, 1		0	0
20	20	3/4	3/4	4/4	1	1	I6		e	III		I6		I		6				M	1	0	4, 1, 0		0	4
21	21	0	0	4/4	1	1	IV		e	III		IV		IV						M	1	0	-1, 3, 0		-1	-1
21	21	1/2	1/2	4/4	1	1	ii6		e	III		ii6		ii		6				m	1	0	-1, 3, 2		2	-1
22	22	0	0	4/4	1	1	V7\\		e	III		V7		V		7			\\	Mm7	1	0	1, 5, 2, -1		1	1
22	22	3/4	3/4	4/4	1	1	V7		e	III		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
23	23	0	0	4/4	1	1	I		e	III		I		I						M	1	0	0, 4, 1		0	0
23	23	1/4	1/4	4/4	1	1	I6		e	III		I6		I		6				M	1	0	4, 1, 0		0	4
23	23	1/2	1/2	4/4	1	1	IV		e	III		IV		IV						M	1	0	-1, 3, 0		-1	-1
23	23	3/4	3/4	4/4	1	1	ii6		e	III		ii6		ii		6				m	1	0	-1, 3, 2		2	-1
24	24	0	0	4/4	1	1	V7		e	III		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
24	24	1/4	1/4	4/4	1	1	iii6		e	III		iii6		iii		6				m	1	0	1, 5, 4		4	1
24	24	1/2	1/2	4/4	1	1	vi		e	III		vi		vi						m	1	0	3, 0, 4		3	3
24	24	3/4	3/4	4/4	1	1	IV6		e	III		IV6		IV		6				M	1	0	3, 0, -1		-1	3
25	25	0	0	4/4	1	1	viio		e	III		viio		vii	o					o	1	0	5, 2, -1		5	5
25	25	1/4	1/4	4/4	1	1	V65		e	III		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
25	25	1/2	1/2	4/4	1	1	I		e	III		I		I						M	1	0	0, 4, 1		0	0
25	25	3/4	3/4	4/4	1	1	I6		e	III		I6		I		6				M	1	0	4, 1, 0		0	4
26	26	0	0	4/4	1	1	IV\\		e	III		IV		IV					\\	M	1	0	-1, 3, 0		-1	-1
26	26	1/4	1/4	4/4	1	1	ii		e	III		ii		ii						m	1	0	2, -1, 3		2	2
26	26	1/2	1/2	4/4	1	1	viio		e	III		viio		vii	o					o	1	0	5, 2, -1		5	5
27	27	0	0	4/4	1	1	iii		e	III		iii		iii						m	1	0	4, 1, 5		4	4
27	27	1/4	1/4	4/4	1	1	I		e	III		I		I						M	1	0	0, 4, 1		0	0
27	27	1/2	1/2	4/4	1	1	vi		e	III		vi		vi						m	1	0	3, 0, 4		3	3
28	28	0	0	4/4	1	1	ii		e	III		ii		ii						m	1	0	2, -1, 3		2	2
28	28	1/4	1/4	4/4	1	1	viio		e	III		viio		vii	o					o	1	0	5, 2, -1		5	5
28	28	1/2	1/2	4/4	1	1	V[V		e	III	V	V		V						M	1	0	1, 5, 2		1	1
28	28	7/8	7/8	4/4	1	1	V7		e	III	V	V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
29	29	0	0	4/4	1	1	I		e	III	V	I		I						M	1	0	0, 4, 1		0	0
29	29	1/4	1/4	4/4	1	1	vi6		e	III	V	vi6		vi		6				m	1	0	0, 4, 3		3	0
29	29	1/2	1/2	4/4	1	1	V7		e	III	V	V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
30	30	0	0	4/4	1	1	I6		e	III	V	I6		I		6				M	1	0	4, 1, 0		0	4
30	30	1/2	1/2	4/4	1	1	IV		e	III	V	IV		IV						M	1	0	-1, 3, 0		-1	-1
30	30	3/4	3/4	4/4	1	1	V7	ii6	e	III	V	V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
31	31	0	0	4/4	1	1	V7		e	III	V	V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
31	31	1/4	1/4	4/4	1	1	V		e	III	V	V		V						M	1	0	1, 5, 2		1	1
31	31	1/2	1/2	4/4	1	1	I6		e	III	V	I6		I		6				M	1	0	4, 1, 0		0	4
32	32	0	0	4/4	1	1	vi6		e	III	V	vi6		vi		6				m	1	0	0, 4, 3		3	0
32	32	1/2	1/2	4/4	1	1	V7	ii	e	III	V	V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
32	32	3/4	3/4	4/4	1	1	V\\		e	III	V	V		V					\\	M	1	0	1, 5, 2		1	1
33	33	3/8	3/8	4/4	1	1	V7]		e	III	V	V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
33	33	1/2	1/2	4/4	1	1	I		e	III		I		I						M	1	0	0, 4, 1		0	0
33	33	3/4	3/4	4/4	1	1	vi		e	III		vi		vi						m	1	0	3, 0, 4		3	3
34	34	0	0	4/4	1	1	vii%7/V		e	III		vii%7/V		vii	%	7		V		%7	1	0	6, 3, 0, 4		6	6
34	34	1/2	1/2	4/4	1	1	V7		e	III		V7		V		7				Mm7	1	0	1, 5, 2, -1		1	1
34	34	3/4	3/4	4/4	1	1	viio		e	III		viio		vii	o					o	1	0	5, 2, -1		5	5
35	35	0	0	4/4	1	1	#viio7/vi		e	III		#viio7/vi		#vii	o	7		vi		o7	1	0	8, 5, 2, -1		8	8
35	35	1/2	1/2	4/4	1	1	V7/ii		e	III		V7/ii		V		7		ii		Mm7	1	0	3, 7, 4, 1		3	3
35	35	3/4	3/4	4/4	1	1	#viio/ii		e	III		#viio/ii		#vii	o			ii		o	1	0	7, 4, 1		7	7
36	36	0	0	4/4	1	1	viio7/VII		e	III		viio7/VII		vii	o	7		VII		o7	1	0	10, 7, 4, 1		10	10
36	36	1/2	1/2	4/4	1	1	VII		e	III		VII		VII						M	1	0	5, 9, 6		5	5
36	36	5/8	5/8	4/4	1	1	vii		e	III		vii		vii						m	1	0	5, 2, 6		5	5
36	36	7/8	7/8	4/4	1	1	#viio7/vi		e	III		#viio7/vi		#vii	o	7		vi		o7	1	0	8, 5, 2, -1		8	8
37	37	0	0	4/4	1	1	i(94)		e	III		i(94)		i			94			m	1	0	0, -1, 1	2	0	0
37	37	1/4	1/4	4/4	1	1	i		e	III		i		i						m	1	0	0, -3, 1		0	0
37	37	3/8	3/8	4/4	1	1	viio7/V		e	III		viio7/V		vii	o	7		V		o7	1	0	6, 3, 0, -3		6	6
37	37	1/2	1/2	4/4	1	1	v(94)		e	III		v(94)		v			94			m	1	0	1, 0, 2	3	1	1
37	37	3/4	3/4	4/4	1	1	v		e	III		v		v						m	1	0	1, -2, 2		1	1
37	37	7/8	7/8	4/4	1	1	vii%7/IV		e	III		vii%7/IV		vii	%	7		IV		%7	1	0	4, 1, -2, 2		4	4
38	38	0	0	4/4	1	1	iv(94)		e	III		iv(94)		iv			94			m	1	0	-1, 5, 0	1	-1	-1
38	38	1/4	1/4	4/4	1	1	iv		e	III		iv		iv						m	1	0	-1, -4, 0		-1	-1
38	38	3/8	3/8	4/4	1	1	iio		e	III		iio		ii	o					o	1	0	2, -1, -4		2	2
38	38	1/2	1/2	4/4	1	1	V65		e	III		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
39	39	0	0	4/4	1	1	I		e	III		I		I						M	1	0	0, 4, 1		0	0
39	39	1/2	1/2	4/4	1	1	V65		e	III		V65		V		65				Mm7	1	0	5, 2, -1, 1		1	5
