mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/4	2/4	2	1	Eb.I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	1	1	1	0.5	0	0	2/4	2	1	I(9)		Eb	I		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
2	1	3/2	3/2	1.5	1/8	1/8	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	3	3	0.5	0	0	2/4	2	1	V7(4)		Eb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
3	2	7/2	7/2	0.5	1/8	1/8	2/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	4	4	1.0	1/4	1/4	2/4	2	1	ii	viio6	Eb	I		ii		ii							m	0	0	2, -1, 3		2	2
4	3	5	5	0.5	0	0	2/4	2	1	V7(4)		Eb	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
4	3	11/2	11/2	1.5	1/8	1/8	2/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	7	7	1.0	0	0	2/4	2	1	I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
5	4	8	8	1.0	1/4	1/4	2/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	5	9	9	0.5	0	0	2/4	2	1	V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	5	19/2	19/2	0.5	1/8	1/8	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	5	10	10	1.0	1/4	1/4	2/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	11	11	0.5	0	0	2/4	2	1	V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	6	23/2	23/2	0.5	1/8	1/8	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	12	12	0.5	1/4	1/4	2/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
7	6	25/2	25/2	0.5	3/8	3/8	2/4	2	1	V+6/IV		Eb	I		V+6/IV		V	+	6		IV			+	0	0	4, 8, 0		0	4
8	7	13	13	1.5	0	0	2/4	2	1	IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	29/2	29/2	0.5	3/8	3/8	2/4	2	1	vii%7/V		Eb	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
9	8	15	15	0.5	0	0	2/4	2	1	V(64)		Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	31/2	31/2	0.5	1/8	1/8	2/4	2	1	V\\		Eb	I		V		V						\\	M	0	0	1, 5, 2		1	1
9	8	16	16	1.0	1/4	1/4	2/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	9	17	17	0.5	0	0	2/4	2	1	I(9)		Eb	I		I(9)		I			9				M	0	0	0, 4, 1	2	0	0
10	9	35/2	35/2	1.5	1/8	1/8	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
