mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
146	146	0	0	4/4	1	1	V\\		C	I		V		V					\\	M	0	0	1, 5, 2		1	1
146	146	1/8	1/8	4/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
147	147	0	0	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
147	147	1/4	1/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
147	147	1/2	1/2	4/4	1	1	I6(#4#2)		C	I		I6(#4#2)		I		6	#4#2			M	0	0	9, 6, 0		0	9
147	147	3/4	3/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
148	148	0	0	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
148	148	1/4	1/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
148	148	1/2	1/2	4/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
148	148	5/8	5/8	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
148	148	3/4	3/4	4/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
148	148	7/8	7/8	4/4	1	1	vi7	viio6(2)/V	C	I		vi7		vi		7				mm7	0	0	3, 0, 4, 1		3	3
149	149	0	0	4/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
149	149	1/4	1/4	4/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
149	149	1/2	1/2	4/4	1	1	V43(6#4)		C	I		V43(6#4)		V		43	6#4			Mm7	0	0	7, 4, -1, 1, 5		1	7
149	149	3/4	3/4	4/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
150	150	0	0	4/4	1	1	V		C	I		V		V						M	0	0	1, 5, 2		1	1
150	150	1/4	1/4	4/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
150	150	1/2	1/2	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
150	150	5/8	5/8	4/4	1	1	V6		C	I		V6		V		6				M	0	0	5, 2, 1		1	5
150	150	3/4	3/4	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
150	150	7/8	7/8	4/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
151	151	0	0	4/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
151	151	1/4	1/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
151	151	1/2	1/2	4/4	1	1	I6(#4#2)		C	I		I6(#4#2)		I		6	#4#2			M	0	0	9, 6, 0		0	9
151	151	3/4	3/4	4/4	1	1	I6		C	I		I6		I		6				M	0	0	4, 1, 0		0	4
