mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	1/8	3/4	4/4	1	1	.Bb.I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
3	2	0	0	4/4	1	1	IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
4	3	0	0	4/4	1	1	V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	4/4	1	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
6	5	0	0	4/4	1	1	IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
7	6	0	0	4/4	1	1	V6		Bb	I		V6		V		6					M	0	0	5, 2, 1		1	5
8	7	0	0	4/4	1	1	ii65		Bb	I		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
8	7	1/2	1/2	4/4	1	1	V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	0	0	4/4	1	1	IV6		Bb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
9	8	1/2	1/2	4/4	1	1	viio6/V		Bb	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
9	8	3/4	3/4	4/4	1	1	V65		Bb	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
10	9	0	0	4/4	1	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
10	9	1/4	1/4	4/4	1	1	ii6		Bb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
10	9	1/2	1/2	4/4	1	1	V(64)		Bb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
10	9	3/4	3/4	4/4	1	1	V		Bb	I		V		V							M	0	0	1, 5, 2		1	1
11	10	0	0	4/4	1	1	I(4)		Bb	I		I(4)		I			4				M	0	0	0, -1, 1		0	0
11	10	1/2	1/2	4/4	1	1	I\\		Bb	I		I		I						\\	M	0	0	0, 4, 1		0	0
11	10	3/4	3/4	4/4	1	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
13	12	0	0	4/4	1	1	IV		Bb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	13	0	0	4/4	1	1	V7		Bb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	14	0	0	4/4	1	1	I		Bb	I		I		I							M	0	0	0, 4, 1		0	0
16	15	0	0	4/4	1	1	V6/vi		Bb	I		V6/vi		V		6		vi			M	0	0	8, 5, 4		4	8
16	15	1/2	1/2	4/4	1	1	vi		Bb	I		vi		vi							m	0	0	3, 0, 4		3	3
17	16	0	0	4/4	1	1	V43/vi		Bb	I		V43/vi		V		43		vi			Mm7	0	0	5, 2, 4, 8		4	5
17	16	1/2	1/2	4/4	1	1	vi6		Bb	I		vi6		vi		6					m	0	0	0, 4, 3		3	0
18	17	0	0	4/4	1	1	viio6		Bb	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
18	17	3/4	3/4	4/4	1	1	V7/vi		Bb	I		V7/vi		V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
19	18	0	0	4/4	1	1	vi\\		Bb	I		vi		vi						\\	m	0	0	3, 0, 4		3	3
19	18	5/8	5/8	4/4	1	1	V.ii		Bb	V		ii		ii							m	0	0	2, -1, 3		2	2
20	19	0	0	4/4	1	1	V6		Bb	V		V6		V		6					M	0	0	5, 2, 1		1	5
20	19	1/2	1/2	4/4	1	1	I		Bb	V		I		I							M	0	0	0, 4, 1		0	0
21	20	0	0	4/4	1	1	viio6		Bb	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
21	20	1/2	1/2	4/4	1	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
22	21	0	0	4/4	1	1	ii6		Bb	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
22	21	3/4	3/4	4/4	1	1	V65/V		Bb	V		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
23	22	0	0	4/4	1	1	V[V		Bb	V	V	V		V							M	0	0	1, 5, 2		1	1
23	22	1/2	1/2	4/4	1	1	V7		Bb	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	23	0	0	4/4	1	1	I		Bb	V	V	I		I							M	0	0	0, 4, 1		0	0
25	24	0	0	4/4	1	1	V		Bb	V	V	V		V							M	0	0	1, 5, 2		1	1
25	24	1/2	1/2	4/4	1	1	V7		Bb	V	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
26	25	0	0	4/4	1	1	I		Bb	V	V	I		I							M	0	0	0, 4, 1		0	0
27	26	0	0	4/4	1	1	V		Bb	V	V	V		V							M	0	0	1, 5, 2		1	1
27	26	1/2	1/2	4/4	1	1	I		Bb	V	V	I		I							M	0	0	0, 4, 1		0	0
28	27	0	0	4/4	1	1	V		Bb	V	V	V		V							M	0	0	1, 5, 2		1	1
28	27	1/2	1/2	4/4	1	1	I		Bb	V	V	I		I							M	0	0	0, 4, 1		0	0
29	28	0	0	4/4	1	1	V]\\		Bb	V	V	V		V						\\	M	0	0	1, 5, 2		1	1
29	28	1/2	1/2	4/4	1	1	V2		Bb	V		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
30	29	0	0	4/4	1	1	I6		Bb	V		I6		I		6					M	0	0	4, 1, 0		0	4
