mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.Bb.I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	2/4	1	1	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	2	0	0	2/4	1	1	I[V7	Bb	I	I	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
2	2	1/4	1/4	2/4	1	1	I]	Bb	I	I	I	I						M	0	0	0, 4, 1		0	0
3	3	0	0	2/4	1	1	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	3	1/8	1/8	2/4	1	1	V43	Bb	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
3	3	1/4	1/4	2/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
3	3	3/8	3/8	2/4	1	1	ii6	Bb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
4	4	0	0	2/4	1	1	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
4	4	1/4	1/4	2/4	1	1	V\\	Bb	I		V	V					\\	M	0	0	1, 5, 2		1	1
4	4	9/32	9/32	2/4	1	1	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
5	5	0	0	2/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
5	5	1/4	1/4	2/4	1	1	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
6	6	0	0	2/4	1	1	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	1/4	1/4	2/4	1	1	V65	Bb	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
7	7	0	0	2/4	1	1	I6	Bb	I		I6	I		6				M	0	0	4, 1, 0		0	4
7	7	1/8	1/8	2/4	1	1	ii6	Bb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
7	7	1/4	1/4	2/4	1	1	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
7	7	3/8	3/8	2/4	1	1	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
8	8	0	0	2/4	1	1	I\\	Bb	I		I	I					\\	M	0	0	0, 4, 1		0	0
8	8	1/32	1/32	2/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
8	8	1/4	1/4	2/4	1	1	V	Bb	I		V	V						M	0	0	1, 5, 2		1	1
9	9	0	0	2/4	1	1	I	Bb	I		I	I						M	0	0	0, 4, 1		0	0
9	9	1/8	1/8	2/4	1	1	ii6	Bb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
9	9	1/4	1/4	2/4	1	1	V(64)	Bb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
9	9	3/8	3/8	2/4	1	1	V7	Bb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
