mc	mn	onset	label
1	1	0	.C.I[I
1	1	1/4	viio64-ii6
1	1	3/8	I
2	2	0	IV6
2	2	1/4	I
3	3	0	IV
3	3	3/16	viio64
3	3	1/4	I
3	3	3/8	IV]
4	4	0	V(64)
4	4	1/8	V7
4	4	1/4	I\\
4	4	3/8	ii6
5	5	1/4	#viio6(2)/ii
5	5	3/8	#viio6/ii
6	6	0	ii6(#7)
6	6	1/8	ii6
6	6	1/4	V6(+4)/ii
6	6	3/8	V6/ii
7	7	0	ii(9)
7	7	1/8	ii
7	7	1/4	V65
8	8	0	I
8	8	1/4	ii6
9	9	0	V(64)
9	9	1/4	viio6-V64\\
10	10	0	I[I
10	10	1/4	viio64-ii6
10	10	3/8	I
11	11	0	IV6
11	11	1/4	I
12	12	0	IV
12	12	3/16	viio64
12	12	1/4	I
12	12	3/8	IV]
13	13	0	V(64)
13	13	1/8	V7
13	13	1/4	I\\
14	14	0	I6
15	15	0	ii6
16	16	0	V(64)
16	16	1/4	V7
17	17	0	I\\
18	18	0	V.IV
19	19	0	I6
20	20	0	ii7
20	20	1/4	V7
21	21	0	I(4)
21	21	1/8	I\\
21	21	1/4	I6
22	22	0	ii65
22	22	1/4	I64
23	23	0	IV6
23	23	1/4	I64
24	24	0	ii65
24	24	1/8	V(4)
24	24	1/4	ii43
24	24	3/8	V(4)
25	25	0	ii65
25	25	1/8	V(4)
25	25	1/4	ii43
25	25	3/8	V65/V
26	26	0	V\\
27	27	0	I
27	27	1/4	V6
28	28	0	IV6
28	28	1/4	V\\
29	29	0	V65
29	29	1/4	I
30	30	0	ii6
30	30	1/8	V
30	30	1/4	I\\
31	31	0	I
31	31	1/4	V6
32	32	0	IV6-vi
32	32	1/4	#viio/vi-V6/vi\\
33	33	0	iii.V65
33	33	1/4	i
34	34	0	vi.V65
34	34	1/4	i
35	35	0	II.V65
35	35	1/4	I
36	36	0	V.V65
36	36	1/4	I
37	37	0	I.V7
37	37	1/4	I6
37	37	3/8	I
38	38	0	viio
38	38	1/8	V7
38	38	1/4	I\\
38	38	7/16	V.IV6
40	40	0	V(64)
41	41	0	V(4)
41	41	1/4	V
42	42	0	I\\
42	42	3/16	I.V
42	42	1/4	viio/V-V6/V
42	42	3/8	viio64
43	43	0	V[I6
43	43	1/4	V7
43	43	3/8	I
44	44	0	V
44	44	1/4	viio/V-V6/V
44	44	3/8	V7
45	45	0	i6
45	45	1/4	V7
45	45	3/8	i
46	46	0	V
46	46	1/4	i
47	47	0	V7
47	47	1/4	viio64/V
48	48	0	V\\
48	48	5/16	V]
50	50	0	I[I
50	50	1/4	viio64-ii6
50	50	3/8	I
51	51	0	IV6
51	51	1/4	I
52	52	0	IV
52	52	3/16	viio64
52	52	1/4	I
52	52	3/8	IV]
53	53	0	V(64)
53	53	1/8	V7
53	53	1/4	I\\
53	53	3/8	ii6
54	54	1/4	#viio6(2)/ii
54	54	3/8	#viio6/ii
55	55	0	ii6(#7)
55	55	1/8	ii6
55	55	1/4	V6(+4)/ii
55	55	3/8	V6/ii
56	56	0	ii(9)
56	56	1/8	ii
56	56	1/4	V65
57	57	0	I
57	57	1/4	ii6
58	58	0	V(64)
58	58	1/4	viio6-V64\\
59	59	0	I[I
59	59	1/4	viio64-ii6
59	59	3/8	I
60	60	0	IV6
60	60	1/4	I
61	61	0	IV
61	61	3/16	viio64
61	61	1/4	I
61	61	3/8	IV]
62	62	0	V(64)
62	62	1/8	V7
62	62	1/4	I\\
63	63	0	I6
64	64	0	ii6
65	65	0	V(64)
65	65	1/4	V7
66	66	0	I\\
67	67	0	I[I
67	67	1/4	viio-V6
67	67	3/8	V7/IV
68	68	0	IV6
68	68	1/8	IV
68	68	1/4	I
68	68	3/8	viio6-V64
69	69	0	I
69	69	1/4	viio-V6
69	69	3/8	V7/IV
70	70	0	IV6
70	70	1/8	IV64
70	70	1/4	V6
70	70	3/8	viio6
71	71	0	I]\\
