mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	3/4	2	1	F.I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	1	2.0	0	0	3/4	2	1	I[I		F	I	I	I	I							M	0	0	0, 4, 1		0	0
2	1	3	1.0	1/2	1/2	3/4	2	1	ii	viio6	F	I	I	ii	ii							m	0	0	2, -1, 3		2	2
3	2	4	2.0	0	0	3/4	2	1	I]		F	I	I	I	I							M	0	0	0, 4, 1		0	0
3	2	6	0.25	1/2	1/2	3/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	25/4	0.25	9/16	9/16	3/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
3	2	13/2	0.25	5/8	5/8	3/4	2	1	viio6		F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
3	2	27/4	0.25	11/16	11/16	3/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	7	1.0	0	0	3/4	2	1	V7(4)		F	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
4	3	8	0.5	1/4	1/4	3/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	17/2	0.5	3/8	3/8	3/4	2	1	IV6		F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
4	3	9	0.5	1/2	1/2	3/4	2	1	V65		F	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
4	3	19/2	0.5	5/8	5/8	3/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
5	4	10	1.0	0	0	3/4	2	1	V7		F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	11	1.0	1/4	1/4	3/4	2	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
5	4	12	0.5	1/2	1/2	3/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
5	4	25/2	0.5	5/8	5/8	3/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	13	1.0	0	0	3/4	2	1	V2		F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	5	14	0.75	1/4	1/4	3/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	59/4	1.25	7/16	7/16	3/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
7	6	16	0.5	0	0	3/4	2	1	V64		F	I		V64	V		64					M	0	0	2, 1, 5		1	2
7	6	33/2	0.5	1/8	1/8	3/4	2	1	V43		F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	6	17	1.875	1/4	1/4	3/4	2	1	I\\		F	I		I	I						\\	M	0	0	0, 4, 1		0	0
7	6	151/8	0.125	23/32	23/32	3/4	2	1	I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	7	19	1.5	0	0	3/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	41/2	1.5	3/8	3/8	3/4	2	1	ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
9	8	22	1.0	0	0	3/4	2	1	V(64)		F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
9	8	23	0.25	1/4	1/4	3/4	2	1	V\\		F	I		V	V						\\	M	0	0	1, 5, 2		1	1
9	8	93/4	1.75	5/16	5/16	3/4	2	1	V		F	I		V	V							M	0	0	1, 5, 2		1	1
10	9	25	2.0	0	0	3/4	2	1	I[I		F	I	I	I	I							M	0	0	0, 4, 1		0	0
10	9	27	1.0	1/2	1/2	3/4	2	1	ii	viio6	F	I	I	ii	ii							m	0	0	2, -1, 3		2	2
11	10	28	3.0	0	0	3/4	2	1	I]		F	I	I	I	I							M	0	0	0, 4, 1		0	0
12	11	31	1.0	0	0	3/4	2	1	V7/vi		F	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
12	11	32	2.0	1/4	1/4	3/4	2	1	IV		F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
13	12	34	1.0	0	0	3/4	2	1	#viio7/ii		F	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
13	12	35	0.5	1/4	1/4	3/4	2	1	ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
13	12	71/2	0.5	3/8	3/8	3/4	2	1	vii%7		F	I		vii%7	vii	%	7					%7	0	0	5, 2, -1, 3		5	5
13	12	36	0.5	1/2	1/2	3/4	2	1	I		F	I		I	I							M	0	0	0, 4, 1		0	0
