mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/8	2/4	2	1	D.V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	1	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
3	2	0	0	2/4	2	1	V43	D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	0	0	2/4	2	1	V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
6	5	0	0	2/4	2	1	vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
7	6	0	0	2/4	2	1	IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
8	7	0	0	2/4	2	1	IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	1/4	1/4	2/4	2	1	V65/V	D	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
9	8	0	0	2/4	2	1	V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	1/4	1/4	2/4	2	1	V\\	D	I		V		V						\\	M	0	0	1, 5, 2		1	1
9	8	3/8	3/8	2/4	2	1	V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	9	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
11	10	0	0	2/4	2	1	V43	D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	11	0	0	2/4	2	1	V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
13	12	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
14	13	0	0	2/4	2	1	IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
15	14	0	0	2/4	2	1	IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	0	0	2/4	2	1	V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
16	15	1/4	1/4	2/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	0	0	2/4	2	1	I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
17	16	3/8	3/8	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
18	17	0	0	2/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
18	17	3/8	3/8	2/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
19	18	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
20	19	0	0	2/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
20	19	1/4	1/4	2/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	20	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
22	21	0	0	2/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
22	21	3/8	3/8	2/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
23	22	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
24	23	0	0	2/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
24	23	1/4	1/4	2/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
25	24	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
25	24	1/4	1/4	2/4	2	1	V65	D	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
26	25	0	0	2/4	2	1	I[I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
26	25	1/4	1/4	2/4	2	1	V	D	I	I	V		V							M	0	0	1, 5, 2		1	1
27	26	0	0	2/4	2	1	I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
27	26	1/4	1/4	2/4	2	1	V65	D	I	I	V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
28	27	0	0	2/4	2	1	I	D	I	I	I		I							M	0	0	0, 4, 1		0	0
28	27	1/4	1/4	2/4	2	1	V	D	I	I	V		V							M	0	0	1, 5, 2		1	1
29	28	0	0	2/4	2	1	I]\\	D	I	I	I		I						\\	M	0	0	0, 4, 1		0	0
31	30	0	0	2/4	2	1	V.ii	D	V		ii		ii							m	0	0	2, -1, 3		2	2
31	30	3/8	3/8	2/4	2	1	V	D	V		V		V							M	0	0	1, 5, 2		1	1
32	31	0	0	2/4	2	1	I6	D	V		I6		I		6					M	0	0	4, 1, 0		0	4
