mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.125	0	23/32	3/4	2	1	f.V7		f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
2	1	9/8	9/8	1.0	1/4	1/4	3/4	2	1	i		f	i		i		i							m	1	1	0, -3, 1		0	0
2	1	17/8	17/8	1.0	1/2	1/2	3/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
3	2	25/8	25/8	2.875	0	0	3/4	2	1	#viio65\\		f	i		#viio65		#vii	o	65				\\	o7	1	1	2, -1, -4, 5		5	2
3	2	6	6	1.125	23/32	23/32	3/4	2	1	V7/V		f	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
4	3	57/8	57/8	1.0	1/4	1/4	3/4	2	1	V		f	i		V		V							M	1	1	1, 5, 2		1	1
4	3	65/8	65/8	1.0	1/2	1/2	3/4	2	1	V65		f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
5	4	73/8	73/8	2.875	0	0	3/4	2	1	i\\		f	i		i		i						\\	m	1	1	0, -3, 1		0	0
5	4	12	12	1.125	23/32	23/32	3/4	2	1	V7		f	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	5	105/8	105/8	1.875	1/4	1/4	3/4	2	1	i		f	i		i		i							m	1	1	0, -3, 1		0	0
6	5	15	15	1.125	23/32	23/32	3/4	2	1	VI		f	i		VI		VI							M	1	1	-4, 0, -3		-4	-4
7	6	129/8	129/8	1.0	1/4	1/4	3/4	2	1	V6/III		f	i		V6/III		V		6		III			M	1	1	2, -1, -2		-2	2
7	6	137/8	137/8	1.0	1/2	1/2	3/4	2	1	V65/III		f	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
8	7	145/8	145/8	1.0	0	0	3/4	2	1	III		f	i		III		III							M	1	1	-3, 1, -2		-3	-3
8	7	153/8	153/8	1.0	1/4	1/4	3/4	2	1	#viio		f	i		#viio		#vii	o						o	1	1	5, 2, -1		5	5
