mc	mn	onset	label
1	1	0	.Eb.I[I
2	2	0	IV(4)
2	2	1/4	IV]
3	3	0	V6(2)
3	3	1/4	V6
3	3	1/2	V65
4	4	0	I
5	5	0	I6
6	6	0	IV(4)
6	6	1/4	IV
7	7	0	V(64)
7	7	1/2	V7
8	8	0	I\\
8	8	5/16	I
8	8	3/4	IV6
8	8	7/8	I64
9	9	0	IV
9	9	1/8	I6
9	9	5/16	I
9	9	3/4	IV6
9	9	7/8	I64
10	10	0	IV
10	10	1/8	I6\\
10	10	5/16	V65
11	11	0	V7
12	12	0	vi(9)
12	12	1/8	vi
12	12	5/16	I
12	12	3/4	I6
13	13	0	IV(4)
13	13	1/8	IV
13	13	3/8	V7
14	14	0	I
15	15	0	V.viio6(2)
15	15	1/4	viio6
15	15	1/2	V43
16	16	0	I6(2)
16	16	1/4	I6
17	17	0	IV(4)
17	17	1/8	IV
17	17	1/2	I6(#4)
17	17	5/8	I6
18	18	0	IV6(2)
18	18	1/8	IV6
18	18	1/2	V(#54)
18	18	5/8	V(64)
19	19	0	ii6(2)
19	19	3/16	ii6
19	19	1/2	V6/V
20	20	0	V\\
20	20	1/2	V2
20	20	5/8	I6
20	20	3/4	V64
20	20	7/8	I
21	21	0	V65
21	21	1/2	V43
21	21	5/8	I
21	21	3/4	V6
21	21	7/8	viio6(2)/V
22	22	0	V
22	22	1/2	V2
22	22	5/8	I6
22	22	3/4	V64
22	22	7/8	I
23	23	0	V65
23	23	1/2	V43
23	23	5/8	I
23	23	3/4	V6
23	23	7/8	viio6(2)/V
24	24	0	V[V\\
24	24	1/2	V65/V
25	25	0	V7
25	25	1/2	I
26	26	0	V7
26	26	1/2	I
27	27	0	V7]\\
29	29	0	v.i
30	30	0	VI(4)
30	30	1/4	VI
31	31	0	V(9)/III
31	31	1/4	V/III
31	31	3/4	V7/III
32	32	0	III(#2)
32	32	1/4	III
33	33	0	#viio7(6)
33	33	1/4	#viio7
34	34	0	i(9)
34	34	1/4	i
35	35	0	.Fr6
35	35	7/8	.Ger6
36	36	0	V
37	37	0	.It6
37	37	3/4	.Fr6
37	37	7/8	.Ger6
38	38	0	V[V\\
38	38	1/4	V.I6
38	38	1/2	#viio/ii
38	38	3/4	V2/ii
39	39	0	ii6-V7
39	39	1/2	V
39	39	3/4	V7
40	40	0	I6
40	40	1/4	V
40	40	1/2	I
40	40	3/4	V64/V
41	41	0	V]\\
41	41	3/4	V7
42	42	0	I
43	43	0	ii7
43	43	1/2	V7(9)
43	43	3/4	V(64)
43	43	7/8	V7
44	44	0	I\\
44	44	3/4	I
45	45	0	ii7
45	45	1/2	V7(9)
45	45	3/4	V(64)
45	45	7/8	V7
46	46	0	V2/ii-#viio43/ii
46	46	1/2	viio7/V
47	47	0	V2-viio43
47	47	1/2	V65/IV
48	48	0	IV\\
48	48	1/4	ii
49	49	0	V2(4)
49	49	3/16	V2
49	49	1/4	V2(9)
49	49	3/8	V2\\
50	50	0	I6
50	50	1/2	IVM7
51	51	0	I64
51	51	1/2	vi
52	52	0	I6
52	52	1/2	IVM7
53	53	0	I64
53	53	1/2	vi
54	54	0	V65/IV
55	55	0	IV\\
55	55	1/4	V65
55	55	3/4	V2
56	56	0	I6
56	56	1/4	V65/ii
56	56	3/4	V2/ii
57	57	0	ii6
57	57	1/4	ii
57	57	1/2	viio
57	57	3/4	V2
58	58	0	I6
59	59	0	IV
59	59	1/2	viio7/V
60	60	0	V(64)
61	61	0	V(4)
61	61	1/2	V
62	62	0	I[I\\
62	62	3/8	I
62	62	1/2	V43
63	63	0	I
63	63	1/2	V43
64	64	0	I
64	64	1/2	V43
65	65	0	I]
65	65	3/8	I
65	65	3/4	V
66	66	0	I
66	66	3/4	V
67	67	0	I\\
68	68	0	I[I
69	69	0	IV(4)
69	69	1/4	IV]
70	70	0	V6(2)
70	70	1/4	V6
70	70	1/2	V65
71	71	0	I
72	72	0	I6
73	73	0	IV(4)
73	73	1/4	IV
74	74	0	V(64)
74	74	1/2	V7
75	75	0	I\\
75	75	5/16	I
75	75	3/4	ii.#viio6
75	75	7/8	i(64)
76	76	0	#viio
76	76	1/8	iv64
76	76	1/4	V6
76	76	3/4	V65
77	77	0	i(9)
77	77	1/4	i\\
77	77	3/4	vi.#viio6
77	77	7/8	i(64)
78	78	0	#viio
78	78	1/8	iv64
78	78	1/4	V6
78	78	3/4	V65
79	79	0	i(9)
79	79	1/4	i\\
79	79	3/4	viio6/V
79	79	7/8	V(64)
80	80	0	viio/V
80	80	1/8	V(64)
80	80	1/4	V6/V
80	80	3/4	V65/V
81	81	0	V\\
81	81	1/2	V2
81	81	5/8	i6
81	81	3/4	V64
81	81	7/8	i
82	82	0	V65
82	82	1/2	V43
82	82	5/8	i
82	82	3/4	V6
82	82	7/8	viio6(2)/V
83	83	0	V
83	83	1/2	V2
83	83	5/8	i6
83	83	3/4	V64
83	83	7/8	i
84	84	0	V65
84	84	1/2	V6
84	84	3/4	V43
85	85	0	ii.V65
85	85	1/2	V2
85	85	5/8	i6
85	85	3/4	V64
85	85	7/8	i
86	86	0	V
86	86	1/2	V2
86	86	5/8	i6
86	86	3/4	V64
86	86	7/8	i
87	87	0	V65
87	87	1/2	V43
87	87	5/8	i
87	87	3/4	V6
87	87	7/8	viio6(2)/V
88	88	0	V\\
88	88	1/2	i6
88	88	3/4	i
89	89	0	V6
89	89	3/4	iii.iv6
90	90	0	V7
90	90	3/8	IV6
90	90	1/2	#viio
90	90	7/8	IV6
91	91	0	V7
91	91	3/4	V65
92	92	0	vi.V7
92	92	3/8	IV6
92	92	1/2	#viio
92	92	7/8	IV6
93	93	0	V7
93	93	1/2	V7\\
93	93	7/8	i
94	94	0	iv7
94	94	1/4	iio6
94	94	3/8	iv
94	94	1/2	V7(9)
94	94	3/4	V(6)
94	94	7/8	V7
95	95	0	VI
95	95	1/4	iv6
95	95	3/8	.It6
95	95	1/2	V\\
95	95	7/8	i
96	96	0	iv7
96	96	1/4	iio6
96	96	3/8	iv
96	96	1/2	V7(9)
96	96	3/4	V(6)
96	96	7/8	V7
97	97	0	ii.V7(94)
97	97	1/4	V7
97	97	1/2	i\\
97	97	7/8	i
98	98	0	vi.#viio43
98	98	1/4	i6
98	98	1/2	viio43/V
98	98	3/4	V6
98	98	7/8	#viio7
99	99	0	i
99	99	1/8	viio65
99	99	1/4	i6
99	99	3/8	.bII6
99	99	1/2	V(64)
99	99	3/4	#viio64
100	100	0	i\\
100	100	1/4	i[i
100	100	1/2	iv6
100	100	3/4	#viio64
101	101	0	i
101	101	1/2	iv6
101	101	3/4	#viio64
102	102	0	i]\\
102	102	1/4	IV.I[I
102	102	1/2	IV6
102	102	3/4	viio64
103	103	0	I]\\
103	103	1/4	ii.i[i
103	103	1/2	iv6
103	103	3/4	#viio64
104	104	0	i]\\
104	104	1/4	I.ii-V43
104	104	1/2	V6
104	104	3/4	V
105	105	0	I6
105	105	1/4	I
105	105	1/2	vi
105	105	3/4	V7/V
106	106	0	V[V
106	106	1/2	V43/V
107	107	0	V
107	107	1/2	V43/V
108	108	0	V
108	108	1/2	V7
110	110	1/2	V7]\\
111	111	0	I[I
112	112	0	IV(4)
112	112	1/4	IV]
113	113	0	V6(2)
113	113	1/4	V6
113	113	1/2	V65
114	114	0	I
115	115	0	I6
116	116	0	IV(4)
116	116	1/4	IV
117	117	0	V(64)
117	117	1/2	V7
118	118	0	I\\
118	118	5/16	I
118	118	3/4	IV6
118	118	7/8	I64
119	119	0	IV
119	119	1/8	I6
119	119	5/16	I
119	119	3/4	IV6
119	119	7/8	I64
120	120	0	IV
120	120	1/8	I6\\
120	120	5/16	ii.i
121	121	0	VI6
121	121	1/8	V
121	121	3/4	V2
122	122	0	V6
122	122	1/8	i\\
122	122	5/16	I.V7
123	123	0	vi
123	123	1/2	viio6/V
124	124	0	V\\
124	124	1/2	V2
124	124	5/8	I6
124	124	3/4	V64
124	124	7/8	I
125	125	0	V65
125	125	1/2	V43
125	125	5/8	I
125	125	3/4	V6
125	125	7/8	viio6(2)/V
126	126	0	V
126	126	1/2	V2
126	126	5/8	I6
126	126	3/4	V64
126	126	7/8	I
127	127	0	V65
127	127	1/2	V43
127	127	5/8	I
127	127	3/4	V6
127	127	7/8	viio6(2)/V
128	128	0	V[V\\
128	128	1/2	vi65
128	128	3/4	ii-viio6
129	129	0	V7
129	129	1/4	I
129	129	1/2	IVM65
129	129	3/4	V7
130	130	0	I
130	130	1/4	I6
130	130	1/2	V7
131	131	0	I
131	131	1/4	I6
131	131	1/2	viio6/V
131	131	3/4	viio64/V
132	132	0	V]\\
133	133	0	V7
134	134	0	i.i
135	135	0	VI(4)
135	135	1/4	VI
136	136	0	V(9)/III
136	136	1/4	V/III
136	136	3/4	V7/III
137	137	0	III(#2)
137	137	1/4	III
138	138	0	#viio7(6)
138	138	1/4	#viio7
139	139	0	i(9)
139	139	1/4	i
140	140	0	.Fr6
140	140	7/8	.Ger6
141	141	0	V
142	142	0	.It6
142	142	3/4	.Fr6
142	142	7/8	.Ger6
143	143	0	V[V\\
143	143	1/4	I.I6
143	143	1/2	#viio/ii
143	143	3/4	V2/ii
144	144	0	ii6-V7
144	144	1/2	V
144	144	3/4	V7
145	145	0	I6
145	145	1/4	V
145	145	1/2	I
145	145	3/4	V64/V
146	146	0	V]\\
146	146	1/8	V
147	147	0	I
148	148	0	ii7
148	148	1/2	V7(9)
148	148	3/4	V(64)
148	148	7/8	V7
149	149	0	I\\
149	149	3/4	I
