mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.Eb.I[I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
3	3	1/8	IV		Eb	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
4	4	1/8	I]		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
5	5	1/8	ii6		Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
5	5	1/2	ii		Eb	I		ii	ii						m	0	0	2, -1, 3		2	2
6	6	1/8	V6		Eb	I		V6	V		6				M	0	0	5, 2, 1		1	5
6	6	1/2	V		Eb	I		V	V						M	0	0	1, 5, 2		1	1
6	6	3/4	V7		Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	1/8	I		Eb	I		I	I						M	0	0	0, 4, 1		0	0
8	8	1/8	ii65		Eb	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
8	8	1/2	ii6		Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
9	9	1/8	ii65		Eb	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
9	9	1/2	ii6		Eb	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
10	10	0	V[I6		Eb	I	V	I6	I		6				M	0	0	4, 1, 0		0	4
10	10	1/4	V7		Eb	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
10	10	1/2	I		Eb	I	V	I	I						M	0	0	0, 4, 1		0	0
10	10	3/4	V7]		Eb	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	0	I\\		Eb	I		I	I					\\	M	0	0	0, 4, 1		0	0
11	11	1/4	I		Eb	I		I	I						M	0	0	0, 4, 1		0	0
12	12	0	V		Eb	I		V	V						M	0	0	1, 5, 2		1	1
12	12	1/4	V(64)		Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
12	12	3/4	V7		Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
13	13	0	I\\		Eb	I		I	I					\\	M	0	0	0, 4, 1		0	0
13	13	1/4	I		Eb	I		I	I						M	0	0	0, 4, 1		0	0
14	14	0	V		Eb	I		V	V						M	0	0	1, 5, 2		1	1
14	14	1/4	V(64)		Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
14	14	3/4	V7		Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
15	15	0	I[I\\		Eb	I	I	I	I					\\	M	0	0	0, 4, 1		0	0
15	15	1/8	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
15	15	1/4	IV		Eb	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
15	15	1/2	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
15	15	3/4	V43		Eb	I	I	V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
16	16	0	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
