mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	1	1	.A.I	A	I		I		I						M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	2/2	1	1	I6	A	I		I6		I		6				M	0	0	4, 1, 0		0	4
1	1	3/4	3/4	2/2	1	1	IV	A	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
2	2	0	0	2/2	1	1	I6	A	I		I6		I		6				M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	2/2	1	1	I	A	I		I		I						M	0	0	0, 4, 1		0	0
2	2	15/16	15/16	2/2	1	1	V	A	I		V		V						M	0	0	1, 5, 2		1	1
3	3	0	0	2/2	1	1	I[I	A	I	I	I		I						M	0	0	0, 4, 1		0	0
3	3	1/8	1/8	2/2	1	1	viio64	A	I	I	viio64		vii	o	64				o	0	0	-1, 5, 2		5	-1
3	3	1/4	1/4	2/2	1	1	I	A	I	I	I		I						M	0	0	0, 4, 1		0	0
3	3	3/8	3/8	2/2	1	1	viio64	A	I	I	viio64		vii	o	64				o	0	0	-1, 5, 2		5	-1
3	3	1/2	1/2	2/2	1	1	I	A	I	I	I		I						M	0	0	0, 4, 1		0	0
3	3	5/8	5/8	2/2	1	1	V	A	I	I	V		V						M	0	0	1, 5, 2		1	1
3	3	3/4	3/4	2/2	1	1	IV	A	I	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
3	3	7/8	7/8	2/2	1	1	I]	A	I	I	I		I						M	0	0	0, 4, 1		0	0
4	4	0	0	2/2	1	1	V(64)	A	I		V(64)		V			64			M	0	0	1, 0, 4		1	1
4	4	1/4	1/4	2/2	1	1	V7	A	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
4	4	1/2	1/2	2/2	1	1	I\\	A	I		I		I					\\	M	0	0	0, 4, 1		0	0
4	4	15/16	15/16	2/2	1	1	I	A	I		I		I						M	0	0	0, 4, 1		0	0
5	5	0	0	2/2	1	1	IV6	A	I		IV6		IV		6				M	0	0	3, 0, -1		-1	3
5	5	1/4	1/4	2/2	1	1	#viio43(4)/ii	A	I		#viio43(4)/ii		#vii	o	43	4	ii		o7	0	0	1, -2, 7, -1		7	1
5	5	3/8	3/8	2/2	1	1	#viio43/ii	A	I		#viio43/ii		#vii	o	43		ii		o7	0	0	1, -2, 7, 4		7	1
5	5	1/2	1/2	2/2	1	1	ii6	A	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
6	6	0	0	2/2	1	1	I6	A	I		I6		I		6				M	0	0	4, 1, 0		0	4
