mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
160	158	0	i6		D	iv		i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
160	158	1/4	i.i64		D	i		i64	i		64				m	0	1	1, 0, -3		0.0	1.0
160	158	3/8	iv		D	i		iv	iv						m	0	1	-1, -4, 0		-1.0	-1.0
160	158	5/8	i6		D	i		i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
161	159	0	iv6		D	i		iv6	iv		6				m	0	1	-4, 0, -1		-1.0	-4.0
161	159	1/4	i64		D	i		i64	i		64				m	0	1	1, 0, -3		0.0	1.0
161	159	3/8	iio6		D	i		iio6	ii	o	6				o	0	1	-1, -4, 2		2.0	-1.0
161	159	5/8	viio/V		D	i		viio/V	vii	o			V		o	0	1	6, 3, 0		6.0	6.0
162	160	0	V		D	i		V	V						M	0	1	1, 5, 2		1.0	1.0
162	160	1/4	V6		D	i		V6	V		6				M	0	1	5, 2, 1		1.0	5.0
162	160	3/8	I		D	i		I	I						M	0	1	0, 4, 1		0.0	0.0
162	160	1/2	#viio/ii		D	i		#viio/ii	#vii	o			ii		o	0	1	7, 4, 1		7.0	7.0
162	160	5/8	V64		D	i		V64	V		64				M	0	1	2, 1, 5		1.0	2.0
163	161	0	i6		D	i		i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
163	161	1/8	I6		D	i		I6	I		6				M	0	1	4, 1, 0		0.0	4.0
163	161	1/4	V2		D	i		V2	V		2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
163	161	3/8	V64		D	i		V64	V		64				M	0	1	2, 1, 5		1.0	2.0
163	161	1/2	V6		D	i		V6	V		6				M	0	1	5, 2, 1		1.0	5.0
163	161	5/8	I		D	i		I	I						M	0	1	0, 4, 1		0.0	0.0
164	162	0	V		D	i		V	V						M	0	1	1, 5, 2		1.0	1.0
164	162	1/4	V6		D	i		V6	V		6				M	0	1	5, 2, 1		1.0	5.0
164	162	3/8	I		D	i		I	I						M	0	1	0, 4, 1		0.0	0.0
164	162	1/2	#viio/ii		D	i		#viio/ii	#vii	o			ii		o	0	1	7, 4, 1		7.0	7.0
164	162	5/8	V64		D	i		V64	V		64				M	0	1	2, 1, 5		1.0	2.0
165	163	0	i6		D	i		i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
165	163	1/8	I6		D	i		I6	I		6				M	0	1	4, 1, 0		0.0	4.0
165	163	1/4	V2		D	i		V2	V		2				Mm7	0	1	-1, 1, 5, 2		1.0	-1.0
165	163	3/8	V64		D	i		V64	V		64				M	0	1	2, 1, 5		1.0	2.0
165	163	1/2	V6		D	i		V6	V		6				M	0	1	5, 2, 1		1.0	5.0
165	163	5/8	I		D	i		I	I						M	0	1	0, 4, 1		0.0	0.0
166	164	0	V[V		D	i	V	V	V						M	0	1	1, 5, 2		1.0	1.0
166	164	1/4	V7		D	i	V	V7	V		7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
166	164	3/8	i6		D	i	V	i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
166	164	5/8	i		D	i	V	i	i						m	0	1	0, -3, 1		0.0	0.0
167	165	0	V7		D	i	V	V7	V		7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
167	165	3/8	i		D	i	V	i	i						m	0	1	0, -3, 1		0.0	0.0
167	165	5/8	i6		D	i	V	i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
168	166	0	V		D	i	V	V	V						M	0	1	1, 5, 2		1.0	1.0
168	166	1/4	V7		D	i	V	V7	V		7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
168	166	3/8	i6		D	i	V	i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
168	166	5/8	i		D	i	V	i	i						m	0	1	0, -3, 1		0.0	0.0
169	167	0	V7		D	i	V	V7	V		7				Mm7	0	1	1, 5, 2, -1		1.0	1.0
169	167	3/8	i		D	i	V	i	i						m	0	1	0, -3, 1		0.0	0.0
169	167	5/8	i6		D	i	V	i6	i		6				m	0	1	-3, 1, 0		0.0	-3.0
170	168	0	I.V]\\		D	I	V	V	V					\\	M	0	0	1, 5, 2		1.0	1.0
173	171	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
174	172	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
174	172	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
174	172	3/8	V(64)		D	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
174	172	5/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
175	173	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
175	173	1/4	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
175	173	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
175	173	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
176	174	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
176	174	1/4	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
176	174	3/8	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
176	174	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
177	175	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
178	176	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
178	176	1/4	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
178	176	3/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
178	176	5/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
179	177	0	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
180	178	0	V7/IV		D	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
180	178	1/4	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
180	178	3/8	V7/IV		D	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
180	178	5/8	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
181	179	0	V7/IV		D	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0.0	0.0
182	180	0	V65/ii		D	I		V65/ii	V		65		ii		Mm7	0	0	7, 4, 1, 3		3.0	7.0
182	180	3/8	ii		D	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
183	181	0	V65		D	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1.0	5.0
183	181	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
184	182	0	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
184	182	3/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
185	183	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
186	184	0	V65/ii		D	I		V65/ii	V		65		ii		Mm7	0	0	7, 4, 1, 3		3.0	7.0
186	184	3/8	ii		D	I		ii	ii						m	0	0	2, -1, 3		2.0	2.0
187	185	0	viio7		D	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5.0	5.0
187	185	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
188	186	0	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
190	188	0	V(64)		D	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
190	188	3/8	V7(6)		D	I		V7(6)	V		7	6			Mm7	0	0	1, 5, 4, -1		1.0	1.0
190	188	5/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
191	189	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
193	191	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
193	191	3/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
194	192	0	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
194	192	3/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
195	193	0	I[I		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
195	193	1/2	IV		D	I	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
196	194	0	I		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
196	194	1/2	IV		D	I	I	IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
197	195	0	I]		D	I	I	I	I						M	0	0	0, 4, 1		0.0	0.0
198	196	0	IV6		D	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
198	196	1/4	I64		D	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
198	196	3/8	ii65		D	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
198	196	1/2	#viio65/iii		D	I		#viio65/iii	#vii	o	65		iii		o7	0	0	6, 3, 0, 9		9.0	6.0
198	196	5/8	I64		D	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
199	197	0	IV6		D	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
199	197	1/4	I64		D	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
199	197	3/8	ii65		D	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2.0	-1.0
199	197	1/2	#viio65/iii		D	I		#viio65/iii	#vii	o	65		iii		o7	0	0	6, 3, 0, 9		9.0	6.0
199	197	5/8	I64		D	I		I64	I		64				M	0	0	1, 0, 4		0.0	1.0
200	198	0	IV6		D	I		IV6	IV		6				M	0	0	3, 0, -1		-1.0	3.0
200	198	3/8	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2.0	-1.0
201	199	0	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5.0	2.0
201	199	3/8	.bVI6		D	I										0	0				
202	200	0	V6		D	I		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
202	200	3/8	#viio7/vi		D	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8.0	8.0
203	201	0	vi		D	I		vi	vi						m	0	0	3, 0, 4		3.0	3.0
203	201	3/8	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1.0	-1.0
204	202	0	V(64)		D	I		V(64)	V			64			M	0	0	1, 0, 4		1.0	1.0
208	206	3/8	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1.0	1.0
209	207	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
212	210	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
213	211	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
213	211	1/4	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
213	211	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
213	211	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
214	212	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
214	212	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
215	213	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
215	213	1/4	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
215	213	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
215	213	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
216	214	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
216	214	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
217	215	0	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
217	215	1/4	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
217	215	3/8	I		D	I		I	I						M	0	0	0, 4, 1		0.0	0.0
217	215	5/8	V		D	I		V	V						M	0	0	1, 5, 2		1.0	1.0
218	216	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0.0	0.0
