mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	2/4	1	1	.C.I		C	I		I		I						M	0	0	0, 4, 1		0	0
1	0	1/8	3/8	2/4	1	1	V64		C	I		V64		V		64				M	0	0	2, 1, 5		1	2
2	1	0	0	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	2/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
3	2	0	0	2/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
3	2	1/4	1/4	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
3	2	3/8	3/8	2/4	1	1	V64		C	I		V64		V		64				M	0	0	2, 1, 5		1	2
4	3	0	0	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
4	3	1/4	1/4	2/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	0	0	2/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
5	4	1/4	1/4	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
5	4	3/8	3/8	2/4	1	1	V64		C	I		V64		V		64				M	0	0	2, 1, 5		1	2
6	5	0	0	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
6	5	1/4	1/4	2/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	6	0	0	2/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
7	6	1/4	1/4	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
7	6	3/8	3/8	2/4	1	1	V64		C	I		V64		V		64				M	0	0	2, 1, 5		1	2
8	7	0	0	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
8	7	1/4	1/4	2/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
9	8	0	0	2/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
9	8	1/4	1/4	2/4	1	1	V6		C	I		V6		V		6				M	0	0	5, 2, 1		1	5
10	9	0	0	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
10	9	1/4	1/4	2/4	1	1	V43		C	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
11	10	0	0	2/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
11	10	1/4	1/4	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
11	10	3/8	3/8	2/4	1	1	V64		C	I		V64		V		64				M	0	0	2, 1, 5		1	2
12	11	0	0	2/4	1	1	I		C	I		I		I						M	0	0	0, 4, 1		0	0
12	11	1/4	1/4	2/4	1	1	V7		C	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
13	12	0	0	2/4	1	1	I\\		C	I		I		I					\\	M	0	0	0, 4, 1		0	0
13	12	1/4	1/4	2/4	1	1	V[V		C	I	V	V		V						M	0	0	1, 5, 2		1	1
14	13	0	0	2/4	1	1	I		C	I	V	I		I						M	0	0	0, 4, 1		0	0
