mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
31	31	90	90	3.0	0	0	6/8	2	1	viio6/IV		e	III		viio6/IV		vii	o	6		IV			o	1	0	1, -2, 4		4	1
32	32	93	93	2.0	0	0	6/8	2	1	IV\\		e	III		IV		IV						\\	M	1	0	-1, 3, 0		-1	-1
32	32	95	95	1.0	1/2	1/2	6/8	2	1	IV6		e	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
33	33	96	96	3.0	0	0	6/8	2	1	Ger6		e	III		Ger6	Ger	vii	o	65	b3	V			Ger	1	0	-4, 0, -3, 6		6	-4
34	34	99	99	2.5	0	0	6/8	2	1	V		e	III		V		V							M	1	0	1, 5, 2		1	1
34	34	203/2	203/2	0.5	5/8	5/8	6/8	2	1	viio		e	III		viio		vii	o						o	1	0	5, 2, -1		5	5
35	35	102	102	1.0	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
35	35	103	103	0.5	1/4	1/4	6/8	2	1	V6		e	III		V6		V		6					M	1	0	5, 2, 1		1	5
35	35	207/2	207/2	1.0	3/8	3/8	6/8	2	1	vi		e	III		vi		vi							m	1	0	3, 0, 4		3	3
35	35	209/2	209/2	0.5	5/8	5/8	6/8	2	1	iii6		e	III		iii6		iii		6					m	1	0	1, 5, 4		4	1
36	36	105	105	1.0	0	0	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
36	36	106	106	0.5	1/4	1/4	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
36	36	213/2	213/2	1.0	3/8	3/8	6/8	2	1	ii		e	III		ii		ii							m	1	0	2, -1, 3		2	2
36	36	215/2	215/2	0.5	5/8	5/8	6/8	2	1	vi6		e	III		vi6		vi		6					m	1	0	0, 4, 3		3	0
37	37	108	108	1.5	0	0	6/8	2	1	V65		e	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
37	37	219/2	219/2	1.0	3/8	3/8	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
37	37	221/2	221/2	0.5	5/8	5/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
38	38	111	111	1.5	0	0	6/8	2	1	V65		e	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
38	38	225/2	225/2	1.0	3/8	3/8	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
38	38	227/2	227/2	0.5	5/8	5/8	6/8	2	1	I6		e	III		I6		I		6					M	1	0	4, 1, 0		0	4
39	39	114	114	1.0	0	0	6/8	2	1	ii6		e	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
39	39	115	115	0.5	1/4	1/4	6/8	2	1	V7		e	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
39	39	231/2	231/2	1.0	3/8	3/8	6/8	2	1	vi		e	III		vi		vi							m	1	0	3, 0, 4		3	3
39	39	233/2	233/2	0.5	5/8	5/8	6/8	2	1	viio6/V		e	III		viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
40	40	117	117	2.0	0	0	6/8	2	1	V\\		e	III		V		V						\\	M	1	0	1, 5, 2		1	1
40	40	119	119	0.5	1/2	1/2	6/8	2	1	V6		e	III		V6		V		6					M	1	0	5, 2, 1		1	5
40	40	239/2	239/2	0.5	5/8	5/8	6/8	2	1	V43		e	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
41	41	120	120	2.5	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
41	41	245/2	245/2	0.5	5/8	5/8	6/8	2	1	viio/V		e	III		viio/V		vii	o			V			o	1	0	6, 3, 0		6	6
42	42	123	123	2.0	0	0	6/8	2	1	V		e	III		V		V							M	1	0	1, 5, 2		1	1
42	42	125	125	0.5	1/2	1/2	6/8	2	1	V6		e	III		V6		V		6					M	1	0	5, 2, 1		1	5
42	42	251/2	251/2	0.5	5/8	5/8	6/8	2	1	V43		e	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
43	43	126	126	2.5	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
43	43	257/2	257/2	0.5	5/8	5/8	6/8	2	1	viio/V		e	III		viio/V		vii	o			V			o	1	0	6, 3, 0		6	6
44	44	129	129	2.5	0	0	6/8	2	1	V\\		e	III		V		V						\\	M	1	0	1, 5, 2		1	1
44	44	263/2	263/2	0.5	5/8	5/8	6/8	2	1	V		e	III		V		V							M	1	0	1, 5, 2		1	1
45	45	132	132	1.0	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
45	45	133	133	0.5	1/4	1/4	6/8	2	1	V7		e	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
45	45	267/2	267/2	1.0	3/8	3/8	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
45	45	269/2	269/2	0.5	5/8	5/8	6/8	2	1	V7		e	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
46	46	135	135	2.5	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
46	46	275/2	275/2	0.5	5/8	5/8	6/8	2	1	V43/vi		e	III		V43/vi		V		43		vi			Mm7	1	0	5, 2, 4, 8		4	5
47	47	138	138	1.0	0	0	6/8	2	1	vi		e	III		vi		vi							m	1	0	3, 0, 4		3	3
47	47	139	139	0.5	1/4	1/4	6/8	2	1	V7/vi		e	III		V7/vi		V		7		vi			Mm7	1	0	4, 8, 5, 2		4	4
47	47	279/2	279/2	1.0	3/8	3/8	6/8	2	1	vi		e	III		vi		vi							m	1	0	3, 0, 4		3	3
47	47	281/2	281/2	0.5	5/8	5/8	6/8	2	1	V7/vi		e	III		V7/vi		V		7		vi			Mm7	1	0	4, 8, 5, 2		4	4
48	48	141	141	2.5	0	0	6/8	2	1	vi		e	III		vi		vi							m	1	0	3, 0, 4		3	3
48	48	287/2	287/2	0.5	5/8	5/8	6/8	2	1	V43/IV		e	III		V43/IV		V		43		IV			Mm7	1	0	1, -2, 0, 4		0	1
49	49	144	144	1.0	0	0	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
49	49	145	145	0.5	1/4	1/4	6/8	2	1	V7/IV		e	III		V7/IV		V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
49	49	291/2	291/2	1.0	3/8	3/8	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
49	49	293/2	293/2	0.5	5/8	5/8	6/8	2	1	V7/IV		e	III		V7/IV		V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
50	50	147	147	2.5	0	0	6/8	2	1	IV\\		e	III		IV		IV						\\	M	1	0	-1, 3, 0		-1	-1
50	50	299/2	299/2	1.5	5/8	5/8	6/8	2	1	IV		e	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
51	51	151	151	0.5	1/4	1/4	6/8	2	1	V65/V		e	III		V65/V		V		65		V			Mm7	1	0	6, 3, 0, 2		2	6
51	51	303/2	303/2	2.5	3/8	3/8	6/8	2	1	V		e	III		V		V							M	1	0	1, 5, 2		1	1
52	52	154	154	0.5	1/4	1/4	6/8	2	1	V65		e	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
52	52	309/2	309/2	1.5	3/8	3/8	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
53	53	156	156	1.5	0	0	6/8	2	1	viio		e	III		viio		vii	o						o	1	0	5, 2, -1		5	5
53	53	315/2	315/2	1.5	3/8	3/8	6/8	2	1	iio64		e	III		iio64		ii	o	64					o	1	0	-4, 2, -1		2	-4
54	54	159	159	1.5	0	0	6/8	2	1	V7		e	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
54	54	321/2	321/2	1.5	3/8	3/8	6/8	2	1	iio64		e	III		iio64		ii	o	64					o	1	0	-4, 2, -1		2	-4
55	55	162	162	3.0	0	0	6/8	2	1	V7\\		e	III		V7		V		7				\\	Mm7	1	0	1, 5, 2, -1		1	1
56	56	165	165	1.0	0	0	6/8	2	1	I		e	III		I		I							M	1	0	0, 4, 1		0	0
