mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0.5	0	0	2/4	2	1	G.I[I		G	I	I	I		I							M	0	0	0, 4, 1		0	0
1	1	1/2	0.5	1/8	1/8	2/4	2	1	ii6	viio64	G	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
1	1	1	0.5	1/4	1/4	2/4	2	1	I		G	I	I	I		I							M	0	0	0, 4, 1		0	0
1	1	3/2	0.5	3/8	3/8	2/4	2	1	IV6		G	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
2	2	2	0.5	0	0	2/4	2	1	ii6		G	I	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
2	2	5/2	0.5	1/8	1/8	2/4	2	1	viio6		G	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
2	2	3	1.5	1/4	1/4	2/4	2	1	I		G	I	I	I		I							M	0	0	0, 4, 1		0	0
3	3	9/2	0.5	1/8	1/8	2/4	2	1	IV		G	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	5	0.5	1/4	1/4	2/4	2	1	IV6		G	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
3	3	11/2	0.5	3/8	3/8	2/4	2	1	IV		G	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
4	4	6	0.5	0	0	2/4	2	1	IV6		G	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
4	4	13/2	0.5	1/8	1/8	2/4	2	1	viio		G	I	I	viio		vii	o						o	0	0	5, 2, -1		5	5
4	4	7	0.25	1/4	1/4	2/4	2	1	I\\		G	I	I	I		I						\\	M	0	0	0, 4, 1		0	0
4	4	29/4	0.75	5/16	5/16	2/4	2	1	I		G	I	I	I		I							M	0	0	0, 4, 1		0	0
5	5	8	0.5	0	0	2/4	2	1	V64		G	I	I	V64		V		64					M	0	0	2, 1, 5		1	2
5	5	17/2	0.5	1/8	1/8	2/4	2	1	V2		G	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
5	5	9	1.0	1/4	1/4	2/4	2	1	I		G	I	I	I		I							M	0	0	0, 4, 1		0	0
6	6	10	0.5	0	0	2/4	2	1	V64		G	I	I	V64		V		64					M	0	0	2, 1, 5		1	2
6	6	21/2	0.5	1/8	1/8	2/4	2	1	V2		G	I	I	V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	11	0.5	1/4	1/4	2/4	2	1	I		G	I	I	I		I							M	0	0	0, 4, 1		0	0
6	6	23/2	0.5	3/8	3/8	2/4	2	1	V.vii%43]		G	V	IV	vii%43		vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
7	7	12	0.5	0	0	2/4	2	1	I6		G	V		I6		I		6					M	0	0	4, 1, 0		0	4
7	7	25/2	0.5	1/8	1/8	2/4	2	1	vi		G	V		vi		vi							m	0	0	3, 0, 4		3	3
7	7	13	0.5	1/4	1/4	2/4	2	1	V(64)		G	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	27/2	0.5	3/8	3/8	2/4	2	1	V7		G	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
