mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.Eb.I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
1	1	1/4	1/4	3/4	1	1	V43	Eb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
1	1	1/2	1/2	3/4	1	1	V2	Eb	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
2	2	0	0	3/4	1	1	I6	Eb	I		I6		I		6				M	0	0	4, 1, 0		0	4
2	2	1/2	1/2	3/4	1	1	V43	Eb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
2	2	5/8	5/8	3/4	1	1	I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
3	3	0	0	3/4	1	1	V65	Eb	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
3	3	1/4	1/4	3/4	1	1	I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
3	3	3/8	3/8	3/4	1	1	ii6	Eb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
3	3	1/2	1/2	3/4	1	1	#viio6/ii	Eb	I		#viio6/ii		#vii	o	6		ii		o	0	0	4, 1, 7		7	4
3	3	5/8	5/8	3/4	1	1	ii	Eb	I		ii		ii						m	0	0	2, -1, 3		2	2
4	4	0	0	3/4	1	1	V[I	Eb	I	V	I		I						M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	3/4	1	1	V	Eb	I	V	V		V						M	0	0	1, 5, 2		1	1
5	5	0	0	3/4	1	1	i	Eb	I	V	i		i						m	0	0	0, -3, 1		0	0
5	5	1/4	1/4	3/4	1	1	V	Eb	I	V	V		V						M	0	0	1, 5, 2		1	1
6	6	0	0	3/4	1	1	viio2/V	Eb	I	V	viio2/V		vii	o	2		V		o7	0	0	-3, 6, 3, 0		6	-3
6	6	1/4	1/4	3/4	1	1	V	Eb	I	V	V		V						M	0	0	1, 5, 2		1	1
6	6	3/8	3/8	3/4	1	1	viio64/V	Eb	I	V	viio64/V		vii	o	64		V		o	0	0	0, 6, 3		6	0
6	6	1/2	1/2	3/4	1	1	V	Eb	I	V	V		V						M	0	0	1, 5, 2		1	1
6	6	5/8	5/8	3/4	1	1	V7]	Eb	I	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	0	0	3/4	1	1	I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
7	7	1/4	1/4	3/4	1	1	V43	Eb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
7	7	1/2	1/2	3/4	1	1	V2	Eb	I		V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
8	8	0	0	3/4	1	1	I6	Eb	I		I6		I		6				M	0	0	4, 1, 0		0	4
8	8	3/8	3/8	3/4	1	1	V65/IV	Eb	I		V65/IV		V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
8	8	1/2	1/2	3/4	1	1	IV	Eb	I		IV		IV						M	0	0	-1, 3, 0		-1	-1
8	8	5/8	5/8	3/4	1	1	V65/ii	Eb	I		V65/ii		V		65		ii		Mm7	0	0	7, 4, 1, 3		3	7
9	9	0	0	3/4	1	1	V(4)/V	Eb	I		V(4)/V		V			4	V		M	0	0	2, 1, 3		2	2
9	9	1/8	1/8	3/4	1	1	V/V	Eb	I		V/V		V				V		M	0	0	2, 6, 3		2	2
9	9	1/4	1/4	3/4	1	1	V65	Eb	I		V65		V		65				Mm7	0	0	5, 2, -1, 1		1	5
10	10	0	0	3/4	1	1	I	Eb	I		I		I						M	0	0	0, 4, 1		0	0
10	10	1/4	1/4	3/4	1	1	ii6	Eb	I		ii6		ii		6				m	0	0	-1, 3, 2		2	-1
10	10	1/2	1/2	3/4	1	1	V7	Eb	I		V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	0	0	3/4	1	1	I\\	Eb	I		I		I					\\	M	0	0	0, 4, 1		0	0
11	11	1/8	1/8	3/4	1	1	I6	Eb	I		I6		I		6				M	0	0	4, 1, 0		0	4
11	11	1/4	1/4	3/4	1	1	V43	Eb	I		V43		V		43				Mm7	0	0	2, -1, 1, 5		1	2
