mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.d.i[i		d	i	i	i		i						m	1	1	0, -3, 1		0	0
2	2	0	0	4/4	1	1	#viio64		d	i	i	#viio64		#vii	o	64				o	1	1	-1, 5, 2		5	-1
2	2	1/2	1/2	4/4	1	1	i		d	i	i	i		i						m	1	1	0, -3, 1		0	0
3	3	1/2	1/2	4/4	1	1	iv		d	i	i	iv		iv						m	1	1	-1, -4, 0		-1	-1
4	4	0	0	4/4	1	1	i]		d	i	i	i		i						m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	4/4	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
5	5	1/2	1/2	4/4	1	1	#viio6		d	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
5	5	3/4	3/4	4/4	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
6	6	0	0	4/4	1	1	V(64)		d	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
6	6	1/4	1/4	4/4	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
6	6	5/8	5/8	4/4	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
7	7	1/4	1/4	4/4	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
7	7	1/2	1/2	4/4	1	1	#viio6		d	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
7	7	3/4	3/4	4/4	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
8	8	0	0	4/4	1	1	V(#764)		d	i		V(#764)		V			#764			M	1	1	1, 0, -3	6	1	1
8	8	1/4	1/4	4/4	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
8	8	5/8	5/8	4/4	1	1	#viio7		d	i		#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
