mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	3/4	1	1	.E.V		E	I		V	V						M	0	0	1, 5, 2		1	1
2	1	0	0	3/4	1	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	3/4	1	1	viio6		E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
2	1	1/2	1/2	3/4	1	1	I6		E	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	2	0	0	3/4	1	1	V6		E	I		V6	V		6				M	0	0	5, 2, 1		1	5
3	2	1/4	1/4	3/4	1	1	I\\		E	I		I	I					\\	M	0	0	0, 4, 1		0	0
3	2	1/2	1/2	3/4	1	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
3	2	5/8	5/8	3/4	1	1	I6		E	I		I6	I		6				M	0	0	4, 1, 0		0	4
4	3	1/8	1/8	3/4	1	1	ii6		E	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
4	3	1/2	1/2	3/4	1	1	V7		E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	1/8	1/8	3/4	1	1	vi\\		E	I		vi	vi					\\	m	0	0	3, 0, 4		3	3
5	4	1/4	1/4	3/4	1	1	vi		E	I		vi	vi						m	0	0	3, 0, 4		3	3
5	4	1/2	1/2	3/4	1	1	I64		E	I		I64	I		64				M	0	0	1, 0, 4		0	1
5	4	5/8	5/8	3/4	1	1	IV		E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
6	5	1/8	1/8	3/4	1	1	I6		E	I		I6	I		6				M	0	0	4, 1, 0		0	4
6	5	5/8	5/8	3/4	1	1	V65/IV		E	I		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
7	6	1/8	1/8	3/4	1	1	IV[IV		E	I	IV	IV	IV						M	0	0	-1, 3, 0		-1	-1
7	6	3/8	3/8	3/4	1	1	#viio/ii		E	I	IV	#viio/ii	#vii	o			ii		o	0	0	7, 4, 1		7	7
7	6	1/2	1/2	3/4	1	1	ii]		E	I	IV	ii	ii						m	0	0	2, -1, 3		2	2
7	6	5/8	5/8	3/4	1	1	V65/V		E	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
8	7	0	0	3/4	1	1	V7\\		E	I		V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1	1
8	7	5/8	5/8	3/4	1	1	viio		E	I		viio	vii	o					o	0	0	5, 2, -1		5	5
9	8	0	0	3/4	1	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
9	8	1/8	1/8	3/4	1	1	vi		E	I		vi	vi						m	0	0	3, 0, 4		3	3
9	8	1/4	1/4	3/4	1	1	IV		E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
9	8	3/8	3/8	3/4	1	1	ii		E	I		ii	ii						m	0	0	2, -1, 3		2	2
9	8	1/2	1/2	3/4	1	1	V(64)		E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
9	8	5/8	5/8	3/4	1	1	V7		E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
10	9	0	0	3/4	1	1	I(974)		E	I		I(974)	I			974			M	0	0	0, -1, 1	2, 5	0	0
10	9	1/4	1/4	3/4	1	1	I\\		E	I		I	I					\\	M	0	0	0, 4, 1		0	0
10	9	3/8	3/8	3/4	1	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
10	9	5/8	5/8	3/4	1	1	V43		E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
11	10	1/8	1/8	3/4	1	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
12	11	1/8	1/8	3/4	1	1	V.I6		E	V		I6	I		6				M	0	0	4, 1, 0		0	4
13	12	1/8	1/8	3/4	1	1	ii7		E	V		ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
13	12	1/4	1/4	3/4	1	1	V7		E	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
14	13	1/8	1/8	3/4	1	1	I		E	V		I	I						M	0	0	0, 4, 1		0	0
14	13	1/4	1/4	3/4	1	1	I6		E	V		I6	I		6				M	0	0	4, 1, 0		0	4
14	13	5/8	5/8	3/4	1	1	V65/IV		E	V		V65/IV	V		65		IV		Mm7	0	0	4, 1, -2, 0		0	4
15	14	0	0	3/4	1	1	IV		E	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
15	14	1/3	1/3	3/4	1	1	ii		E	V		ii	ii						m	0	0	2, -1, 3		2	2
15	14	5/8	5/8	3/4	1	1	ii6		E	V		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
16	15	0	0	3/4	1	1	V[V7(4)		E	V	V	V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
16	15	1/4	1/4	3/4	1	1	V7		E	V	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
17	16	0	0	3/4	1	1	I(7)		E	V	V	I(7)	I			7			M	0	0	0, 4, 1	5	0	0
17	16	1/4	1/4	3/4	1	1	I		E	V	V	I	I						M	0	0	0, 4, 1		0	0
18	17	0	0	3/4	1	1	V		E	V	V	V	V						M	0	0	1, 5, 2		1	1
18	17	1/4	1/4	3/4	1	1	V7]		E	V	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
19	18	0	0	3/4	1	1	vi(+2)		E	V		vi(+2)	vi			+2			m	0	0	3, 0, 4	5	3	3
19	18	1/4	1/4	3/4	1	1	vi		E	V		vi	vi						m	0	0	3, 0, 4		3	3
20	19	0	0	3/4	1	1	V7(4)/V		E	V		V7(4)/V	V		7	4	V		Mm7	0	0	2, 1, 3, 0		2	2
20	19	1/4	1/4	3/4	1	1	V7/V		E	V		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
21	20	0	0	3/4	1	1	V[V(+2)		E	V	V	V(+2)	V			+2			M	0	0	1, 5, 2	3	1	1
21	20	1/4	1/4	3/4	1	1	V		E	V	V	V	V						M	0	0	1, 5, 2		1	1
22	21	0	0	3/4	1	1	vi6(2)		E	V	V	vi6(2)	vi		6	2			m	0	0	0, 4, 5		3	0
22	21	1/4	1/4	3/4	1	1	V2/ii		E	V	V	V2/ii	V		2		ii		Mm7	0	0	1, 3, 7, 4		3	1
22	21	1/2	1/2	3/4	1	1	V7	ii	E	V	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
23	22	0	0	3/4	1	1	V7		E	V	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
23	22	1/4	1/4	3/4	1	1	V		E	V	V	V	V						M	0	0	1, 5, 2		1	1
23	22	1/2	1/2	3/4	1	1	I		E	V	V	I	I						M	0	0	0, 4, 1		0	0
24	23	0	0	3/4	1	1	vii%65/V		E	V	V	vii%65/V	vii	%	65		V		%7	0	0	3, 0, 4, 6		6	3
24	23	1/4	1/4	3/4	1	1	viio43/V		E	V	V	viio43/V	vii	o	43		V		o7	0	0	0, -3, 6, 3		6	0
