mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1	g.i[i		g	i	i	i		i							m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	2	1	iv		g	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1
1	1	2	1.0	1/2	1/2	3/4	2	1	i		g	i	i	i		i							m	1	1	0, -3, 1		0	0
2	2	3	2.5	0	0	3/4	2	1	#viio6		g	i	i	#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	11/2	0.5	5/8	5/8	3/4	2	1	VI6]		g	i	i	VI6		VI		6					M	1	1	0, -3, -4		-4	0
3	3	6	0.5	0	0	3/4	2	1	V6		g	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	3	13/2	0.5	1/8	1/8	3/4	2	1	VI6		g	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
3	3	7	0.5	1/4	1/4	3/4	2	1	V6		g	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	3	15/2	0.5	3/8	3/8	3/4	2	1	VI6		g	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
3	3	8	0.5	1/2	1/2	3/4	2	1	V6		g	i		V6		V		6					M	1	1	5, 2, 1		1	5
3	3	17/2	0.5	5/8	5/8	3/4	2	1	viio43/V		g	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
4	4	9	1.0	0	0	3/4	2	1	V(764)		g	i		V(764)		V			764				M	1	1	1, 0, -3	-1	1	1
4	4	10	1.125	1/4	1/4	3/4	2	1	V\\		g	i		V		V						\\	M	1	1	1, 5, 2		1	1
4	4	89/8	0.875	17/32	17/32	3/4	2	1	V		g	i		V		V							M	1	1	1, 5, 2		1	1
5	5	12	1.0	0	0	3/4	2	1	i[i		g	i	i	i		i							m	1	1	0, -3, 1		0	0
5	5	13	1.0	1/4	1/4	3/4	2	1	V7/iv		g	i	i	V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
5	5	14	1.0	1/2	1/2	3/4	2	1	iv		g	i	i	iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	15	2.5	0	0	3/4	2	1	V7/iv]		g	i	i	V7/iv		V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
6	6	35/2	0.5	5/8	5/8	3/4	2	1	#viio43/iv		g	i		#viio43/iv		#vii	o	43		iv			o7	1	1	-2, -5, 4, 1		4	-2
7	7	18	0.75	0	0	3/4	2	1	iv6		g	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	75/4	0.5	3/16	3/16	3/4	2	1	III6		g	i		III6		III		6					M	1	1	1, -2, -3		-3	1
7	7	77/4	0.5	5/16	5/16	3/4	2	1	iio6		g	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
