mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.D.I[I		D	I	I	I	I						M	0	0	0, 4, 1		0	0
1	1	1/4	viio64		D	I	I	viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
1	1	3/8	I]		D	I	I	I	I						M	0	0	0, 4, 1		0	0
2	2	0	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
3	3	0	V2		D	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
3	3	1/4	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	3	3/8	V43		D	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
4	4	0	I		D	I		I	I						M	0	0	0, 4, 1		0	0
5	5	0	V[V7		D	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	1/8	I		D	I	V	I	I						M	0	0	0, 4, 1		0	0
5	5	1/4	V7		D	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	5	3/8	I		D	I	V	I	I						M	0	0	0, 4, 1		0	0
6	6	0	V]		D	I	V	V	V						M	0	0	1, 5, 2		1	1
6	6	1/8	V7/V		D	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
6	6	1/4	V\\		D	I		V	V					\\	M	0	0	1, 5, 2		1	1
7	7	0	I		D	I		I	I						M	0	0	0, 4, 1		0	0
7	7	1/4	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
7	7	3/8	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0	4
8	8	0	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
9	9	0	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0	4
10	10	0	ii6		D	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
11	11	0	V(64)		D	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
11	11	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
12	12	0	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0	0
12	12	1/8	IV		D	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
12	12	1/4	ii6	viio64	D	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
12	12	3/8	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
13	13	0	V6		D	I		V6	V		6				M	0	0	5, 2, 1		1	5
13	13	1/8	viio6/V		D	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6	3
13	13	1/4	#viio7/vi		D	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
13	13	3/8	vi		D	I		vi	vi						m	0	0	3, 0, 4		3	3
14	14	0	ii65		D	I		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
14	14	1/8	viio7/V		D	I		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
15	15	0	V(64)		D	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
15	15	1/4	V7		D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	I(974)		D	I		I(974)	I			974			M	0	0	0, -1, 1	2, 5	0	0
16	16	1/4	I\\		D	I		I	I					\\	M	0	0	0, 4, 1		0	0
17	17	0	I		D	I		I	I						M	0	0	0, 4, 1		0	0
17	17	1/4	V.V43/ii		D	V		V43/ii	V		43		ii		Mm7	0	0	4, 1, 3, 7		3	4
17	17	3/8	ii		D	V		ii	ii						m	0	0	2, -1, 3		2	2
18	18	0	V65		D	V		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
18	18	1/4	I		D	V		I	I						M	0	0	0, 4, 1		0	0
19	19	0	IV6		D	V		IV6	IV		6				M	0	0	3, 0, -1		-1	3
19	19	1/8	iii6		D	V		iii6	iii		6				m	0	0	1, 5, 4		4	1
19	19	1/4	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
20	20	0	V(64)		D	V		V(64)	V			64			M	0	0	1, 0, 4		1	1
20	20	1/4	V		D	V		V	V						M	0	0	1, 5, 2		1	1
21	21	0	#viio6		D	V		#viio6	#vii	o	6				o	0	0	9, 6, 12		12	9
21	21	1/4	V2		D	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
22	22	0	I6		D	V		I6	I		6				M	0	0	4, 1, 0		0	4
22	22	1/4	vi		D	V		vi	vi						m	0	0	3, 0, 4		3	3
23	23	0	IV		D	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
23	23	1/8	I6		D	V		I6	I		6				M	0	0	4, 1, 0		0	4
23	23	1/4	IV6		D	V		IV6	IV		6				M	0	0	3, 0, -1		-1	3
23	23	3/8	iii6		D	V		iii6	iii		6				m	0	0	1, 5, 4		4	1
24	24	0	ii6		D	V		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
24	24	3/8	vii%7		D	V		vii%7	vii	%	7				%7	0	0	5, 4, 11, 3		5	5
25	25	0	I		D	V		I	I						M	0	0	0, 4, 1		0	0
25	25	1/8	vi		D	V		vi	vi						m	0	0	3, 0, 4		3	3
25	25	1/4	V(64)		D	V		V(64)	V			64			M	0	0	1, 0, 4		1	1
25	25	3/8	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
26	26	0	I\\		D	V		I	I					\\	M	0	0	0, 4, 1		0	0
26	26	1/8	IV		D	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
26	26	1/4	ii6	viio64	D	V		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
26	26	3/8	viio6		D	V		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
27	27	0	V6		D	V		V6	V		6				M	0	0	5, 2, 1		1	5
27	27	1/8	viio6/V		D	V		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6	3
27	27	1/4	#viio7/vi		D	V		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
27	27	3/8	vi		D	V		vi	vi						m	0	0	3, 0, 4		3	3
28	28	0	ii65		D	V		ii65	ii		65				mm7	0	0	-1, 3, 0, 2		2	-1
28	28	1/8	viio7/V		D	V		viio7/V	vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
29	29	0	V(64)		D	V		V(64)	V			64			M	0	0	1, 0, 4		1	1
29	29	1/4	V7		D	V		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
30	30	0	I[I(974)		D	V	I	I(974)	I			974			M	0	0	0, -1, 1	2, 5	0	0
30	30	1/4	I\\		D	V	I	I	I					\\	M	0	0	0, 4, 1		0	0
30	30	5/16	I.V		D	I	V	V	V						M	0	0	1, 5, 2		1	1
31	31	0	V7		D	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
31	31	1/4	V		D	I	V	V	V						M	0	0	1, 5, 2		1	1
32	32	0	I6		D	I	V	I6	I		6				M	0	0	4, 1, 0		0	4
33	33	0	V7		D	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
33	33	1/8	I6		D	I	V	I6	I		6				M	0	0	4, 1, 0		0	4
33	33	1/4	V		D	I	V	V	V						M	0	0	1, 5, 2		1	1
33	33	3/8	vii%65		D	I	V	vii%65	vii	%	65				%7	0	0	4, 11, 3, 5		5	4
34	34	0	V7(4)		D	I	V	V7(4)	V		7	4			Mm7	0	0	1, 0, 2, -1		1	1
34	34	3/16	V7]\\		D	I	V	V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1	1
35	35	0	I[I		D	I	I	I	I						M	0	0	0, 4, 1		0	0
35	35	1/4	viio64		D	I	I	viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
35	35	3/8	I]		D	I	I	I	I						M	0	0	0, 4, 1		0	0
36	36	0	viio6		D	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
36	36	1/4	V64		D	I		V64	V		64				M	0	0	2, 1, 5		1	2
37	37	0	V2		D	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
37	37	1/4	I6		D	I		I6	I		6				M	0	0	4, 1, 0		0	4
37	37	3/8	V43		D	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
