mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.C.I		C	I		I		I							M	0	0	0, 4, 1		0	0
3	3	0	0	4/4	1	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	5	0	0	4/4	1	1	I[V7/IV		C	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
7	7	0	0	4/4	1	1	IV6		C	I	I	IV6		IV		6					M	0	0	3, 0, -1		-1	3
7	7	1/2	1/2	4/4	1	1	V7/IV		C	I	I	V7/IV		V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
8	8	0	0	4/4	1	1	IV		C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
8	8	1/2	1/2	4/4	1	1	viio6		C	I	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
9	9	0	0	4/4	1	1	I\\		C	I	I	I		I						\\	M	0	0	0, 4, 1		0	0
9	9	1/4	1/4	4/4	1	1	vi	IV6	C	I	I	vi		vi							m	0	0	3, 0, 4		3	3
9	9	1/2	1/2	4/4	1	1	V		C	I	I	V		V							M	0	0	1, 5, 2		1	1
9	9	3/4	3/4	4/4	1	1	IV	ii6	C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
10	10	0	0	4/4	1	1	I		C	I	I	I		I							M	0	0	0, 4, 1		0	0
10	10	1/4	1/4	4/4	1	1	vi	IV6	C	I	I	vi		vi							m	0	0	3, 0, 4		3	3
10	10	1/2	1/2	4/4	1	1	V		C	I	I	V		V							M	0	0	1, 5, 2		1	1
10	10	3/4	3/4	4/4	1	1	IV	ii6	C	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
11	11	0	0	4/4	1	1	I]\\		C	I	I	I		I						\\	M	0	0	0, 4, 1		0	0
12	12	0	0	4/4	1	1	V[I6		C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
12	12	1/2	1/2	4/4	1	1	V7		C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	3/4	3/4	4/4	1	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
13	13	0	0	4/4	1	1	V		C	I	V	V		V							M	0	0	1, 5, 2		1	1
13	13	1/4	1/4	4/4	1	1	I6		C	I	V	I6		I		6					M	0	0	4, 1, 0		0	4
13	13	1/2	1/2	4/4	1	1	V7		C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
13	13	3/4	3/4	4/4	1	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
14	14	0	0	4/4	1	1	V		C	I	V	V		V							M	0	0	1, 5, 2		1	1
14	14	1/4	1/4	4/4	1	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
14	14	1/2	1/2	4/4	1	1	V		C	I	V	V		V							M	0	0	1, 5, 2		1	1
14	14	3/4	3/4	4/4	1	1	V.viio6		C	V	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
15	15	0	0	4/4	1	1	I		C	V	I	I		I							M	0	0	0, 4, 1		0	0
15	15	1/4	1/4	4/4	1	1	IV		C	V	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
15	15	1/2	1/2	4/4	1	1	I		C	V	I	I		I							M	0	0	0, 4, 1		0	0
15	15	3/4	3/4	4/4	1	1	V7		C	V	I	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
16	16	0	0	4/4	1	1	I]\\		C	V	I	I		I						\\	M	0	0	0, 4, 1		0	0
17	17	0	0	4/4	1	1	I.I		C	I		I		I							M	0	0	0, 4, 1		0	0
19	19	0	0	4/4	1	1	viio6		C	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
21	21	0	0	4/4	1	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
23	23	0	0	4/4	1	1	V.V6		C	V		V6		V		6					M	0	0	5, 2, 1		1	5
24	24	1/2	1/2	4/4	1	1	V65		C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
25	25	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
25	25	1/2	1/2	4/4	1	1	viio6		C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
26	26	0	0	4/4	1	1	I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
26	26	1/2	1/2	4/4	1	1	viio		C	V		viio		vii	o						o	0	0	5, 2, -1		5	5
27	27	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
27	27	1/2	1/2	4/4	1	1	viio6		C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
28	28	0	0	4/4	1	1	I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
28	28	1/2	1/2	4/4	1	1	viio		C	V		viio		vii	o						o	0	0	5, 2, -1		5	5
29	29	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
30	30	0	0	4/4	1	1	vi		C	V		vi		vi							m	0	0	3, 0, 4		3	3
31	31	0	0	4/4	1	1	IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
32	32	0	0	4/4	1	1	ii		C	V		ii		ii							m	0	0	2, -1, 3		2	2
33	33	0	0	4/4	1	1	viio		C	V		viio		vii	o						o	0	0	5, 2, -1		5	5
33	33	1/4	1/4	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
33	33	1/2	1/2	4/4	1	1	ii	viio6	C	V		ii		ii							m	0	0	2, -1, 3		2	2
33	33	3/4	3/4	4/4	1	1	I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
34	34	0	0	4/4	1	1	IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
34	34	1/4	1/4	4/4	1	1	V		C	V		V		V							M	0	0	1, 5, 2		1	1
34	34	1/2	1/2	4/4	1	1	vi		C	V		vi		vi							m	0	0	3, 0, 4		3	3
34	34	3/4	3/4	4/4	1	1	viio		C	V		viio		vii	o						o	0	0	5, 2, -1		5	5
35	35	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
35	35	1/4	1/4	4/4	1	1	V65/vi		C	V		V65/vi		V		65		vi			Mm7	0	0	8, 5, 2, 4		4	8
35	35	1/2	1/2	4/4	1	1	vi		C	V		vi		vi							m	0	0	3, 0, 4		3	3
35	35	3/4	3/4	4/4	1	1	V65/IV		C	V		V65/IV		V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
36	36	0	0	4/4	1	1	IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
36	36	1/4	1/4	4/4	1	1	V65/ii		C	V		V65/ii		V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
36	36	1/2	1/2	4/4	1	1	ii		C	V		ii		ii							m	0	0	2, -1, 3		2	2
36	36	3/4	3/4	4/4	1	1	V65		C	V		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
37	37	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
37	37	1/2	1/2	4/4	1	1	ii6		C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
38	38	0	0	4/4	1	1	V(64)		C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
38	38	1/2	1/2	4/4	1	1	V7\\		C	V		V7		V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1
39	39	0	0	4/4	1	1	v.i[i		C	v	i	i		i							m	0	1	0, -3, 1		0	0
39	39	1/4	1/4	4/4	1	1	iio	#viio6	C	v	i	iio		ii	o						o	0	1	2, -1, -4		2	2
39	39	1/2	1/2	4/4	1	1	i]		C	v	i	i		i							m	0	1	0, -3, 1		0	0
39	39	3/4	3/4	4/4	1	1	V7		C	v		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
40	40	0	0	4/4	1	1	i[i		C	v	i	i		i							m	0	1	0, -3, 1		0	0
40	40	1/4	1/4	4/4	1	1	iio	#viio6	C	v	i	iio		ii	o						o	0	1	2, -1, -4		2	2
40	40	1/2	1/2	4/4	1	1	i		C	v	i	i		i							m	0	1	0, -3, 1		0	0
40	40	3/4	3/4	4/4	1	1	i.V]		C	i	v	V		V							M	0	1	1, 5, 2		1	1
41	41	0	0	4/4	1	1	i[i		C	i	i	i		i							m	0	1	0, -3, 1		0	0
41	41	1/4	1/4	4/4	1	1	iio	#viio6	C	i	i	iio		ii	o						o	0	1	2, -1, -4		2	2
41	41	1/2	1/2	4/4	1	1	i]		C	i	i	i		i							m	0	1	0, -3, 1		0	0
41	41	3/4	3/4	4/4	1	1	V7		C	i		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
42	42	0	0	4/4	1	1	i[i		C	i	i	i		i							m	0	1	0, -3, 1		0	0
42	42	1/4	1/4	4/4	1	1	iio	#viio6	C	i	i	iio		ii	o						o	0	1	2, -1, -4		2	2
42	42	1/2	1/2	4/4	1	1	i]		C	i	i	i		i							m	0	1	0, -3, 1		0	0
42	42	3/4	3/4	4/4	1	1	#viio64/iv		C	i		#viio64/iv		#vii	o	64		iv			o	0	1	-2, 4, 1		4	-2
43	43	0	0	4/4	1	1	v.#viio6		C	v		#viio6		#vii	o	6					o	0	1	2, -1, 5		5	2
43	43	1/4	1/4	4/4	1	1	i		C	v		i		i							m	0	1	0, -3, 1		0	0
43	43	1/2	1/2	4/4	1	1	#viio		C	v		#viio		#vii	o						o	0	1	5, 2, -1		5	5
43	43	3/4	3/4	4/4	1	1	#viio7		C	v		#viio7		#vii	o	7					o7	0	1	5, 2, -1, -4		5	5
44	44	0	0	4/4	1	1	i		C	v		i		i							m	0	1	0, -3, 1		0	0
44	44	1/4	1/4	4/4	1	1	V7		C	v		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
44	44	1/2	1/2	4/4	1	1	VI		C	v		VI		VI							M	0	1	-4, 0, -3		-4	-4
44	44	3/4	3/4	4/4	1	1	#viio7/iv		C	v		#viio7/iv		#vii	o	7		iv			o7	0	1	4, 1, -2, -5		4	4
45	45	0	0	4/4	1	1	iv		C	v		iv		iv							m	0	1	-1, -4, 0		-1	-1
45	45	1/4	1/4	4/4	1	1	V7/iv		C	v		V7/iv		V		7		iv			Mm7	0	1	0, 4, 1, -2		0	0
45	45	1/2	1/2	4/4	1	1	iv		C	v		iv		iv							m	0	1	-1, -4, 0		-1	-1
45	45	3/4	3/4	4/4	1	1	V7		C	v		V7		V		7					Mm7	0	1	1, 5, 2, -1		1	1
46	46	0	0	4/4	1	1	VI[VI		C	v	VI	VI		VI							M	0	1	-4, 0, -3		-4	-4
46	46	1/4	1/4	4/4	1	1	V/iv		C	v	VI	V/iv		V				iv			M	0	1	0, 4, 1		0	0
46	46	1/2	1/2	4/4	1	1	iv6		C	v	VI	iv6		iv		6					m	0	1	-4, 0, -1		-1	-4
46	46	3/4	3/4	4/4	1	1	.It6]		C	v	VI	It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
47	47	0	0	4/4	1	1	V		C	v		V		V							M	0	1	1, 5, 2		1	1
47	47	1/4	1/4	4/4	1	1	.It6		C	v		It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
47	47	1/2	1/2	4/4	1	1	V		C	v		V		V							M	0	1	1, 5, 2		1	1
47	47	3/4	3/4	4/4	1	1	.It6		C	v		It6	It	vii	o	6	b3	V			It	0	1	-4, 0, 6		6	-4
48	48	0	0	4/4	1	1	V(#74)		C	v		V(#74)		V			#74				M	0	1	1, 0, 2	6	1	1
48	48	1/2	1/2	4/4	1	1	V\\		C	v		V		V						\\	M	0	1	1, 5, 2		1	1
49	49	0	0	4/4	1	1	V.I[I		C	V	I	I		I							M	0	0	0, 4, 1		0	0
50	50	0	0	4/4	1	1	ii6		C	V	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
50	50	1/2	1/2	4/4	1	1	viio6		C	V	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
51	51	0	0	4/4	1	1	I		C	V	I	I		I							M	0	0	0, 4, 1		0	0
52	52	0	0	4/4	1	1	ii6		C	V	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
52	52	1/2	1/2	4/4	1	1	viio6		C	V	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
53	53	0	0	4/4	1	1	I\\		C	V	I	I		I						\\	M	0	0	0, 4, 1		0	0
53	53	1/4	1/4	4/4	1	1	vi	IV6	C	V	I	vi		vi							m	0	0	3, 0, 4		3	3
53	53	1/2	1/2	4/4	1	1	V		C	V	I	V		V							M	0	0	1, 5, 2		1	1
53	53	3/4	3/4	4/4	1	1	IV	ii6	C	V	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
54	54	0	0	4/4	1	1	I		C	V	I	I		I							M	0	0	0, 4, 1		0	0
54	54	1/4	1/4	4/4	1	1	vi	IV6	C	V	I	vi		vi							m	0	0	3, 0, 4		3	3
54	54	1/2	1/2	4/4	1	1	V		C	V	I	V		V							M	0	0	1, 5, 2		1	1
54	54	3/4	3/4	4/4	1	1	IV	ii6	C	V	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
55	55	0	0	4/4	1	1	I]		C	V	I	I		I							M	0	0	0, 4, 1		0	0
55	55	1/4	1/4	4/4	1	1	I6		C	V		I6		I		6					M	0	0	4, 1, 0		0	4
55	55	1/2	1/2	4/4	1	1	IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
55	55	3/4	3/4	4/4	1	1	viio6		C	V		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
56	56	0	0	4/4	1	1	iii		C	V		iii		iii							m	0	0	4, 1, 5		4	4
56	56	1/4	1/4	4/4	1	1	V6/ii		C	V		V6/ii		V		6		ii			M	0	0	7, 4, 3		3	7
56	56	1/2	1/2	4/4	1	1	ii		C	V		ii		ii							m	0	0	2, -1, 3		2	2
56	56	3/4	3/4	4/4	1	1	V6		C	V		V6		V		6					M	0	0	5, 2, 1		1	5
57	57	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
57	57	1/4	1/4	4/4	1	1	IV6		C	V		IV6		IV		6					M	0	0	3, 0, -1		-1	3
57	57	1/2	1/2	4/4	1	1	iii6		C	V		iii6		iii		6					m	0	0	1, 5, 4		4	1
57	57	3/4	3/4	4/4	1	1	ii6		C	V		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
58	58	0	0	4/4	1	1	V(64)		C	V		V(64)		V			64				M	0	0	1, 0, 4		1	1
58	58	1/2	1/2	4/4	1	1	V7\\		C	V		V7		V		7				\\	Mm7	0	0	1, 5, 2, -1		1	1
59	59	0	0	4/4	1	1	I[I		C	V	I	I		I							M	0	0	0, 4, 1		0	0
60	60	0	0	4/4	1	1	ii6		C	V	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
60	60	1/2	1/2	4/4	1	1	viio6		C	V	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
61	61	0	0	4/4	1	1	I		C	V	I	I		I							M	0	0	0, 4, 1		0	0
62	62	0	0	4/4	1	1	ii6		C	V	I	ii6		ii		6					m	0	0	-1, 3, 2		2	-1
62	62	1/2	1/2	4/4	1	1	viio6		C	V	I	viio6		vii	o	6					o	0	0	2, -1, 5		5	2
63	63	0	0	4/4	1	1	I]		C	V	I	I		I							M	0	0	0, 4, 1		0	0
63	63	1/2	1/2	4/4	1	1	vi		C	V		vi		vi							m	0	0	3, 0, 4		3	3
64	64	0	0	4/4	1	1	IV		C	V		IV		IV							M	0	0	-1, 3, 0		-1	-1
64	64	1/2	1/2	4/4	1	1	V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
65	65	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
65	65	1/2	1/2	4/4	1	1	vi		C	V		vi		vi							m	0	0	3, 0, 4		3	3
66	66	0	0	4/4	1	1	ii65		C	V		ii65		ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
66	66	1/2	1/2	4/4	1	1	V43		C	V		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
67	67	0	0	4/4	1	1	I\\		C	V		I		I						\\	M	0	0	0, 4, 1		0	0
67	67	1/2	1/2	4/4	1	1	V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
68	68	0	0	4/4	1	1	I		C	V		I		I							M	0	0	0, 4, 1		0	0
68	68	1/2	1/2	4/4	1	1	V7		C	V		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
69	69	0	0	4/4	1	1	I\\		C	V		I		I						\\	M	0	0	0, 4, 1		0	0
70	70	0	0	4/4	1	1	v.i		C	v		i		i							m	0	1	0, -3, 1		0	0
72	72	0	0	4/4	1	1	VI[VI		C	v	VI	VI		VI							M	0	1	-4, 0, -3		-4	-4
73	73	0	0	4/4	1	1	.bVI.V7		C	bVI	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
74	74	0	0	4/4	1	1	I		C	bVI	V	I		I							M	0	0	0, 4, 1		0	0
74	74	1/2	1/2	4/4	1	1	V7		C	bVI	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
75	75	0	0	4/4	1	1	I		C	bVI	V	I		I							M	0	0	0, 4, 1		0	0
