mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.E.I[I		E	I	I	I	I						M	0	0	0, 4, 1		0	0
1	1	3/16	3/16	2/4	1	1	V6		E	I	I	V6	V		6				M	0	0	5, 2, 1		1	5
1	1	1/4	1/4	2/4	1	1	IV6		E	I	I	IV6	IV		6				M	0	0	3, 0, -1		-1	3
1	1	3/8	3/8	2/4	1	1	iii6		E	I	I	iii6	iii		6				m	0	0	1, 5, 4		4	1
2	2	0	0	2/4	1	1	ii6		E	I	I	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
2	2	1/8	1/8	2/4	1	1	viio6		E	I	I	viio6	vii	o	6				o	0	0	2, -1, 5		5	2
2	2	1/4	1/4	2/4	1	1	I]		E	I	I	I	I						M	0	0	0, 4, 1		0	0
3	3	0	0	2/4	1	1	viio6		E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
3	3	1/8	1/8	2/4	1	1	vi6		E	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
3	3	1/4	1/4	2/4	1	1	V6		E	I		V6	V		6				M	0	0	5, 2, 1		1	5
3	3	3/8	3/8	2/4	1	1	V7/V		E	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
4	4	0	0	2/4	1	1	V(9#74)		E	I		V(9#74)	V			9#74			M	0	0	1, 0, 2	3, 6	1	1
4	4	1/4	1/4	2/4	1	1	V\\		E	I		V	V					\\	M	0	0	1, 5, 2		1	1
4	4	3/8	3/8	2/4	1	1	V		E	I		V	V						M	0	0	1, 5, 2		1	1
5	5	0	0	2/4	1	1	#viio7/ii		E	I		#viio7/ii	#vii	o	7		ii		o7	0	0	7, 4, 1, -2		7	7
5	5	1/4	1/4	2/4	1	1	ii		E	I		ii	ii						m	0	0	2, -1, 3		2	2
6	6	0	0	2/4	1	1	V65		E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
6	6	1/4	1/4	2/4	1	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
7	7	0	0	2/4	1	1	IV[IV		E	I	IV	IV	IV						M	0	0	-1, 3, 0		-1	-1
7	7	1/8	1/8	2/4	1	1	I6		E	I	IV	I6	I		6				M	0	0	4, 1, 0		0	4
7	7	1/4	1/4	2/4	1	1	ii7]		E	I	IV	ii7	ii		7				mm7	0	0	2, -1, 3, 0		2	2
7	7	3/8	3/8	2/4	1	1	vii%7/V		E	I		vii%7/V	vii	%	7		V		%7	0	0	6, 3, 0, 4		6	6
8	8	0	0	2/4	1	1	V[V(64)		E	I	V	V(64)	V			64			M	0	0	1, 0, 4		1	1
8	8	1/4	1/4	2/4	1	1	V\\		E	I	V	V	V					\\	M	0	0	1, 5, 2		1	1
8	8	7/16	7/16	2/4	1	1	V		E	I	V	V	V						M	0	0	1, 5, 2		1	1
9	9	0	0	2/4	1	1	V7		E	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
10	10	0	0	2/4	1	1	I		E	I	V	I	I						M	0	0	0, 4, 1		0	0
11	11	0	0	2/4	1	1	V7		E	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	1/8	1/8	2/4	1	1	I		E	I	V	I	I						M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	2/4	1	1	V7		E	I	V	V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
11	11	3/8	3/8	2/4	1	1	I		E	I	V	I	I						M	0	0	0, 4, 1		0	0
12	12	0	0	2/4	1	1	V7\\		E	I	V	V7	V		7			\\	Mm7	0	0	1, 5, 2, -1		1	1
12	12	7/16	7/16	2/4	1	1	V]		E	I	V	V	V						M	0	0	1, 5, 2		1	1
13	13	0	0	2/4	1	1	#viio7/ii		E	I		#viio7/ii	#vii	o	7		ii		o7	0	0	7, 4, 1, -2		7	7
13	13	1/8	1/8	2/4	1	1	ii		E	I		ii	ii						m	0	0	2, -1, 3		2	2
13	13	1/4	1/4	2/4	1	1	viio7		E	I		viio7	vii	o	7				o7	0	0	5, 2, -1, -4		5	5
13	13	3/8	3/8	2/4	1	1	I		E	I		I	I						M	0	0	0, 4, 1		0	0
