mc	mn	onset	label
1	0	23/32	.f.V7
2	1	1/4	i
2	1	1/2	i6
3	2	0	#viio65\\
3	2	23/32	V7/V
4	3	1/4	V
4	3	1/2	V65
5	4	0	i\\
5	4	23/32	V7
6	5	1/4	i
6	5	23/32	VI
7	6	1/4	V6/III
7	6	1/2	V65/III
8	7	0	III
8	7	1/4	#viio
8	7	1/2	i
8	7	5/8	viio7/V
9	8	0	V(64)
9	8	1/4	V\\
9	8	23/32	V7
10	9	1/4	i
10	9	1/2	i6
11	10	0	.bII6
11	10	1/4	iv.#viio6
11	10	1/2	i6\\
11	10	23/32	V7
12	11	1/4	i
12	11	1/2	i6
13	12	0	i.V[V7
14	13	0	i
14	13	1/2	viio43/V
15	14	0	V]
15	14	1/8	VI6
15	14	1/4	V6
15	14	3/8	#viio6
15	14	1/2	i6
15	14	5/8	iio-#viio6
16	15	0	i
16	15	1/8	#viio7
16	15	1/4	i
16	15	3/8	#viio6
16	15	1/2	i6
16	15	5/8	.Ger6
17	16	0	V(#764)
17	16	1/4	V\\
18	17	0	III.I[I
18	17	1/4	IV
18	17	3/8	I]
19	18	0	V[V7(4)
19	18	1/8	V7
19	18	1/4	iii-I6
19	18	3/8	V7]
20	19	0	i.i[i(9)
20	19	1/8	i
20	19	1/4	iv
20	19	3/8	i]
21	20	0	V[V7
21	20	1/4	i6
21	20	3/8	V7]
22	21	0	VI
22	21	1/4	V(64)
22	21	1/2	viio7/V
23	22	0	V[V
23	22	1/4	V7
23	22	3/8	VI6
23	22	1/2	v6
23	22	5/8	.It6
24	23	0	V]\\
24	23	3/16	#viio43
24	23	1/4	empty_harmony
24	23	7/16	V2
25	24	0	i6
25	24	1/4	#viio6
25	24	1/2	i
26	25	0	ii%65
26	25	1/4	V(64)
26	25	1/2	V7
27	26	0	i(#74)
27	26	1/4	i\\
27	26	1/2	i
27	26	5/8	VI.V2
28	27	0	I[I
28	27	1/4	IV
28	27	3/8	I]
29	28	0	V[V7(4)
29	28	1/8	V7
29	28	1/4	iii-I6
29	28	3/8	V7]
30	29	0	iv.i[i(4)
30	29	1/8	i
30	29	1/4	iv
30	29	3/8	i]
31	30	0	i.#viio43(2)
31	30	1/8	#viio43
32	31	0	i6
32	31	1/4	#viio6
32	31	1/2	iv64
33	32	0	#viio7
33	32	1/4	V65
33	32	1/2	i
33	32	5/8	V
34	33	0	iv6(2)
34	33	1/8	iv6(#7)
34	33	1/4	iv
34	33	3/8	VI
34	33	1/2	.Fr6
35	34	0	V\\
35	34	1/8	V6
35	34	1/4	V43
35	34	3/8	VI
35	34	1/2	v6
35	34	5/8	.It6
36	35	0	V[V\\
36	35	1/4	iio6
36	35	3/8	i6
36	35	1/2	V
36	35	5/8	#viio43/V
37	36	0	V
37	36	1/8	I
37	36	1/4	V
37	36	3/8	I
37	36	1/2	V
37	36	5/8	I
38	37	0	V]\\
