mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/4	2/4	2	1	Eb.I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	1	0	0	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
6	5	0	0	2/4	2	1	V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
6	5	1/4	1/4	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
7	6	0	0	2/4	2	1	V43		Eb	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
7	6	1/4	1/4	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
8	7	0	0	2/4	2	1	IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	1/4	1/4	2/4	2	1	ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
8	7	3/8	3/8	2/4	2	1	vii%7/V		Eb	I		vii%7/V		vii	%	7		V			%7	0	0	6, 3, 0, 4		6	6
9	8	0	0	2/4	2	1	V(64)		Eb	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	1/8	1/8	2/4	2	1	V\\		Eb	I		V		V						\\	M	0	0	1, 5, 2		1	1
9	8	1/4	1/4	2/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	9	0	0	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
13	12	1/4	1/4	2/4	2	1	viio/IV		Eb	I		viio/IV		vii	o			IV			o	0	0	4, 1, -2		4	4
14	13	0	0	2/4	2	1	IV(9)		Eb	I		IV(9)		IV			9				M	0	0	-1, 3, 0	1	-1	-1
14	13	1/8	1/8	2/4	2	1	IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
14	13	1/4	1/4	2/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
15	14	0	0	2/4	2	1	vi(4)		Eb	I		vi(4)		vi			4				m	0	0	3, 2, 4		3	3
15	14	1/8	1/8	2/4	2	1	vi		Eb	I		vi		vi							m	0	0	3, 0, 4		3	3
15	14	1/4	1/4	2/4	2	1	#viio43/ii		Eb	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
16	15	0	0	2/4	2	1	ii6		Eb	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
16	15	1/4	1/4	2/4	2	1	V7		Eb	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	0	0	2/4	2	1	I\\		Eb	I		I		I						\\	M	0	0	0, 4, 1		0	0
17	16	1/4	1/4	2/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
18	17	0	0	2/4	2	1	IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
18	17	1/4	1/4	2/4	2	1	IV6	vi	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
19	18	0	0	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
19	18	1/4	1/4	2/4	2	1	I6		Eb	I		I6		I		6					M	0	0	4, 1, 0		0	4
20	19	0	0	2/4	2	1	IV		Eb	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
20	19	1/4	1/4	2/4	2	1	IV6	vi	Eb	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
21	20	0	0	2/4	2	1	I		Eb	I		I		I							M	0	0	0, 4, 1		0	0
