mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	1	1	.Eb.I[I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
2	2	0	0	4/4	1	1	viio6		Eb	I	I	viio6	vii	o	6				o	0	0	2, -1, 5		5	2
2	2	1/2	1/2	4/4	1	1	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
4	4	0	0	4/4	1	1	IV		Eb	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
4	4	3/8	3/8	4/4	1	1	#viio2/iii		Eb	I	I	#viio2/iii	#vii	o	2		iii		o7	0	0	0, 9, 6, 3		9	0
4	4	1/2	1/2	4/4	1	1	I]		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
5	5	0	0	4/4	1	1	ii		Eb	I		ii	ii						m	0	0	2, -1, 3		2	2
5	5	3/8	3/8	4/4	1	1	V7/V		Eb	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
5	5	1/2	1/2	4/4	1	1	V		Eb	I		V	V						M	0	0	1, 5, 2		1	1
5	5	7/8	7/8	4/4	1	1	V7		Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	6	0	0	4/4	1	1	I		Eb	I		I	I						M	0	0	0, 4, 1		0	0
6	6	3/8	3/8	4/4	1	1	V7/IV		Eb	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
6	6	1/2	1/2	4/4	1	1	IV		Eb	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
7	7	0	0	4/4	1	1	V(64)		Eb	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
7	7	1/2	1/2	4/4	1	1	V7		Eb	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
7	7	3/4	3/4	4/4	1	1	V		Eb	I		V	V						M	0	0	1, 5, 2		1	1
8	8	0	0	4/4	1	1	I[I\\		Eb	I	I	I	I					\\	M	0	0	0, 4, 1		0	0
8	8	5/16	5/16	4/4	1	1	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
8	8	3/4	3/4	4/4	1	1	IV6		Eb	I	I	IV6	IV		6				M	0	0	3, 0, -1		-1	3
9	9	0	0	4/4	1	1	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
9	9	1/4	1/4	4/4	1	1	ii6	viio64	Eb	I	I	ii6	ii		6				m	0	0	-1, 3, 2		2	-1
9	9	1/2	1/2	4/4	1	1	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
9	9	3/4	3/4	4/4	1	1	viio6		Eb	I	I	viio6	vii	o	6				o	0	0	2, -1, 5		5	2
10	10	0	0	4/4	1	1	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
10	10	3/4	3/4	4/4	1	1	IV		Eb	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
11	11	0	0	4/4	1	1	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
11	11	1/4	1/4	4/4	1	1	#viio2/iii		Eb	I	I	#viio2/iii	#vii	o	2		iii		o7	0	0	0, 9, 6, 3		9	0
11	11	1/2	1/2	4/4	1	1	I		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
11	11	3/4	3/4	4/4	1	1	viio6		Eb	I	I	viio6	vii	o	6				o	0	0	2, -1, 5		5	2
12	12	0	0	4/4	1	1	I]		Eb	I	I	I	I						M	0	0	0, 4, 1		0	0
