mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	2/2	1	1	.A.I	A	I		I		I							M	0	0	0, 4, 1		0	0
1	1	2	2	1.0	1/2	1/2	2/2	1	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
1	1	3	3	1.0	3/4	3/4	2/2	1	1	IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
2	2	4	4	2.0	0	0	2/2	1	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
2	2	6	6	1.75	1/2	1/2	2/2	1	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
2	2	31/4	31/4	0.25	15/16	15/16	2/2	1	1	V	A	I		V		V							M	0	0	1, 5, 2		1	1
3	3	8	8	0.5	0	0	2/2	1	1	I[I	A	I	I	I		I							M	0	0	0, 4, 1		0	0
3	3	17/2	17/2	0.5	1/8	1/8	2/2	1	1	viio64	A	I	I	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
3	3	9	9	0.5	1/4	1/4	2/2	1	1	I	A	I	I	I		I							M	0	0	0, 4, 1		0	0
3	3	19/2	19/2	0.5	3/8	3/8	2/2	1	1	viio64	A	I	I	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
3	3	10	10	0.5	1/2	1/2	2/2	1	1	I	A	I	I	I		I							M	0	0	0, 4, 1		0	0
3	3	21/2	21/2	0.5	5/8	5/8	2/2	1	1	V	A	I	I	V		V							M	0	0	1, 5, 2		1	1
3	3	11	11	0.5	3/4	3/4	2/2	1	1	IV	A	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
3	3	23/2	23/2	0.5	7/8	7/8	2/2	1	1	I]	A	I	I	I		I							M	0	0	0, 4, 1		0	0
4	4	12	12	1.0	0	0	2/2	1	1	V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
4	4	13	13	1.0	1/4	1/4	2/2	1	1	V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	4	14	14	1.75	1/2	1/2	2/2	1	1	I\\	A	I		I		I						\\	M	0	0	0, 4, 1		0	0
4	4	63/4	63/4	0.25	15/16	15/16	2/2	1	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
5	5	16	16	1.0	0	0	2/2	1	1	IV6	A	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
5	5	17	17	0.5	1/4	1/4	2/2	1	1	#viio43(4)/ii	A	I		#viio43(4)/ii		#vii	o	43	4	ii			o7	0	0	1, -2, 7, -1		7	1
5	5	35/2	35/2	0.5	3/8	3/8	2/2	1	1	#viio43/ii	A	I		#viio43/ii		#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
5	5	18	18	2.0	1/2	1/2	2/2	1	1	ii6	A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
6	6	20	20	1.0	0	0	2/2	1	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
6	6	21	21	0.5	1/4	1/4	2/2	1	1	ii	A	I		ii		ii							m	0	0	2, -1, 3		2	2
6	6	43/2	43/2	0.5	3/8	3/8	2/2	1	1	viio6	A	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
6	6	22	22	2.0	1/2	1/2	2/2	1	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
7	7	24	24	0.75	0	0	2/2	1	1	V7(4)	A	I		V7(4)		V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
7	7	99/4	99/4	1.25	3/16	3/16	2/2	1	1	V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
7	7	26	26	0.75	1/2	1/2	2/2	1	1	V(+64)	A	I		V(+64)		V			+64				M	0	0	1, 0, 2	4	1	1
7	7	107/4	107/4	3.25	11/16	11/16	2/2	1	1	V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
8	8	30	30	0.25	1/2	1/2	2/2	1	1	V\\	A	I		V		V						\\	M	0	0	1, 5, 2		1	1
8	8	121/4	121/4	1.75	9/16	9/16	2/2	1	1	V	A	I		V		V							M	0	0	1, 5, 2		1	1
9	9	32	32	2.0	0	0	2/2	1	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
9	9	34	34	1.0	1/2	1/2	2/2	1	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
9	9	35	35	1.0	3/4	3/4	2/2	1	1	IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
10	10	36	36	2.0	0	0	2/2	1	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
10	10	38	38	1.75	1/2	1/2	2/2	1	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
10	10	159/4	159/4	0.25	15/16	15/16	2/2	1	1	V	A	I		V		V							M	0	0	1, 5, 2		1	1
11	11	40	40	0.5	0	0	2/2	1	1	I[I	A	I	I	I		I							M	0	0	0, 4, 1		0	0
11	11	81/2	81/2	0.5	1/8	1/8	2/2	1	1	viio64	A	I	I	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
11	11	41	41	0.5	1/4	1/4	2/2	1	1	I	A	I	I	I		I							M	0	0	0, 4, 1		0	0
11	11	83/2	83/2	0.5	3/8	3/8	2/2	1	1	viio64	A	I	I	viio64		vii	o	64					o	0	0	-1, 5, 2		5	-1
11	11	42	42	0.5	1/2	1/2	2/2	1	1	I	A	I	I	I		I							M	0	0	0, 4, 1		0	0
11	11	85/2	85/2	0.5	5/8	5/8	2/2	1	1	V	A	I	I	V		V							M	0	0	1, 5, 2		1	1
11	11	43	43	0.5	3/4	3/4	2/2	1	1	IV	A	I	I	IV		IV							M	0	0	-1, 3, 0		-1	-1
11	11	87/2	87/2	0.5	7/8	7/8	2/2	1	1	I]	A	I	I	I		I							M	0	0	0, 4, 1		0	0
12	12	44	44	1.75	0	0	2/2	1	1	viio6/V	A	I		viio6/V		vii	o	6		V			o	0	0	3, 0, 6		6	3
12	12	183/4	183/4	1.25	7/16	7/16	2/2	1	1	V65	A	I		V65		V		65					Mm7	0	0	5, 2, -1, 1		1	5
12	12	47	47	1.0	3/4	3/4	2/2	1	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
13	13	48	48	2.0	0	0	2/2	1	1	ii6	A	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
13	13	50	50	1.0	1/2	1/2	2/2	1	1	V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
13	13	51	51	1.0	3/4	3/4	2/2	1	1	V	A	I		V		V							M	0	0	1, 5, 2		1	1
14	14	52	52	1.5	0	0	2/2	1	1	I\\	A	I		I		I						\\	M	0	0	0, 4, 1		0	0
14	14	107/2	107/2	0.5	3/8	3/8	2/2	1	1	I	A	I		I		I							M	0	0	0, 4, 1		0	0
14	14	54	54	2.0	1/2	1/2	2/2	1	1	viio6	A	I		viio6		vii	o	6					o	0	0	2, -1, 5		5	2
15	15	56	56	2.0	0	0	2/2	1	1	I6	A	I		I6		I		6					M	0	0	4, 1, 0		0	4
15	15	58	58	2.0	1/2	1/2	2/2	1	1	IV	A	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	16	60	60	3.0	0	0	2/2	1	1	V(64)	A	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
16	16	63	63	1.0	3/4	3/4	2/2	1	1	V7	A	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	17	64	64	2.0	0	0	2/2	1	1	I(974)	A	I		I(974)		I			974				M	0	0	0, -1, 1	2, 5	0	0
17	17	66	66	2.0	1/2	1/2	2/2	1	1	I\\	A	I		I		I						\\	M	0	0	0, 4, 1		0	0
