mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	3/8	2/4	2	1	D.V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
2	1	1/2	1/2	2.0	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
3	2	5/2	5/2	2.0	0	0	2/4	2	1	V43	D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
4	3	9/2	9/2	2.0	0	0	2/4	2	1	V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
5	4	13/2	13/2	2.0	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
6	5	17/2	17/2	2.0	0	0	2/4	2	1	vi	D	I		vi		vi							m	0	0	3, 0, 4		3	3
7	6	21/2	21/2	2.0	0	0	2/4	2	1	I6	D	I		I6		I		6					M	0	0	4, 1, 0		0	4
8	7	25/2	25/2	1.0	0	0	2/4	2	1	IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
8	7	27/2	27/2	1.0	1/4	1/4	2/4	2	1	V65/V	D	I		V65/V		V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
9	8	29/2	29/2	1.0	0	0	2/4	2	1	V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
9	8	31/2	31/2	0.5	1/4	1/4	2/4	2	1	V\\	D	I		V		V						\\	M	0	0	1, 5, 2		1	1
9	8	16	16	0.5	3/8	3/8	2/4	2	1	V2	D	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
10	9	33/2	33/2	2.0	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
11	10	37/2	37/2	2.0	0	0	2/4	2	1	V43	D	I		V43		V		43					Mm7	0	0	2, -1, 1, 5		1	2
12	11	41/2	41/2	2.0	0	0	2/4	2	1	V6	D	I		V6		V		6					M	0	0	5, 2, 1		1	5
13	12	45/2	45/2	2.0	0	0	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
14	13	49/2	49/2	2.0	0	0	2/4	2	1	IV6	D	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
15	14	53/2	53/2	2.0	0	0	2/4	2	1	IV	D	I		IV		IV							M	0	0	-1, 3, 0		-1	-1
16	15	57/2	57/2	1.0	0	0	2/4	2	1	V(64)	D	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
16	15	59/2	59/2	1.0	1/4	1/4	2/4	2	1	V7	D	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
17	16	61/2	61/2	1.5	0	0	2/4	2	1	I\\	D	I		I		I						\\	M	0	0	0, 4, 1		0	0
17	16	32	32	0.5	3/8	3/8	2/4	2	1	I	D	I		I		I							M	0	0	0, 4, 1		0	0
18	17	65/2	65/2	1.5	0	0	2/4	2	1	V	D	I		V		V							M	0	0	1, 5, 2		1	1
