mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	special	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	.e.i		e	i		i	i							m	1	1	0, -3, 1		0	0
1	1	5/8	i6		e	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
2	2	0	iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	1/8	i6		e	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
2	2	1/4	iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	3/8	i6		e	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
3	3	0	i		e	i		i	i							m	1	1	0, -3, 1		0	0
3	3	5/8	i6		e	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
4	4	0	iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	1/8	i6		e	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
4	4	1/4	iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	4	3/8	i6\\		e	i		i6	i			6			\\	m	1	1	-3, 1, 0		0	-3
5	5	0	i		e	i		i	i							m	1	1	0, -3, 1		0	0
5	5	3/8	iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	0	V7/III		e	i		V7/III	V			7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
6	6	3/8	III		e	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	0	VI		e	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	7	3/8	iio		e	i		iio	ii		o					o	1	1	2, -1, -4		2	2
8	8	0	V7		e	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
8	8	3/8	i\\		e	i		i	i						\\	m	1	1	0, -3, 1		0	0
8	8	1/2	V43		e	i		V43	V			43				Mm7	1	1	2, -1, 1, 5		1	2
9	9	0	i		e	i		i	i							m	1	1	0, -3, 1		0	0
9	9	1/4	i6		e	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
9	9	3/8	#viio6		e	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5	2
9	9	1/2	i		e	i		i	i							m	1	1	0, -3, 1		0	0
10	10	0	V7		e	i		V7	V			7				Mm7	1	1	1, 5, 2, -1		1	1
10	10	1/8	VI		e	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
10	10	1/4	iio6		e	i		iio6	ii		o	6				o	1	1	-1, -4, 2		2	-1
10	10	3/8	V(64)		e	i		V(64)	V				64			M	1	1	1, 0, -3		1	1
10	10	5/8	V\\		e	i		V	V						\\	M	1	1	1, 5, 2		1	1
11	11	0	i6		e	i		i6	i			6				m	1	1	-3, 1, 0		0	-3
11	11	3/8	#viio6		e	i		#viio6	#vii		o	6				o	1	1	2, -1, 5		5	2
11	11	1/2	i		e	i		i	i							m	1	1	0, -3, 1		0	0
12	12	0	V65		e	i		V65	V			65				Mm7	1	1	5, 2, -1, 1		1	5
12	12	1/8	i		e	i		i	i							m	1	1	0, -3, 1		0	0
12	12	1/4	III.ii		e	III		ii	ii							m	1	0	2, -1, 3		2	2
12	12	3/8	V(64)		e	III		V(64)	V				64			M	1	0	1, 0, 4		1	1
12	12	5/8	V\\		e	III		V	V						\\	M	1	0	1, 5, 2		1	1
13	13	0	I		e	III		I	I							M	1	0	0, 4, 1		0	0
13	13	5/8	I6		e	III		I6	I			6				M	1	0	4, 1, 0		0	4
14	14	0	IV		e	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
14	14	1/8	I6		e	III		I6	I			6				M	1	0	4, 1, 0		0	4
14	14	1/4	IV		e	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
14	14	3/8	I6		e	III		I6	I			6				M	1	0	4, 1, 0		0	4
14	14	1/2	viio6(2)		e	III		viio6(2)	vii		o	6	2			o	1	0	2, -1, 0		5	2
14	14	5/8	I		e	III		I	I							M	1	0	0, 4, 1		0	0
15	15	0	IV6		e	III		IV6	IV			6				M	1	0	3, 0, -1		-1	3
15	15	1/8	V(64)		e	III		V(64)	V				64			M	1	0	1, 0, 4		1	1
15	15	1/4	IV6		e	III		IV6	IV			6				M	1	0	3, 0, -1		-1	3
15	15	3/8	V(64)		e	III		V(64)	V				64			M	1	0	1, 0, 4		1	1
15	15	1/2	viio64(2)		e	III		viio64(2)	vii		o	64	2			o	1	0	-1, 0, 2		5	-1
15	15	5/8	I6		e	III		I6	I			6				M	1	0	4, 1, 0		0	4
16	16	0	IV		e	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
16	16	1/8	I6		e	III		I6	I			6				M	1	0	4, 1, 0		0	4
16	16	1/4	IV		e	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
16	16	3/8	I6		e	III		I6	I			6				M	1	0	4, 1, 0		0	4
16	16	1/2	viio6(2)		e	III		viio6(2)	vii		o	6	2			o	1	0	2, -1, 0		5	2
16	16	5/8	I		e	III		I	I							M	1	0	0, 4, 1		0	0
17	17	0	V7/V		e	III		V7/V	V			7		V		Mm7	1	0	2, 6, 3, 0		2	2
17	17	3/8	V7		e	III		V7	V			7				Mm7	1	0	1, 5, 2, -1		1	1
18	18	0	V7/IV		e	III		V7/IV	V			7		IV		Mm7	1	0	0, 4, 1, -2		0	0
18	18	3/8	IV\\		e	III		IV	IV						\\	M	1	0	-1, 3, 0		-1	-1
19	19	0	IV		e	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
19	19	3/8	ii		e	III		ii	ii							m	1	0	2, -1, 3		2	2
20	20	0	V[V		e	III	V	V	V							M	1	0	1, 5, 2		1	1
20	20	5/8	V7		e	III	V	V7	V			7				Mm7	1	0	1, 5, 2, -1		1	1
21	21	0	I		e	III	V	I	I							M	1	0	0, 4, 1		0	0
21	21	5/8	viio/V		e	III	V	viio/V	vii		o			V		o	1	0	6, 3, 0		6	6
22	22	0	V		e	III	V	V	V							M	1	0	1, 5, 2		1	1
22	22	5/8	V7		e	III	V	V7	V			7				Mm7	1	0	1, 5, 2, -1		1	1
23	23	0	I		e	III	V	I	I							M	1	0	0, 4, 1		0	0
23	23	5/8	viio/V		e	III	V	viio/V	vii		o			V		o	1	0	6, 3, 0		6	6
24	24	0	V]\\		e	III	V	V	V						\\	M	1	0	1, 5, 2		1	1
