mc	mn	onset	label
1	0	1/4	.G.I[I
2	1	0	ii6
2	1	1/4	V2
3	2	0	I
4	3	0	IV
4	3	1/8	V
4	3	1/4	vi
4	3	3/8	IV
5	4	0	#viio/iii]
5	4	1/8	I6
5	4	1/4	V65/ii
6	5	0	V/V
6	5	1/4	V65
7	6	0	I
7	6	3/8	I6
8	7	0	ii6
8	7	3/8	V65/V
9	8	0	V(64)
9	8	1/8	V\\
9	8	1/4	I[I
10	9	0	ii6
10	9	1/4	V2
11	10	0	I
12	11	0	IV
12	11	1/8	V
12	11	1/4	vi
12	11	3/8	IV
13	12	0	#viio/iii]
13	12	1/8	I6
13	12	1/4	V65/IV
14	13	0	IV
14	13	1/8	ii
14	13	1/4	V6
14	13	3/8	I
15	14	0	IV6
15	14	1/8	viio
15	14	1/4	I
15	14	3/8	vi
16	15	0	ii6
16	15	1/4	V(64)
16	15	3/8	V
17	16	0	I\\
17	16	1/4	V[V
18	17	0	V6/V
18	17	1/4	V7
19	18	0	I
19	18	1/4	V
20	19	0	I
20	19	1/4	ii
21	20	0	V
21	20	1/4	I
22	21	0	vi
22	21	1/4	V65/V
23	22	0	I]\\
23	22	1/4	I6
23	22	3/8	I
24	23	0	V43
24	23	1/4	I6
24	23	3/8	I
25	24	0	V43
25	24	1/4	I6
25	24	3/8	V64
26	25	0	I
26	25	1/8	IV6
26	25	1/4	I64
26	25	3/8	IV6
27	26	0	V
27	26	1/4	V7
27	26	3/8	vi
28	27	0	ii6(2)
28	27	1/8	ii6
28	27	1/4	V7
29	28	0	I\\
29	28	1/4	I6
29	28	3/8	I
30	29	0	V43
30	29	1/4	I6
30	29	3/8	I
31	30	0	V43
31	30	1/4	I6
31	30	3/8	V64
32	31	0	I
32	31	1/8	IV6
32	31	1/4	I64
32	31	3/8	IV6
33	32	0	V2
33	32	3/8	I6
34	33	0	ii6
34	33	1/4	V(64)
34	33	3/8	V
35	34	0	I[I
35	34	1/4	V2
36	35	0	I
36	35	1/4	V2
37	36	0	I\\
38	37	1/4	I]
39	38	0	vi.V43
40	39	0	i(4)
40	39	1/8	i
40	39	1/4	V2
