mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	2/4	2	1	C.I		C	I		I		I							M	0	0	0, 4, 1		0	0
1	1	1	1.0	1/4	1/4	2/4	2	1	V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
2	2	2	1.0	0	0	2/4	2	1	vi	IV6	C	I		vi		vi							m	0	0	3, 0, 4		3	3
2	2	3	1.0	1/4	1/4	2/4	2	1	iii6		C	I		iii6		iii		6					m	0	0	1, 5, 4		4	1
3	3	4	0.5	0	0	2/4	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
3	3	9/2	0.5	1/8	1/8	2/4	2	1	I6		C	I		I6		I		6					M	0	0	4, 1, 0		0	4
3	3	5	0.5	1/4	1/4	2/4	2	1	ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
3	3	11/2	0.5	3/8	3/8	2/4	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
4	4	6	2.0	0	0	2/4	2	1	V		C	I		V		V							M	0	0	1, 5, 2		1	1
5	5	8	1.0	0	0	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
5	5	9	1.0	1/4	1/4	2/4	2	1	V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
6	6	10	1.0	0	0	2/4	2	1	V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
6	6	11	0.5	1/4	1/4	2/4	2	1	IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
6	6	23/2	0.5	3/8	3/8	2/4	2	1	vii%7		C	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
7	7	12	0.5	0	0	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
7	7	25/2	0.5	1/8	1/8	2/4	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
7	7	13	0.5	1/4	1/4	2/4	2	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
7	7	27/2	0.5	3/8	3/8	2/4	2	1	V		C	I		V		V							M	0	0	1, 5, 2		1	1
8	8	14	1.0	0	0	2/4	2	1	I(97)		C	I		I(97)		I			97				M	0	0	0, 4, 1	2, 5	0	0
8	8	15	0.5	1/4	1/4	2/4	2	1	I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
8	8	31/2	0.5	3/8	3/8	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
9	9	16	2.0	0	0	2/4	2	1	V[V7		C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	10	18	2.0	0	0	2/4	2	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
11	11	20	2.0	0	0	2/4	2	1	V7		C	I	V	V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
12	12	22	2.0	0	0	2/4	2	1	I		C	I	V	I		I							M	0	0	0, 4, 1		0	0
13	13	24	3.5	0	0	2/4	2	1	V]		C	I	V	V		V							M	0	0	1, 5, 2		1	1
14	14	55/2	0.5	3/8	3/8	2/4	2	1	V7/V		C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
15	15	28	1.5	0	0	2/4	2	1	V		C	I		V		V							M	0	0	1, 5, 2		1	1
15	15	59/2	0.5	3/8	3/8	2/4	2	1	V7/V		C	I		V7/V		V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
16	16	30	1.25	0	0	2/4	2	1	V\\		C	I		V		V						\\	M	0	0	1, 5, 2		1	1
16	16	125/4	0.75	5/16	5/16	2/4	2	1	V2		C	I		V2		V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	17	32	1.0	0	0	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
17	17	33	1.0	1/4	1/4	2/4	2	1	V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
18	18	34	1.0	0	0	2/4	2	1	V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
18	18	35	1.0	1/4	1/4	2/4	2	1	V7/ii		C	I		V7/ii		V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
19	19	36	0.5	0	0	2/4	2	1	ii		C	I		ii		ii							m	0	0	2, -1, 3		2	2
19	19	73/2	0.5	1/8	1/8	2/4	2	1	V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
19	19	37	0.5	1/4	1/4	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
19	19	75/2	0.5	3/8	3/8	2/4	2	1	ii6		C	I		ii6		ii		6					m	0	0	-1, 3, 2		2	-1
20	20	38	1.0	0	0	2/4	2	1	V(64)		C	I		V(64)		V			64				M	0	0	1, 0, 4		1	1
20	20	39	1.0	1/4	1/4	2/4	2	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
21	21	40	1.0	0	0	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
21	21	41	1.0	1/4	1/4	2/4	2	1	V6		C	I		V6		V		6					M	0	0	5, 2, 1		1	5
22	22	42	1.0	0	0	2/4	2	1	V2/IV		C	I		V2/IV		V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
22	22	43	0.5	1/4	1/4	2/4	2	1	IV6		C	I		IV6		IV		6					M	0	0	3, 0, -1		-1	3
22	22	87/2	0.5	3/8	3/8	2/4	2	1	vii%7		C	I		vii%7		vii	%	7					%7	0	0	5, 2, -1, 3		5	5
