mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/8	.D.V	D	I		V	V						M	0	0	1, 5, 2		1	1
2	1	0	I[I	D	I	I	I	I						M	0	0	0, 4, 1		0	0
2	1	5/8	V+/IV	D	I	I	V+/IV	V	+			IV		+	0	0	0, 4, 8		0	0
3	2	0	IV	D	I	I	IV	IV						M	0	0	-1, 3, 0		-1	-1
3	2	3/8	I	D	I	I	I	I						M	0	0	0, 4, 1		0	0
4	3	0	IV6	D	I	I	IV6	IV		6				M	0	0	3, 0, -1		-1	3
4	3	3/8	I]	D	I	I	I	I						M	0	0	0, 4, 1		0	0
5	4	0	V7	D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
5	4	3/8	I\\	D	I		I	I					\\	M	0	0	0, 4, 1		0	0
6	5	0	V7	D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
6	5	1/4	I	D	I		I	I						M	0	0	0, 4, 1		0	0
6	5	3/8	V43	D	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
7	6	0	I6	D	I		I6	I		6				M	0	0	4, 1, 0		0	4
7	6	3/8	V65\\	D	I		V65	V		65			\\	Mm7	0	0	5, 2, -1, 1		1	5
8	7	0	V7	D	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
8	7	1/4	I	D	I		I	I						M	0	0	0, 4, 1		0	0
8	7	3/8	V43	D	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
9	8	0	I6	D	I		I6	I		6				M	0	0	4, 1, 0		0	4
9	8	3/8	V65\\	D	I		V65	V		65			\\	Mm7	0	0	5, 2, -1, 1		1	5
10	9	0	V.IV	D	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
10	9	1/4	I6	D	V		I6	I		6				M	0	0	4, 1, 0		0	4
10	9	3/8	ii	D	V		ii	ii						m	0	0	2, -1, 3		2	2
10	9	5/8	I	D	V		I	I						M	0	0	0, 4, 1		0	0
11	10	0	ii6	D	V		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
11	10	1/4	viio/V	D	V		viio/V	vii	o			V		o	0	0	6, 3, 0		6	6
11	10	3/8	V\\	D	V		V	V					\\	M	0	0	1, 5, 2		1	1
12	11	0	V64	D	V		V64	V		64				M	0	0	2, 1, 5		1	2
12	11	3/8	I6	D	V		I6	I		6				M	0	0	4, 1, 0		0	4
13	12	0	V65	D	V		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
13	12	3/8	I(#2)	D	V		I(#2)	I			#2			M	0	0	0, 9, 1		0	0
13	12	1/2	I	D	V		I	I						M	0	0	0, 4, 1		0	0
14	13	0	V64	D	V		V64	V		64				M	0	0	2, 1, 5		1	2
14	13	3/8	I6	D	V		I6	I		6				M	0	0	4, 1, 0		0	4
15	14	0	V65	D	V		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
15	14	3/8	I\\	D	V		I	I					\\	M	0	0	0, 4, 1		0	0
15	14	5/8	I6	D	V		I6	I		6				M	0	0	4, 1, 0		0	4
16	15	0	IV	D	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
16	15	1/4	ii	D	V		ii	ii						m	0	0	2, -1, 3		2	2
16	15	3/8	viio	D	V		viio	vii	o					o	0	0	5, 2, -1		5	5
17	16	0	I	D	V		I	I						M	0	0	0, 4, 1		0	0
17	16	1/4	V2	D	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
17	16	3/8	I6	D	V		I6	I		6				M	0	0	4, 1, 0		0	4
18	17	0	IV	D	V		IV	IV						M	0	0	-1, 3, 0		-1	-1
19	18	0	V(64)	D	V		V(64)	V			64			M	0	0	1, 0, 4		1	1
19	18	3/8	V(4)	D	V		V(4)	V			4			M	0	0	1, 0, 2		1	1
19	18	5/8	V	D	V		V	V						M	0	0	1, 5, 2		1	1
20	19	0	I\\	D	V		I	I					\\	M	0	0	0, 4, 1		0	0
20	19	1/4	I	D	V		I	I						M	0	0	0, 4, 1		0	0
20	19	1/2	I6	D	V		I6	I		6				M	0	0	4, 1, 0		0	4
20	19	5/8	#viio/vi	D	V		#viio/vi	#vii	o			vi		o	0	0	8, 5, 2		8	8
