mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	0.5	0	1/4	2/4	2	1	C.I		C	I		I		I							M	0	0	0, 4, 1		0	0
1	0	1/2	1/2	0.5	1/8	3/8	2/4	2	1	V64		C	I		V64		V		64					M	0	0	2, 1, 5		1	2
2	1	1	1	1.0	0	0	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
2	1	2	2	1.0	1/4	1/4	2/4	2	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	3	3	1.0	0	0	2/4	2	1	I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
3	2	4	4	0.5	1/4	1/4	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
3	2	9/2	9/2	0.5	3/8	3/8	2/4	2	1	V64		C	I		V64		V		64					M	0	0	2, 1, 5		1	2
4	3	5	5	1.0	0	0	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
4	3	6	6	1.0	1/4	1/4	2/4	2	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
5	4	7	7	1.0	0	0	2/4	2	1	I\\		C	I		I		I						\\	M	0	0	0, 4, 1		0	0
5	4	8	8	0.5	1/4	1/4	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
5	4	17/2	17/2	0.5	3/8	3/8	2/4	2	1	V64		C	I		V64		V		64					M	0	0	2, 1, 5		1	2
6	5	9	9	1.0	0	0	2/4	2	1	I		C	I		I		I							M	0	0	0, 4, 1		0	0
6	5	10	10	1.0	1/4	1/4	2/4	2	1	V7		C	I		V7		V		7					Mm7	0	0	1, 5, 2, -1		1	1
