mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	6/8	1	1	.d.V		d	i		V		V						M	1	1	1, 5, 2		1	1
2	1	0	0	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
3	2	0	0	6/8	1	1	V(64)		d	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
3	2	3/8	3/8	6/8	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
4	3	0	0	6/8	1	1	#viio7		d	i		#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
5	4	0	0	6/8	1	1	i(94)		d	i		i(94)		i			94			m	1	1	0, -1, 1	2	0	0
5	4	3/8	3/8	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
6	5	0	0	6/8	1	1	#viio6		d	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
6	5	1/4	1/4	6/8	1	1	VI6		d	i		VI6		VI		6				M	1	1	0, -3, -4		-4	0
6	5	3/8	3/8	6/8	1	1	V6		d	i		V6		V		6				M	1	1	5, 2, 1		1	5
6	5	5/8	5/8	6/8	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
7	6	0	0	6/8	1	1	#viio6		d	i		#viio6		#vii	o	6				o	1	1	2, -1, 5		5	2
7	6	1/4	1/4	6/8	1	1	VI6		d	i		VI6		VI		6				M	1	1	0, -3, -4		-4	0
7	6	3/8	3/8	6/8	1	1	V6		d	i		V6		V		6				M	1	1	5, 2, 1		1	5
7	6	5/8	5/8	6/8	1	1	iio6/iv		d	i		iio6/iv		ii	o	6		iv		o	1	1	-2, -5, 1		1	-2
8	7	0	0	6/8	1	1	iv6		d	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
8	7	1/4	1/4	6/8	1	1	V(64)		d	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
8	7	3/8	3/8	6/8	1	1	ii%65		d	i		ii%65		ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
8	7	5/8	5/8	6/8	1	1	V65/V		d	i		V65/V		V		65		V		Mm7	1	1	6, 3, 0, 2		2	6
9	8	0	0	6/8	1	1	V\\		d	i		V		V					\\	M	1	1	1, 5, 2		1	1
9	8	5/8	5/8	6/8	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
10	9	0	0	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
11	10	0	0	6/8	1	1	V(64)		d	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
11	10	3/8	3/8	6/8	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
12	11	0	0	6/8	1	1	#viio7		d	i		#viio7		#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
13	12	0	0	6/8	1	1	i(94)		d	i		i(94)		i			94			m	1	1	0, -1, 1	2	0	0
13	12	3/8	3/8	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
14	13	0	0	6/8	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
14	13	1/4	1/4	6/8	1	1	#viio7/iv		d	i		#viio7/iv		#vii	o	7		iv		o7	1	1	4, 1, -2, -5		4	4
14	13	3/8	3/8	6/8	1	1	iv		d	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
14	13	5/8	5/8	6/8	1	1	viio7/V		d	i		viio7/V		vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
15	14	0	0	6/8	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
15	14	1/4	1/4	6/8	1	1	#viio2		d	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
15	14	3/8	3/8	6/8	1	1	V7		d	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
15	14	5/8	5/8	6/8	1	1	#viio2		d	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
16	15	0	0	6/8	1	1	V7		d	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
16	15	3/8	3/8	6/8	1	1	#viio6\\		d	i		#viio6		#vii	o	6			\\	o	1	1	2, -1, 5		5	2
17	16	0	0	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
17	16	1/4	1/4	6/8	1	1	ii%7		d	i		ii%7		ii	%	7				%7	1	1	2, -1, -4, 0		2	2
17	16	3/8	3/8	6/8	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
17	16	1/2	1/2	6/8	1	1	iv		d	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
17	16	5/8	5/8	6/8	1	1	i64		d	i		i64		i		64				m	1	1	1, 0, -3		0	1
18	17	0	0	6/8	1	1	VI	iv6	d	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
18	17	1/8	1/8	6/8	1	1	i64		d	i		i64		i		64				m	1	1	1, 0, -3		0	1
18	17	1/4	1/4	6/8	1	1	iv		d	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
18	17	3/8	3/8	6/8	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
18	17	1/2	1/2	6/8	1	1	ii%7		d	i		ii%7		ii	%	7				%7	1	1	2, -1, -4, 0		2	2
18	17	5/8	5/8	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
19	18	0	0	6/8	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
19	18	1/4	1/4	6/8	1	1	#vi%7		d	i		#vi%7		#vi	%	7				%7	1	1	3, 0, -3, 1		3	3
19	18	3/8	3/8	6/8	1	1	V6		d	i		V6		V		6				M	1	1	5, 2, 1		1	5
19	18	1/2	1/2	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
19	18	5/8	5/8	6/8	1	1	V64		d	i		V64		V		64				M	1	1	2, 1, 5		1	2
20	19	0	0	6/8	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
20	19	1/8	1/8	6/8	1	1	V64		d	i		V64		V		64				M	1	1	2, 1, 5		1	2
20	19	1/4	1/4	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
20	19	3/8	3/8	6/8	1	1	V6		d	i		V6		V		6				M	1	1	5, 2, 1		1	5
20	19	1/2	1/2	6/8	1	1	#vi%7		d	i		#vi%7		#vi	%	7				%7	1	1	3, 0, -3, 1		3	3
20	19	5/8	5/8	6/8	1	1	V		d	i		V		V						M	1	1	1, 5, 2		1	1
21	20	0	0	6/8	1	1	i		d	i		i		i						m	1	1	0, -3, 1		0	0
21	20	1/4	1/4	6/8	1	1	V2/iv		d	i		V2/iv		V		2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
21	20	3/8	3/8	6/8	1	1	iv6		d	i		iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
21	20	1/2	1/2	6/8	1	1	V64/iv		d	i		V64/iv		V		64		iv		M	1	1	1, 0, 4		0	1
21	20	5/8	5/8	6/8	1	1	iv		d	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
22	21	0	0	6/8	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
22	21	1/8	1/8	6/8	1	1	i[i		d	i	i	i		i						m	1	1	0, -3, 1		0	0
22	21	1/4	1/4	6/8	1	1	V7/iv		d	i	i	V7/iv		V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
22	21	3/8	3/8	6/8	1	1	iv6		d	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
22	21	1/2	1/2	6/8	1	1	V/iv		d	i	i	V/iv		V				iv		M	1	1	0, 4, 1		0	0
22	21	5/8	5/8	6/8	1	1	iv]		d	i	i	iv		iv						m	1	1	-1, -4, 0		-1	-1
23	22	0	0	6/8	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
23	22	1/8	1/8	6/8	1	1	iv		d	i		iv		iv						m	1	1	-1, -4, 0		-1	-1
23	22	1/4	1/4	6/8	1	1	viio/V		d	i		viio/V		vii	o			V		o	1	1	6, 3, 0		6	6
23	22	3/8	3/8	6/8	1	1	v(+4)		d	i		v(+4)		v			+4			m	1	1	1, -2, 2	0	1	1
23	22	1/2	1/2	6/8	1	1	#viio64(+2)		d	i		#viio64(+2)		#vii	o	64	+2			o	1	1	-1, 5, 2	0	5	-1
23	22	5/8	5/8	6/8	1	1	i6		d	i		i6		i		6				m	1	1	-3, 1, 0		0	-3
25	24	0	0	6/8	1	1	ii%65		d	i		ii%65		ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
26	25	0	0	6/8	1	1	V(64)		d	i		V(64)		V			64			M	1	1	1, 0, -3		1	1
26	25	3/8	3/8	6/8	1	1	V7		d	i		V7		V		7				Mm7	1	1	1, 5, 2, -1		1	1
