mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	2	1	f.i		f	i		i		i							m	1	1	0, -3, 1		0	0
3	3	0	0	4/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	5	0	0	4/4	2	1	#viio65(6)		f	i		#viio65(6)		#vii	o	65	6				o7	1	1	2, 1, -4, 5		5	2
5	5	1/2	1/2	4/4	2	1	#viio65		f	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	7	0	0	4/4	2	1	#viio43(2)		f	i		#viio43(2)		#vii	o	43	2				o7	1	1	-1, -4, 0, 2		5	-1
7	7	1/2	1/2	4/4	2	1	#viio43		f	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
9	9	0	0	4/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
10	10	0	0	4/4	2	1	#viio43		f	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
11	11	0	0	4/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
12	12	0	0	4/4	2	1	#viio43		f	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
13	13	0	0	4/4	2	1	i6\\		f	i		i6		i		6				\\	m	1	1	-3, 1, 0		0	-3
13	13	1/16	1/16	4/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
14	14	0	0	4/4	2	1	iv6(2)		f	i		iv6(2)		iv		6	2				m	1	1	-4, 0, 1		-1	-4
14	14	1/4	1/4	4/4	2	1	iv6		f	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
14	14	1/2	1/2	4/4	2	1	iio6		f	i		iio6		ii	o	6					o	1	1	-1, -4, 2		2	-1
15	15	0	0	4/4	2	1	#viio6		f	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
15	15	1/2	1/2	4/4	2	1	V65		f	i		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
16	16	0	0	4/4	2	1	i		f	i		i		i							m	1	1	0, -3, 1		0	0
16	16	1/2	1/2	4/4	2	1	v6		f	i		v6		v		6					m	1	1	-2, 2, 1		1	-2
17	17	0	0	4/4	2	1	It6		f	i		It6	It	vii	o	6	b3	V			It	1	1	-4, 0, 6		6	-4
17	17	1/2	1/2	4/4	2	1	Ger6		f	i		Ger6	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
18	18	0	0	4/4	2	1	V[V\\		f	i	V	V		V						\\	M	1	1	1, 5, 2		1	1
18	18	3/8	3/8	4/4	2	1	V		f	i	V	V		V							M	1	1	1, 5, 2		1	1
18	18	3/4	3/4	4/4	2	1	V7		f	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
19	19	0	0	4/4	2	1	i		f	i	V	i		i							m	1	1	0, -3, 1		0	0
19	19	3/8	3/8	4/4	2	1	V		f	i	V	V		V							M	1	1	1, 5, 2		1	1
19	19	3/4	3/4	4/4	2	1	V7		f	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
20	20	0	0	4/4	2	1	i		f	i	V	i		i							m	1	1	0, -3, 1		0	0
20	20	3/8	3/8	4/4	2	1	V7		f	i	V	V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
21	21	0	0	4/4	2	1	i]		f	i	V	i		i							m	1	1	0, -3, 1		0	0
21	21	3/4	3/4	4/4	2	1	viio65/V		f	i		viio65/V		vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
22	22	0	0	4/4	2	1	V[viio65/V		f	i	V	viio65/V		vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
22	22	1/2	1/2	4/4	2	1	V]\\		f	i	V	V		V						\\	M	1	1	1, 5, 2		1	1
23	23	0	0	4/4	2	1	i		f	i		i		i							m	1	1	0, -3, 1		0	0
25	25	0	0	4/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
27	27	0	0	4/4	2	1	#viio65(#4)		f	i		#viio65(#4)		#vii	o	65	#4				o7	1	1	2, 4, -4, 5		5	2
27	27	1/2	1/2	4/4	2	1	#viio65		f	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
29	29	0	0	4/4	2	1	#viio43(2)		f	i		#viio43(2)		#vii	o	43	2				o7	1	1	-1, -4, 0, 2		5	-1
29	29	1/2	1/2	4/4	2	1	#viio43		f	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
31	31	0	0	4/4	2	1	i6\\		f	i		i6		i		6				\\	m	1	1	-3, 1, 0		0	-3
31	31	1/16	1/16	4/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
32	32	0	0	4/4	2	1	#viio65\\		f	i		#viio65		#vii	o	65				\\	o7	1	1	2, -1, -4, 5		5	2
34	34	0	0	4/4	2	1	i6		f	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
34	34	3/8	3/8	4/4	2	1	iio	#viio6	f	i		iio		ii	o						o	1	1	2, -1, -4		2	2
34	34	1/2	1/2	4/4	2	1	i		f	i		i		i							m	1	1	0, -3, 1		0	0
34	34	7/8	7/8	4/4	2	1	#viio6		f	i		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
35	35	0	0	4/4	2	1	i		f	i		i		i							m	1	1	0, -3, 1		0	0
35	35	3/8	3/8	4/4	2	1	iio	#viio6	f	i		iio		ii	o						o	1	1	2, -1, -4		2	2
35	35	1/2	1/2	4/4	2	1	i		f	i		i		i							m	1	1	0, -3, 1		0	0
35	35	7/8	7/8	4/4	2	1	iv.#viio43		f	iv		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
36	36	0	0	4/4	2	1	i6		f	iv		i6		i		6					m	1	1	-3, 1, 0		0	-3
36	36	3/8	3/8	4/4	2	1	iio	#viio6	f	iv		iio		ii	o						o	1	1	2, -1, -4		2	2
36	36	1/2	1/2	4/4	2	1	i		f	iv		i		i							m	1	1	0, -3, 1		0	0
36	36	7/8	7/8	4/4	2	1	#viio6		f	iv		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
37	37	0	0	4/4	2	1	i6		f	iv		i6		i		6					m	1	1	-3, 1, 0		0	-3
37	37	3/8	3/8	4/4	2	1	iio	#viio6	f	iv		iio		ii	o						o	1	1	2, -1, -4		2	2
37	37	1/2	1/2	4/4	2	1	i		f	iv		i		i							m	1	1	0, -3, 1		0	0
37	37	7/8	7/8	4/4	2	1	III.vi6		f	III		vi6		vi		6					m	1	0	0, 4, 3		3	0
38	38	0	0	4/4	2	1	V6		f	III		V6		V		6					M	1	0	5, 2, 1		1	5
38	38	3/4	3/4	4/4	2	1	V65		f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
39	39	0	0	4/4	2	1	I6		f	III		I6		I		6					M	1	0	4, 1, 0		0	4
39	39	1/2	1/2	4/4	2	1	IV		f	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
40	40	0	0	4/4	2	1	V[V\\		f	III	V	V		V						\\	M	1	0	1, 5, 2		1	1
40	40	1/2	1/2	4/4	2	1	V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
41	41	0	0	4/4	2	1	I6		f	III	V	I6		I		6					M	1	0	4, 1, 0		0	4
41	41	1/4	1/4	4/4	2	1	V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
41	41	1/2	1/2	4/4	2	1	vi6		f	III	V	vi6		vi		6					m	1	0	0, 4, 3		3	0
41	41	3/4	3/4	4/4	2	1	viio6/V		f	III	V	viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
42	42	0	0	4/4	2	1	V		f	III	V	V		V							M	1	0	1, 5, 2		1	1
42	42	3/4	3/4	4/4	2	1	V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
43	43	0	0	4/4	2	1	I6		f	III	V	I6		I		6					M	1	0	4, 1, 0		0	4
43	43	1/4	1/4	4/4	2	1	V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
43	43	1/2	1/2	4/4	2	1	vi6		f	III	V	vi6		vi		6					m	1	0	0, 4, 3		3	0
43	43	3/4	3/4	4/4	2	1	viio6/V		f	III	V	viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
44	44	0	0	4/4	2	1	V		f	III	V	V		V							M	1	0	1, 5, 2		1	1
44	44	1/4	1/4	4/4	2	1	viio6/V		f	III	V	viio6/V		vii	o	6		V			o	1	0	3, 0, 6		6	3
44	44	1/2	1/2	4/4	2	1	V		f	III	V	V		V							M	1	0	1, 5, 2		1	1
44	44	3/4	3/4	4/4	2	1	viio/V		f	III	V	viio/V		vii	o			V			o	1	0	6, 3, 0		6	6
45	45	0	0	4/4	2	1	V]\\		f	III	V	V		V						\\	M	1	0	1, 5, 2		1	1
47	47	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
48	48	0	0	4/4	2	1	I6		f	III		I6		I		6					M	1	0	4, 1, 0		0	4
49	49	0	0	4/4	2	1	V64		f	III		V64		V		64					M	1	0	2, 1, 5		1	2
49	49	1/2	1/2	4/4	2	1	V43		f	III		V43		V		43					Mm7	1	0	2, -1, 1, 5		1	2
50	50	0	0	4/4	2	1	V2		f	III		V2		V		2					Mm7	1	0	-1, 1, 5, 2		1	-1
51	51	0	0	4/4	2	1	I6		f	III		I6		I		6					M	1	0	4, 1, 0		0	4
53	53	0	0	4/4	2	1	ii6(4)		f	III		ii6(4)		ii		6	4				m	1	0	1, 3, 2		2	1
53	53	1/2	1/2	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
54	54	0	0	4/4	2	1	V[V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
55	55	0	0	4/4	2	1	I		f	III	V	I		I							M	1	0	0, 4, 1		0	0
56	56	0	0	4/4	2	1	V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
57	57	0	0	4/4	2	1	I		f	III	V	I		I							M	1	0	0, 4, 1		0	0
58	58	0	0	4/4	2	1	V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
58	58	1/2	1/2	4/4	2	1	I		f	III	V	I		I							M	1	0	0, 4, 1		0	0
59	59	0	0	4/4	2	1	V7		f	III	V	V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
59	59	1/2	1/2	4/4	2	1	I		f	III	V	I		I							M	1	0	0, 4, 1		0	0
60	60	0	0	4/4	2	1	V7]\\		f	III	V	V7		V		7				\\	Mm7	1	0	1, 5, 2, -1		1	1
61	61	3/4	3/4	4/4	2	1	V65		f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
62	62	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
62	62	1/2	1/2	4/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
63	63	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
63	63	1/2	1/2	4/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
64	64	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
64	64	1/2	1/2	4/4	2	1	vii%7		f	III		vii%7		vii	%	7					%7	1	0	5, 2, -1, 3		5	5
65	65	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
65	65	1/2	1/2	4/4	2	1	vi		f	III		vi		vi							m	1	0	3, 0, 4		3	3
66	66	0	0	4/4	2	1	IV		f	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
66	66	1/2	1/2	4/4	2	1	ii		f	III		ii		ii							m	1	0	2, -1, 3		2	2
67	67	0	0	4/4	2	1	V65		f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
67	67	1/2	1/2	4/4	2	1	I(4)		f	III		I(4)		I			4				M	1	0	0, -1, 1		0	0
67	67	3/4	3/4	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
68	68	0	0	4/4	2	1	ii6(42)		f	III		ii6(42)		ii		6	42				m	1	0	1, 3, 4		2	1
68	68	1/4	1/4	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
68	68	1/2	1/2	4/4	2	1	V(64)		f	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
68	68	3/4	3/4	4/4	2	1	V		f	III		V		V							M	1	0	1, 5, 2		1	1
69	69	0	0	4/4	2	1	I\\		f	III		I		I						\\	M	1	0	0, 4, 1		0	0
69	69	1/2	1/2	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
70	70	0	0	4/4	2	1	V		f	III		V		V							M	1	0	1, 5, 2		1	1
70	70	1/4	1/4	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
70	70	1/2	1/2	4/4	2	1	V6		f	III		V6		V		6					M	1	0	5, 2, 1		1	5
70	70	3/4	3/4	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
71	71	0	0	4/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
71	71	1/2	1/2	4/4	2	1	vi		f	III		vi		vi							m	1	0	3, 0, 4		3	3
72	72	0	0	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
72	72	1/2	1/2	4/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
73	73	0	0	4/4	2	1	I\\		f	III		I		I						\\	M	1	0	0, 4, 1		0	0
73	73	1/2	1/2	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
74	74	0	0	4/4	2	1	V		f	III		V		V							M	1	0	1, 5, 2		1	1
74	74	1/4	1/4	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
74	74	1/2	1/2	4/4	2	1	V6		f	III		V6		V		6					M	1	0	5, 2, 1		1	5
74	74	3/4	3/4	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
75	75	0	0	4/4	2	1	V7		f	III		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
75	75	1/2	1/2	4/4	2	1	vi		f	III		vi		vi							m	1	0	3, 0, 4		3	3
75	75	3/4	3/4	4/4	2	1	#viio43/ii		f	III		#viio43/ii		#vii	o	43		ii			o7	1	0	1, -2, 7, 4		7	1
76	76	0	0	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
76	76	3/4	3/4	4/4	2	1	viio43/V		f	III		viio43/V		vii	o	43		V			o7	1	0	0, -3, 6, 3		6	0
77	77	0	0	4/4	2	1	V6		f	III		V6		V		6					M	1	0	5, 2, 1		1	5
77	77	3/4	3/4	4/4	2	1	#viio43/vi		f	III		#viio43/vi		#vii	o	43		vi			o7	1	0	2, -1, 8, 5		8	2
78	78	0	0	4/4	2	1	vi6		f	III		vi6		vi		6					m	1	0	0, 4, 3		3	0
78	78	1/4	1/4	4/4	2	1	iio/vi	#viio6/vi	f	III		iio/vi		ii	o			vi			o	1	0	5, 2, -1		5	5
78	78	1/2	1/2	4/4	2	1	vi		f	III		vi		vi							m	1	0	3, 0, 4		3	3
78	78	3/4	3/4	4/4	2	1	#viio43/ii		f	III		#viio43/ii		#vii	o	43		ii			o7	1	0	1, -2, 7, 4		7	1
79	79	0	0	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
79	79	1/4	1/4	4/4	2	1	iio/ii	#viio6/ii	f	III		iio/ii		ii	o			ii			o	1	0	4, 1, -2		4	4
79	79	1/2	1/2	4/4	2	1	ii		f	III		ii		ii							m	1	0	2, -1, 3		2	2
79	79	3/4	3/4	4/4	2	1	vi6		f	III		vi6		vi		6					m	1	0	0, 4, 3		3	0
80	80	0	0	4/4	2	1	V6		f	III		V6		V		6					M	1	0	5, 2, 1		1	5
80	80	3/4	3/4	4/4	2	1	V65		f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
81	81	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
81	81	1/2	1/2	4/4	2	1	vii%7/IV		f	III		vii%7/IV		vii	%	7		IV			%7	1	0	4, 1, -2, 2		4	4
82	82	0	0	4/4	2	1	IV		f	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
82	82	1/4	1/4	4/4	2	1	V65/ii		f	III		V65/ii		V		65		ii			Mm7	1	0	7, 4, 1, 3		3	7
82	82	1/2	1/2	4/4	2	1	ii		f	III		ii		ii							m	1	0	2, -1, 3		2	2
83	83	0	0	4/4	2	1	I6	iii	f	III		I6		I		6					M	1	0	4, 1, 0		0	4
83	83	1/4	1/4	4/4	2	1	V65		f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
83	83	1/2	1/2	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
84	84	0	0	4/4	2	1	viio6		f	III		viio6		vii	o	6					o	1	0	2, -1, 5		5	2
84	84	1/2	1/2	4/4	2	1	IV64		f	III		IV64		IV		64					M	1	0	0, -1, 3		-1	0
85	85	0	0	4/4	2	1	V6		f	III		V6		V		6					M	1	0	5, 2, 1		1	5
85	85	3/4	3/4	4/4	2	1	viio		f	III		viio		vii	o						o	1	0	5, 2, -1		5	5
86	86	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
86	86	1/4	1/4	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
86	86	1/2	1/2	4/4	2	1	V(64)		f	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
86	86	3/4	3/4	4/4	2	1	V		f	III		V		V							M	1	0	1, 5, 2		1	1
87	87	0	0	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
87	87	1/2	1/2	4/4	2	1	vi		f	III		vi		vi							m	1	0	3, 0, 4		3	3
88	88	0	0	4/4	2	1	IV		f	III		IV		IV							M	1	0	-1, 3, 0		-1	-1
88	88	1/2	1/2	4/4	2	1	ii		f	III		ii		ii							m	1	0	2, -1, 3		2	2
89	89	0	0	4/4	2	1	V65		f	III		V65		V		65					Mm7	1	0	5, 2, -1, 1		1	5
91	91	1/2	1/2	4/4	2	1	I(4)		f	III		I(4)		I			4				M	1	0	0, -1, 1		0	0
91	91	3/4	3/4	4/4	2	1	I		f	III		I		I							M	1	0	0, 4, 1		0	0
92	92	0	0	4/4	2	1	ii6(42)		f	III		ii6(42)		ii		6	42				m	1	0	1, 3, 4		2	1
92	92	1/4	1/4	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
92	92	1/2	1/2	4/4	2	1	V(64)		f	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
92	92	3/4	3/4	4/4	2	1	V		f	III		V		V							M	1	0	1, 5, 2		1	1
93	93	0	0	4/4	2	1	I6	iii	f	III		I6		I		6					M	1	0	4, 1, 0		0	4
93	93	1/4	1/4	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
93	93	1/2	1/2	4/4	2	1	V(64)		f	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
93	93	3/4	3/4	4/4	2	1	viio64		f	III		viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
94	94	0	0	4/4	2	1	I6	iii	f	III		I6		I		6					M	1	0	4, 1, 0		0	4
94	94	1/4	1/4	4/4	2	1	ii6		f	III		ii6		ii		6					m	1	0	-1, 3, 2		2	-1
94	94	1/2	1/2	4/4	2	1	V(64)		f	III		V(64)		V			64				M	1	0	1, 0, 4		1	1
94	94	3/4	3/4	4/4	2	1	viio64		f	III		viio64		vii	o	64					o	1	0	-1, 5, 2		5	-1
95	95	0	0	4/4	2	1	I6		f	III		I6		I		6					M	1	0	4, 1, 0		0	4
