mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	3/8	.F.V		F	I		V	V						M	0	0	1, 5, 2		1	1
2	1	0	I		F	I		I	I						M	0	0	0, 4, 1		0	0
2	1	1/4	I6		F	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	1	3/8	vi6		F	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
3	2	0	ii(4)		F	I		ii(4)	ii			4			m	0	0	2, 1, 3		2	2
3	2	1/8	ii		F	I		ii	ii						m	0	0	2, -1, 3		2	2
3	2	1/4	viio	V6	F	I		viio	vii	o					o	0	0	5, 2, -1		5	5
3	2	3/8	V7		F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
4	3	0	I		F	I		I	I						M	0	0	0, 4, 1		0	0
4	3	1/8	vi		F	I		vi	vi						m	0	0	3, 0, 4		3	3
4	3	1/4	IV		F	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
4	3	3/8	V(64)		F	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
4	3	15/32	V		F	I		V	V						M	0	0	1, 5, 2		1	1
5	4	0	I\\		F	I		I	I					\\	M	0	0	0, 4, 1		0	0
6	4	3/8	I		F	I		I	I						M	0	0	0, 4, 1		0	0
7	5	0	V6		F	I		V6	V		6				M	0	0	5, 2, 1		1	5
7	5	1/8	I		F	I		I	I						M	0	0	0, 4, 1		0	0
7	5	1/4	V43		F	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
7	5	3/8	V6		F	I		V6	V		6				M	0	0	5, 2, 1		1	5
8	6	0	I		F	I		I	I						M	0	0	0, 4, 1		0	0
8	6	1/8	V43		F	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
8	6	1/4	I6		F	I		I6	I		6				M	0	0	4, 1, 0		0	4
8	6	3/8	I		F	I		I	I						M	0	0	0, 4, 1		0	0
9	7	0	V6		F	I		V6	V		6				M	0	0	5, 2, 1		1	5
9	7	1/8	I		F	I		I	I						M	0	0	0, 4, 1		0	0
9	7	1/4	V43		F	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
9	7	3/8	V6		F	I		V6	V		6				M	0	0	5, 2, 1		1	5
10	8	0	I		F	I		I	I						M	0	0	0, 4, 1		0	0
10	8	1/8	V43		F	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
10	8	1/4	I6\\		F	I		I6	I		6			\\	M	0	0	4, 1, 0		0	4
10	8	3/8	V		F	I		V	V						M	0	0	1, 5, 2		1	1
11	9	0	I		F	I		I	I						M	0	0	0, 4, 1		0	0
11	9	1/4	I6		F	I		I6	I		6				M	0	0	4, 1, 0		0	4
11	9	3/8	vi6		F	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
12	10	0	ii(4)		F	I		ii(4)	ii			4			m	0	0	2, 1, 3		2	2
12	10	1/8	ii		F	I		ii	ii						m	0	0	2, -1, 3		2	2
12	10	1/4	viio	V6	F	I		viio	vii	o					o	0	0	5, 2, -1		5	5
12	10	3/8	V7		F	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
13	11	0	I		F	I		I	I						M	0	0	0, 4, 1		0	0
