mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-1	2/4	1/8	3/8	firstMeasure				1	2
2	1	-1	2/4	1/2	0						3
3	2	-1	2/4	1/2	0						4
4	3	-1	2/4	1/2	0						5
5	4	-1	2/4	3/8	0	endRepeat					1, 6
6	4	-1	2/4	1/8	3/8					1	7
7	5	-1	2/4	1/2	0						8
8	6	-1	2/4	1/2	0						9
9	7	-1	2/4	1/2	0						10
10	8	-1	2/4	1/2	0						11
11	9	-1	2/4	1/2	0						12
12	10	-1	2/4	1/2	0						13
13	11	-1	2/4	1/2	0						14
14	12	-1	2/4	3/8	0						15
15	12	-1	2/4	1/8	3/8	startRepeat				1	16
16	13	-1	2/4	1/2	0						17
17	14	-1	2/4	1/2	0						18
18	15	-1	2/4	1/2	0						19
19	16	-1	2/4	3/8	0	endRepeat					15, 20
20	16	-1	2/4	1/8	3/8					1	21
21	17	-1	2/4	1/2	0						22
22	18	-1	2/4	1/2	0						23
23	19	-1	2/4	1/2	0						24
24	20	-1	2/4	1/2	0						25
25	21	-1	2/4	1/2	0						26
26	22	-1	2/4	1/2	0						27
27	23	-1	2/4	1/2	0						28
28	24	-1	2/4	3/8	0						29
29	24	-1	2/4	1/8	3/8	startRepeat				1	30
30	25	-1	2/4	1/2	0						31
31	26	-1	2/4	1/2	0						32
32	27	-1	2/4	1/2	0						33
33	28	-1	2/4	3/8	0	endRepeat					34
34	28	-1	2/4	1/8	3/8					1	35
35	29	-1	2/4	1/2	0						36
36	30	-1	2/4	1/2	0						37
37	31	-1	2/4	1/2	0						38
38	32	-1	2/4	1/2	0						39
39	33	-1	2/4	1/2	0						40
40	34	-1	2/4	1/2	0						41
41	35	-1	2/4	1/2	0						42
42	36	-1	2/4	3/8	0			end			43
43	36	-1	2/4	1/8	3/8					1	44
44	37	-1	2/4	1/2	0						45
45	38	-1	2/4	1/2	0						46
46	39	-1	2/4	1/2	0						47
47	40	-1	2/4	3/8	0	endRepeat					29, 48
48	40	-1	2/4	1/8	3/8					1	49
49	41	-1	2/4	1/2	0						50
50	42	-1	2/4	1/2	0						51
51	43	-1	2/4	1/2	0						52
52	44	-1	2/4	1/2	0						53
53	45	-1	2/4	1/2	0						54
54	46	-1	2/4	1/2	0						55
55	47	-1	2/4	1/2	0						56
56	48	-1	2/4	3/8	0						57
57	48	-1	2/4	1/8	3/8	startRepeat				1	58
58	49	-1	2/4	1/2	0						59
59	50	-1	2/4	1/2	0						60
60	51	-1	2/4	1/2	0						61
61	52	-1	2/4	3/8	0	endRepeat					57, 62
62	52	-1	2/4	1/8	3/8					1	63
63	53	-1	2/4	1/2	0						64
64	54	-1	2/4	1/2	0						65
65	55	-1	2/4	1/2	0						66
66	56	-1	2/4	1/2	0						67
67	57	-1	2/4	1/2	0						68
68	58	-1	2/4	1/2	0						69
69	59	-1	2/4	1/2	0						70
70	60	-1	2/4	3/8	0						71
71	60	-1	2/4	1/8	3/8	startRepeat				1	72
72	61	-1	2/4	1/2	0						73
73	62	-1	2/4	1/2	0						74
74	63	-1	2/4	1/2	0						75
75	64	-1	2/4	3/8	0	endRepeat					71, 76
76	64	-1	2/4	1/8	3/8					1	77
77	65	-1	2/4	1/2	0						78
78	66	-1	2/4	1/2	0						79
79	67	-1	2/4	1/2	0						80
80	68	-1	2/4	1/2	0						81
81	69	-1	2/4	1/2	0						82
82	70	-1	2/4	1/2	0						83
83	71	-1	2/4	1/2	0						84
84	72	-1	2/4	3/8	0						85
85	72	-1	2/4	1/8	3/8	startRepeat				1	86
86	73	-1	2/4	1/2	0						87
87	74	-1	2/4	1/2	0						88
88	75	-1	2/4	1/2	0						89
89	76	-1	2/4	3/8	0	endRepeat					85, 90
90	76	-1	2/4	1/8	3/8					1	91
91	77	-1	2/4	1/2	0						92
92	78	-1	2/4	1/2	0						93
93	79	-1	2/4	1/2	0						94
94	80	-1	2/4	1/2	0						95
95	81	-1	2/4	1/2	0						96
96	82	-1	2/4	1/2	0						97
97	83	-1	2/4	1/2	0						98
98	84	-1	2/4	3/8	0						99
99	84	-1	2/4	1/8	3/8	startRepeat				1	100
100	85	-1	2/4	1/2	0						101
101	86	-1	2/4	1/2	0						102
102	87	-1	2/4	1/2	0						103
103	88	-1	2/4	3/8	0	endRepeat					99, 104
