mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	4	3/4	1/8	5/8	2	firstMeasure		start-repeat		1	2
2	1	4	3/4	3/4	0	2						3
3	2	4	3/4	3/4	0	2						4
4	3	4	3/4	3/4	0	2						5
5	4	4	3/4	3/4	0	2						6
6	5	4	3/4	3/4	0	2						7
7	6	4	3/4	3/4	0	2						8
8	7	4	3/4	3/4	0	2						9
9	8	4	3/4	3/4	0	2						10
10	9	4	3/4	3/4	0	2						11
11	10	4	3/4	3/4	0	2						12
12	11	4	3/4	3/4	0	2						13
13	12	4	3/4	3/4	0	2						14
14	13	4	3/4	3/4	0	2						15
15	14	4	3/4	3/4	0	2						16
16	15	4	3/4	3/4	0	3						17
17	16	4	3/4	3/4	0	3						18
18	17	4	3/4	3/4	0	3						19
19	18	4	3/4	3/4	0	3						20
20	19	4	3/4	3/4	0	3						21
21	20	4	3/4	3/4	0	3						22
22	21	4	3/4	3/4	0	3						23
23	22	4	3/4	3/4	0	3						24
24	23	4	3/4	3/4	0	3						25
25	24	4	3/4	3/4	0	2						26
26	25	4	3/4	3/4	0	2						27
27	26	4	3/4	3/4	0	2						28
28	27	4	3/4	3/4	0	2						29
29	28	4	3/4	3/4	0	2						30
30	29	4	3/4	3/4	0	2						31
31	30	4	3/4	3/4	0	2						32
32	31	4	3/4	3/4	0	2						33
33	32	4	3/4	3/4	0	2						34
34	33	4	3/4	3/4	0	2						35
35	34	4	3/4	3/4	0	2						36
36	35	4	3/4	3/4	0	2						37
37	36	4	3/4	5/8	0	2	endRepeat					1, 38
38	36	4	3/4	1/8	5/8	2	startRepeat				1	39
39	37	4	3/4	3/4	0	2						40
40	38	4	3/4	3/4	0	3						41
41	39	4	3/4	3/4	0	3						42
42	40	4	3/4	3/4	0	3						43
43	41	4	3/4	3/4	0	2						44
44	42	4	3/4	3/4	0	2						45
45	43	4	3/4	3/4	0	2						46
46	44	4	3/4	3/4	0	2						47
47	45	4	3/4	3/4	0	2						48
48	46	4	3/4	3/4	0	2						49
49	47	4	3/4	3/4	0	2						50
50	48	4	3/4	3/4	0	2						51
51	49	4	3/4	3/4	0	2						52
52	50	4	3/4	3/4	0	2						53
53	51	4	3/4	3/4	0	2						54
54	52	4	3/4	3/4	0	2						55
55	53	4	3/4	3/4	0	2						56
56	54	4	3/4	3/4	0	2						57
57	55	4	3/4	3/4	0	2						58
58	56	4	3/4	3/4	0	2						59
59	57	4	3/4	3/4	0	2						60
60	58	4	3/4	3/4	0	2						61
61	59	4	3/4	3/4	0	2						62
62	60	4	3/4	3/4	0	2						63
63	61	4	3/4	3/4	0	2						64
64	62	4	3/4	3/4	0	2						65
65	63	4	3/4	3/4	0	3						66
66	64	4	3/4	3/4	0	3						67
67	65	4	3/4	3/4	0	3						68
68	66	4	3/4	3/4	0	3						69
69	67	4	3/4	3/4	0	3						70
70	68	4	3/4	3/4	0	3						71
71	69	4	3/4	3/4	0	3						72
72	70	4	3/4	3/4	0	3						73
73	71	4	3/4	3/4	0	3						74
74	72	4	3/4	3/4	0	2						75
75	73	4	3/4	3/4	0	2						76
76	74	4	3/4	3/4	0	2						77
77	75	4	3/4	3/4	0	2						78
78	76	4	3/4	3/4	0	2						79
79	77	4	3/4	3/4	0	2						80
80	78	4	3/4	3/4	0	2						81
81	79	4	3/4	3/4	0	2						82
82	80	4	3/4	3/4	0	2						83
83	81	4	3/4	3/4	0	2						84
84	82	4	3/4	3/4	0	3						85
85	83	4	3/4	3/4	0	2						86
86	84	4	3/4	5/8	0	2	endRepeat					38
